time	Instrument	integration	band	mag	mag_limit	dmag	time_unit	integration_unit	mag_unit	mag_type	extinction_corrected	dtime	time_frame
146.0	LT	10	r'	15.41	0	0.02	days	s	unspecified	apparent	False	NaN	observer
168.2	LT	10	r'	15.45	0	0.02	days	s	unspecified	apparent	False	NaN	observer
191.0	LT	10	r'	15.58	0	0.02	days	s	unspecified	apparent	False	NaN	observer
422.0	LT	10	r'	15.95	0	0.03	days	s	unspecified	apparent	False	NaN	observer
444.8	LT	10	r'	16.02	0	0.03	days	s	unspecified	apparent	False	NaN	observer
468.8	LT	10	r'	16.0	0	0.03	days	s	unspecified	apparent	False	NaN	observer
760.2	LT	120	r'	16.16	0	0.01	days	s	unspecified	apparent	False	NaN	observer
1413.0	LT	120	r'	16.32	0	0.01	days	s	unspecified	apparent	False	NaN	observer
1546.2	LT	120	r'	16.34	0	0.01	days	s	unspecified	apparent	False	NaN	observer
2662.8	LT	120	r'	16.52	0	0.01	days	s	unspecified	apparent	False	NaN	observer
2794.8	LT	120	r'	16.53	0	0.02	days	s	unspecified	apparent	False	NaN	observer
2926.8	LT	120	r'	16.55	0	0.02	days	s	unspecified	apparent	False	NaN	observer
4878.2	LT	10	r'	16.74	0	0.05	days	s	unspecified	apparent	False	NaN	observer
4899.8	LT	10	r'	16.71	0	0.05	days	s	unspecified	apparent	False	NaN	observer
4922.0	LT	10	r'	16.72	0	0.05	days	s	unspecified	apparent	False	NaN	observer
5157.8	LT	10	r'	16.76	0	0.05	days	s	unspecified	apparent	False	NaN	observer
5180.0	LT	10	r'	16.82	0	0.06	days	s	unspecified	apparent	False	NaN	observer
5204.0	LT	10	r'	16.77	0	0.06	days	s	unspecified	apparent	False	NaN	observer
5494.8	LT	120	r'	16.83	0	0.03	days	s	unspecified	apparent	False	NaN	observer
6139.2	LT	120	r'	16.88	0	0.03	days	s	unspecified	apparent	False	NaN	observer
6271.8	LT	120	r'	16.91	0	0.03	days	s	unspecified	apparent	False	NaN	observer
7390.2	LT	120	r'	17.0	0	0.03	days	s	unspecified	apparent	False	NaN	observer
7521.0	LT	120	r'	16.99	0	0.03	days	s	unspecified	apparent	False	NaN	observer
7654.2	LT	120	r'	16.99	0	0.03	days	s	unspecified	apparent	False	NaN	observer
77200.2	LT	300	r'	19.25	0	0.03	days	s	unspecified	apparent	False	NaN	observer
