col1	col2	col3	col4	col5	col6	col7
3220.379	1.480	-2.162	9.162543e+00	1.672886e+00	-1.673195e+00	4
3223.716	2.103	-1.857	8.606135e+00	1.611542e+00	-1.611752e+00	4
3227.718	1.458	-1.899	9.931831e+00	1.813310e+00	-1.813470e+00	4
3231.288	1.587	-2.112	8.979683e+00	1.639467e+00	-1.639573e+00	4
3234.605	1.941	-1.730	9.652599e+00	1.706362e+00	-1.706460e+00	4
3238.556	2.156	-2.011	1.205709e+01	1.797372e+00	-1.797490e+00	4
3242.578	2.137	-1.866	8.520672e+00	1.555658e+00	-1.555712e+00	4
3246.844	2.139	-2.129	7.991493e+00	1.459043e+00	-1.459085e+00	4
3251.177	2.004	-2.194	7.402661e+00	1.483043e+00	-1.483077e+00	4
3255.123	2.270	-1.941	7.685369e+00	1.446636e+00	-1.446676e+00	4
3259.989	1.840	-2.596	7.464372e+00	1.362804e+00	-1.362837e+00	4
3264.229	1.567	-2.400	8.341397e+00	1.522926e+00	-1.522962e+00	4
3268.338	2.262	-2.542	1.033397e+01	1.540500e+00	-1.540554e+00	4
3272.434	2.665	-1.834	1.128846e+01	1.682789e+00	-1.682846e+00	4
3277.496	1.841	-2.397	1.189067e+01	1.808914e+00	-1.808983e+00	4
3281.238	2.131	-1.901	8.463661e+00	1.545249e+00	-1.545293e+00	4
3285.938	2.487	-2.570	6.753660e+00	1.233047e+00	-1.233085e+00	4
3290.221	2.153	-1.796	8.645960e+00	1.578533e+00	-1.578588e+00	4
3294.455	2.456	-2.080	1.068426e+01	1.659023e+00	-1.659098e+00	4
3298.845	2.176	-1.934	9.953589e+00	1.636365e+00	-1.636442e+00	4
3303.153	1.882	-2.132	8.264704e+00	1.508925e+00	-1.508979e+00	4
3307.098	1.801	-2.063	8.586529e+00	1.567683e+00	-1.567744e+00	4
3311.232	2.286	-2.333	7.184145e+00	1.311643e+00	-1.311701e+00	4
3315.277	1.979	-1.759	8.675697e+00	1.633050e+00	-1.633118e+00	4
3319.005	1.977	-1.749	9.001486e+00	1.665171e+00	-1.665239e+00	4
3323.402	1.667	-2.421	7.932470e+00	1.493150e+00	-1.493212e+00	4
3327.334	2.176	-2.265	1.087767e+01	1.689058e+00	-1.689172e+00	4
3331.454	2.140	-1.944	7.948260e+00	1.496123e+00	-1.496192e+00	4
3335.657	2.276	-2.064	9.776323e+00	1.602600e+00	-1.602693e+00	4
3340.102	2.506	-2.169	6.782644e+00	1.316837e+00	-1.316898e+00	4
3345.177	1.611	-2.568	7.587952e+00	1.473186e+00	-1.473247e+00	4
3348.862	2.315	-2.074	7.223827e+00	1.402492e+00	-1.402558e+00	4
3353.474	2.054	-2.297	1.092872e+01	1.732438e+00	-1.732564e+00	4
3357.197	1.806	-1.669	9.444942e+00	1.800278e+00	-1.800366e+00	4
3361.823	2.269	-2.820	6.380359e+00	1.200994e+00	-1.201056e+00	4
3366.865	1.941	-2.774	7.043754e+00	1.286013e+00	-1.286089e+00	4
3370.781	2.398	-1.975	7.248156e+00	1.407216e+00	-1.407285e+00	4
3375.181	2.892	-2.002	1.017495e+01	1.516800e+00	-1.516911e+00	4
3380.419	2.273	-2.346	6.859400e+00	1.331738e+00	-1.331791e+00	4
3384.817	1.752	-2.125	1.245172e+01	1.933472e+00	-1.933591e+00	4
3388.811	2.207	-2.242	1.101949e+01	1.676385e+00	-1.676501e+00	4
3393.298	2.055	-2.279	7.659653e+00	1.398460e+00	-1.398527e+00	4
3397.265	2.021	-1.912	8.439130e+00	1.540773e+00	-1.540853e+00	4
3401.659	2.427	-2.373	1.050015e+01	1.597378e+00	-1.597487e+00	4
3406.623	1.938	-2.537	7.634052e+00	1.393785e+00	-1.393847e+00	4
3410.726	2.099	-2.165	1.162344e+01	1.768265e+00	-1.768390e+00	4
3414.536	1.845	-1.710	9.957716e+00	1.760298e+00	-1.760382e+00	4
3418.617	2.128	-2.237	7.603734e+00	1.388250e+00	-1.388314e+00	4
3422.873	1.855	-2.129	8.338712e+00	1.522439e+00	-1.522519e+00	4
3426.577	1.542	-1.849	9.795780e+00	1.788464e+00	-1.788562e+00	4
3429.856	2.933	-1.738	9.084948e+00	1.489266e+00	-1.489365e+00	4
3434.888	2.107	-2.099	7.358883e+00	1.474275e+00	-1.474338e+00	4
3440.171	2.080	-3.176	6.174906e+00	1.162320e+00	-1.162376e+00	4
3444.278	2.339	-2.027	7.601827e+00	1.387902e+00	-1.387968e+00	4
3448.529	1.962	-1.913	8.565149e+00	1.563780e+00	-1.563853e+00	4
3452.899	2.266	-2.407	1.049428e+01	1.596487e+00	-1.596608e+00	4
3457.889	2.028	-2.724	6.988507e+00	1.275926e+00	-1.275993e+00	4
3461.645	1.736	-1.728	9.587180e+00	1.750378e+00	-1.750464e+00	4
3465.172	1.853	-1.790	9.354172e+00	1.707836e+00	-1.707920e+00	4
