date	time	mag	dmag	dmag2	instrument	band	date_unit	time_frame	time_unit	mag_unit	extinction_corrected
55272.5	0.4	21.49	0.37	0.23	X-shooter	R	MJD	observer	days	Vega	false
55274.5	2.4	20.24	0.24	0.20	X-shooter	R	MJD	observer	days	Vega	false
55275.5	3.3	19.91	0.14	0.11	X-shooter	R	MJD	observer	days	Vega	false
55276.5	4.2	19.88	0.14	0.16	X-shooter	R	MJD	observer	days	Vega	false
55279.5	7.1	20.01	0.11	0.10	FORS2	V	MJD	observer	days	Vega	false
55279.5	7.1	19.63	0.06	0.04	FORS2	R	MJD	observer	days	Vega	false
55279.5	7.1	19.54	0.33	0.31	FORS2	I	MJD	observer	days	Vega	false
55279.5	7.1	19.48	0.53	0.51	X-shooter	R	MJD	observer	days	Vega	false
55280.5	8.0	19.37	0.08	0.06	X-shooter	R	MJD	observer	days	Vega	false
55281.5	8.9	19.47	0.12	0.10	X-shooter	R	MJD	observer	days	Vega	false
55281.7	9.1	19.66	0.21	NaN	PROMPT5*	V	MJD	observer	days	Vega	false
55281.7	9.1	19.21	0.14	NaN	PROMPT5*	R	MJD	observer	days	Vega	false
55283.5	10.8	19.47	0.08	0.06	X-shooter	R	MJD	observer	days	Vega	false
55283.5	10.8	19.40	0.15	NaN	PROMPT5*	R	MJD	observer	days	Vega	false
55283.5	10.8	18.93	0.12	NaN	PROMPT5*	I	MJD	observer	days	Vega	false
55283.5	10.8	19.73	0.15	NaN	PROMPT1*	V	MJD	observer	days	Vega	false
55283.5	10.8	19.36	0.11	NaN	PROMPT1*	R	MJD	observer	days	Vega	false
55283.5	10.8	19.00	0.16	NaN	PROMPT1*	I	MJD	observer	days	Vega	false
55284.5	11.8	21.05	0.08	NaN	FORS2	B	MJD	observer	days	Vega	false
55284.5	11.8	20.05	0.11	0.10	FORS2	V	MJD	observer	days	Vega	false
55284.5	11.8	19.65	0.10	0.08	FORS2	R	MJD	observer	days	Vega	false
55284.5	11.8	19.25	0.12	0.11	FORS2	I	MJD	observer	days	Vega	false
55284.5	11.8	19.99	0.15	NaN	PROMPT1*	V	MJD	observer	days	Vega	false
55284.5	11.8	19.41	0.11	NaN	PROMPT1*	R	MJD	observer	days	Vega	false
55285.5	12.7	19.09	0.180	0.167	X-shooter	I	MJD	observer	days	Vega	false
55285.5	12.7	19.50	0.15	NaN	PROMPT5*	R	MJD	observer	days	Vega	false
55285.5	12.7	19.05	0.12	NaN	PROMPT5*	I	MJD	observer	days	Vega	false
55286.5	13.7	20.17	0.19	NaN	PROMPT1*	V	MJD	observer	days	Vega	false
55286.5	13.7	19.49	0.12	NaN	PROMPT1*	R	MJD	observer	days	Vega	false
55286.5	13.7	19.10	0.14	NaN	PROMPT1*	I	MJD	observer	days	Vega	false
55287.5	14.6	19.77	0.07	0.07	X-shooter	R	MJD	observer	days	Vega	false
55289.5	16.5	20.85	0.37	NaN	FORS2	U	MJD	observer	days	Vega	false
55289.5	16.5	21.62	0.06	NaN	FORS2	B	MJD	observer	days	Vega	false
55289.5	16.5	20.38	0.18	0.16	FORS2	V	MJD	observer	days	Vega	false
55289.5	16.5	19.86	0.25	0.22	FORS2	R	MJD	observer	days	Vega	false
55289.5	16.5	19.39	0.09	0.08	FORS2	I	MJD	observer	days	Vega	false
55291.5	18.4	21.60	0.21	NaN	FORS2	U	MJD	observer	days	Vega	false
55291.5	18.4	21.99	0.11	NaN	FORS2	B	MJD	observer	days	Vega	false
55291.5	18.4	20.50	0.14	0.13	FORS2	V	MJD	observer	days	Vega	false
55291.5	18.4	19.96	0.15	0.13	FORS2	R	MJD	observer	days	Vega	false
