date	time	flux_density	flux_density_limit	dflux_density	freq	date_unit	time_unit	time_frame	flux_density_unit	instrument	dtime	freq_unit	reference
2010-Mar-18.35	1.81000	78.0	1	NaN	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Mar-18.35	1.81000	120.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Mar-27.10	10.57000	81.0	1	NaN	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Mar-27.10	10.57000	135.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-4.46	18.93000	90.0	0	20.0	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-4.46	18.93000	63.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-15.40	29.87000	128.0	0	19.0	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-15.40	29.87000	81.0	0	26.0	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-22.50	36.97000	68.0	0	21.0	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Apr-22.50	36.97000	72.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-May-25.40	69.87000	50.0	0	16.0	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-May-25.40	69.87000	60.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Sep-6.77	174.24000	42.0	1	NaN	5.4	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
2010-Sep-6.77	174.24000	60.0	1	NaN	9.0	yyyy-month-deciday	days	observer	microJy	ATCA	NaN	GHz	https://ui.adsabs.harvard.edu/abs/2013ApJ...778...18M/abstract
