event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2010bh,55271.99713426,20.21,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.00113426,19.91,0.11,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.01013426,20.04,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.12913426,20.45,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.99813426,20.09,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55273.55913426,20.03,0.03,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55273.99313426,19.96,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55274.42213426,19.87,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02013426,20.53,0.01,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02113426,19.4,0.01,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02413426,19.77,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02813426,19.44,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53313426,19.14,0.02,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53413426,19.47,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53813426,19.64,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.99813426,20.22,0.01,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00113426,19.15,0.01,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00213426,19.46,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00613426,19.12,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55278.59213426,20.25,0.05,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55278.61613426,19.49,0.03,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.42213426,19.33,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.47113426,20.14,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.48713426,19.48,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.46813426,19.47,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.50313426,19.04,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.60313426,19.29,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55281.48713426,20.13,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55281.50113426,19.47,0.03,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55282.49613426,20.19,0.06,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55282.54613426,19.33,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55283.51613426,19.32,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55287.55913426,19.12,0.03,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55287.57613426,19.49,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.51813426,21.18,0.07,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.52613426,19.91,0.04,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.53613426,19.18,0.02,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.55413426,19.52,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55289.39413426,21.3,0.05,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55289.43013426,19.96,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
