time	instrument	band	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime
0.07464	Swift/UVOT	uvw2	22.19	0	0.25	7.92	2.06	days	AB	apparent	microJy	observer	False	NaN
6.24391	Swift/UVOT	uvw2	24.03	0	0.3	1.45	0.47	days	AB	apparent	microJy	observer	False	NaN
8.33782	Swift/UVOT	uvw2	23.54	0	0.22	2.28	0.52	days	AB	apparent	microJy	observer	False	NaN
0.01117	Swift/UVOT	uvm2	21.56	0	0.34	15.47	5.71	days	AB	apparent	microJy	observer	False	NaN
0.06275	Swift/UVOT	uvm2	21.78	0	0.22	12.65	2.89	days	AB	apparent	microJy	observer	False	NaN
0.07939	Swift/UVOT	uvm2	21.55	0	0.2	15.65	3.2	days	AB	apparent	microJy	observer	False	NaN
5.25524	Swift/UVOT	uvm2	23.07	0	0.19	3.86	0.73	days	AB	apparent	microJy	observer	False	NaN
7.8936	Swift/UVOT	uvm2	23.59	0	0.23	2.39	0.56	days	AB	apparent	microJy	observer	False	NaN
0.01145	Swift/UVOT	uvw1	21.42	0	0.32	14.9	5.19	days	AB	apparent	microJy	observer	False	NaN
0.06513	Swift/UVOT	uvw1	22.01	0	0.29	8.61	2.64	days	AB	apparent	microJy	observer	False	NaN
0.08176	Swift/UVOT	uvw1	21.77	0	0.29	10.72	3.27	days	AB	apparent	microJy	observer	False	NaN
2.59007	Swift/UVOT	uvw1	22.25	0	0.11	6.89	0.7	days	AB	apparent	microJy	observer	False	NaN
6.43383	Swift/UVOT	uvw1	23.52	0	0.31	2.14	0.72	days	AB	apparent	microJy	observer	False	NaN
8.35208	Swift/UVOT	uvw1	23.68	0	0.3	1.85	0.58	days	AB	apparent	microJy	observer	False	NaN
0.00187	Swift/UVOT	White	21.46	0	0.15	12.57	1.91	days	AB	apparent	microJy	observer	False	NaN
0.01035	Swift/UVOT	White	21.67	0	0.17	10.43	1.73	days	AB	apparent	microJy	observer	False	NaN
0.07226	Swift/UVOT	White	21.14	0	0.11	16.98	1.73	days	AB	apparent	microJy	observer	False	NaN
0.60178	Swift/UVOT	White	20.18	0	0.02	40.85	0.65	days	AB	apparent	microJy	observer	False	NaN
1.01772	Swift/UVOT	White	20.67	0	0.02	26.18	0.58	days	AB	apparent	microJy	observer	False	NaN
1.76396	Swift/UVOT	White	21.3	0	0.03	14.6	0.39	days	AB	apparent	microJy	observer	False	NaN
2.79714	Swift/UVOT	White	21.83	0	0.04	8.95	0.36	days	AB	apparent	microJy	observer	False	NaN
3.54998	Swift/UVOT	White	22.2	0	0.04	6.35	0.22	days	AB	apparent	microJy	observer	False	NaN
4.4312	Swift/UVOT	White	22.26	0	0.05	6.03	0.3	days	AB	apparent	microJy	observer	False	NaN
5.49919	Swift/UVOT	White	22.41	0	0.07	5.24	0.33	days	AB	apparent	microJy	observer	False	NaN
7.27573	Swift/UVOT	White	22.4	0	0.1	5.32	0.5	days	AB	apparent	microJy	observer	False	NaN
9.32466	Swift/UVOT	White	23.01	0	0.09	3.01	0.26	days	AB	apparent	microJy	observer	False	NaN
10.77969	Swift/UVOT	White	23.15	0	0.06	2.65	0.15	days	AB	apparent	microJy	observer	False	NaN
13.03649	Swift/UVOT	White	23.11	0	0.05	2.77	0.14	days	AB	apparent	microJy	observer	False	NaN
2.3256	10.4mGTC/OSIRIS	u′	21.55	0	0.05	11.58	0.53	days	AB	apparent	microJy	observer	False	NaN
4.2138	10.4mGTC/OSIRIS	u′	21.68	0	0.06	10.27	0.57	days	AB	apparent	microJy	observer	False	NaN
90.1587	10.4mGTC/OSIRIS	u′	23.17	0	0.06	2.6	0.14	days	AB	apparent	microJy	observer	False	NaN
0.07524	Swift/UVOT	u'	20.98	0	0.19	19.86	3.74	days	AB	apparent	microJy	observer	False	NaN
5.76062	Swift/UVOT	u'	22.32	0	0.36	5.78	2.28	days	AB	apparent	microJy	observer	False	NaN
7.94797	Swift/UVOT	u'	23.03	0	0.23	2.99	0.72	days	AB	apparent	microJy	observer	False	NaN
0.06988	Swift/UVOT	b	20.27	0	0.2	35.81	7.36	days	AB	apparent	microJy	observer	False	NaN
6.90466	Swift/UVOT	b	22.27	0	0.34	5.72	2.14	days	AB	apparent	microJy	observer	False	NaN
8.55971	Swift/UVOT	b	22.24	0	0.36	5.83	2.26	days	AB	apparent	microJy	observer	False	NaN
1067.3543	10.0mKeck/LRIS	B	23.23	0	0.1	2.63	0.22	days	AB	apparent	microJy	observer	False	NaN
1.50975	8.2mVLT/X-shooter	g'	20.45	0	0.09	29.95	2.49	days	AB	apparent	microJy	observer	False	NaN
2.3355	10.4mGTC/OSIRIS	g'	21.05	0	0.02	17.23	0.32	days	AB	apparent	microJy	observer	False	NaN
4.2347	10.4mGTC/OSIRIS	g'	21.56	0	0.06	10.77	0.6	days	AB	apparent	microJy	observer	False	NaN
17.7392	10.0mKeck/LRIS	g'	22.71	0	0.06	3.74	0.21	days	AB	apparent	microJy	observer	False	NaN
28.3172	10.4mGTC/OSIRIS	g'	22.94	0	0.04	3.02	0.11	days	AB	apparent	microJy	observer	False	NaN
