date	instrument	time	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	freq_unit	flux_density_unit	time_frame	dtime	reference
2010-Apr-20	ATCA	2.00000	5.5	865.0	0	120.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Apr-20	ATCA	2.00000	9.0	1273.0	0	96.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Apr-21	VLA	3.00000	8.46	458.0	0	20.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Apr-24	VLA	6.00000	8.46	289.0	0	22.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Apr-30	VLA	12.00000	8.46	516.0	0	22.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-May-06	VLA	18.00000	8.46	537.0	0	20.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-May-14	VLA	26.00000	8.46	847.0	0	23.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-May-21	VLA	33.00000	8.46	1028.0	0	37.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-May-26	ATCA	38.00000	5.5	900.0	0	80.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-May-26	ATCA	38.00000	9.0	1370.0	0	180.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Jun-05	VLA	48.00000	8.46	1454.0	0	21.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Jun-15	VLA	56.00000	4.95	440.0	0	76.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
2010-Jun-15	VLA	56.00000	8.46	923.0	0	32.0	yyyy-month-deciday	days	GHz	microJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...779..105M/abstract
