col1	col2	col3	col4	col5	col6	col7
71.5244731988264	0.347269781756779	-0.376862193623225	1.38980279039863e-09	2.07296427547211e-10	-2.0727835822863e-10	1
72.1823980745038	0.324525915848767	-0.31065509392063	2.37341440441885e-09	2.87986038801458e-10	-2.87957347557993e-10	1
72.9105578081653	0.329368189194923	-0.403633817812675	1.35704868539287e-09	2.02371209578191e-10	-2.02358398960557e-10	1
73.5636405428517	0.279291459795701	-0.323714545491498	1.68533754073639e-09	2.48572507518593e-10	-2.48558157957889e-10	1
74.1201283202164	0.347279697998843	-0.277196317568951	1.59032269173224e-09	2.37139659929463e-10	-2.37127644617332e-10	1
74.7947030242472	0.315010964159939	-0.327295006031974	1.53946541662155e-09	2.29546791471299e-10	-2.29536620995585e-10	1
75.4117904100495	0.43628058586107	-0.302076421642425	1.33786125676518e-09	1.99480377807976e-10	-1.99472248774543e-10	1
76.2135797523587	0.442217269133323	-0.365508756448079	1.21904255256756e-09	1.81759165899812e-10	-1.81752656258183e-10	1
77.2760393651883	0.513991650684702	-0.62024234369629	1.21307951517615e-09	1.52870265391281e-10	-1.528631632402e-10	1
86.013	0.529	-0.568	9.43938144e-10	1.44385503e-10	-1.443782106e-10	4
87.051	0.603	-0.509	9.49009452e-10	1.415033364e-10	-1.414957144e-10	4
88.160	0.309	-0.506	1.29506947e-09	1.931035966e-10	-1.930931112e-10	4
89.066	0.630	-0.598	8.44084382e-10	1.291119832e-10	-1.291054118e-10	4
90.344	0.681	-0.648	7.94016288e-10	1.183921758e-10	-1.183859546e-10	4
91.588	0.443	-0.563	1.049794746e-09	1.565303566e-10	-1.565220754e-10	4
92.664	0.512	-0.634	9.04401388e-10	1.383366426e-10	-1.383299064e-10	4
93.710	0.573	-0.534	9.53585536e-10	1.421841046e-10	-1.421767916e-10	4
95.170	0.803	-0.888	6.13072686e-10	9.37758762e-11	-9.37711794e-11	4
96.511	0.485	-0.538	1.031959884e-09	1.538697018e-10	-1.538618532e-10	4
97.845	0.952	-0.849	5.86335328e-10	8.74253288e-11	-8.7420838e-11	4
99.549	0.837	-0.752	6.64470922e-10	9.90758442e-11	-9.90707148e-11	4
101.394	0.774	-1.009	5.6007795e-10	9.02209548e-11	-9.02169996e-11	4
103.267	1.047	-1.099	4.83121706e-10	7.38981328e-11	-7.38945072e-11	4
105.102	0.754	-0.788	6.72027826e-10	1.027938764e-10	-1.027886852e-10	4
107.300	1.588	-1.444	3.35541246e-10	5.2663797e-11	-5.26613044e-11	4
110.146	1.286	-1.258	4.14820758e-10	6.18518502e-11	-6.18486366e-11	4
113.440	1.266	-2.008	3.22384644e-10	4.80694202e-11	-4.80668658e-11	4
116.181	1.570	-1.475	3.46573576e-10	5.1676439e-11	-5.16736374e-11	4
119.932	1.682	-2.181	2.68891388e-10	4.11302484e-11	-4.11280854e-11	4
123.401	2.173	-1.788	2.574176e-10	4.04026564e-11	-4.0400617e-11	4
127.205	1.871	-1.630	2.034540048e-10	3.71514202e-11	-3.71500606e-11	4
131.268	2.321	-2.192	2.41537884e-10	3.6015186e-11	-3.60131672e-11	4
135.701	2.048	-2.112	1.699931158e-10	3.22561392e-11	-3.22549856e-11	4
140.589	1.762	-2.840	1.494356548e-10	2.94808866e-11	-2.94798978e-11	4
144.665	2.122	-2.314	1.550801784e-10	3.05944814e-11	-3.05934308e-11	4
149.136	2.344	-2.349	1.447246614e-10	2.85516824e-11	-2.8550673e-11	4
154.684	4.227	-3.204	8.47355868e-11	1.81037641e-11	-1.810322438e-11	4
163.525	5.054	-4.613	6.91347124e-11	1.363906224e-11	-1.363858844e-11	4
172.607	3.769	-4.028	9.06854436e-11	1.656000216e-11	-1.655928734e-11	4
196.410	18.153	-14.442	2.83783952e-11	6.35516592e-12	-6.35516592e-12	7
308.279	116.898	-93.716	3.62222778e-12	8.2056804e-13	-8.2056804e-13	7
575.996	295.482	-150.819	8.49793878e-13	2.25483274e-13	-2.25483274e-13	7
1196.830	369.168	-325.352	6.19926924e-13	1.584094886e-13	-1.584094886e-13	7
5376.793	408.380	-306.204	5.68166746e-13	1.507565886e-13	-1.507565886e-13	7
6567.180	775.022	-782.008	4.62219504e-13	9.25938894e-14	-9.25938894e-14	7
51154.276	202.116	-148.908	1.1205164e-12	2.95459002e-13	-2.95459002e-13	7
51542.751	142.098	-186.360	1.198992512e-12	3.13678054e-13	-3.13678054e-13	7
51938.865	229.895	-254.016	8.04524348e-13	2.12009226e-13	-2.12009226e-13	7
52355.117	182.218	-186.356	1.057133702e-12	2.78408382e-13	-2.78408382e-13	7
52800.626	188.016	-263.291	9.1706153e-13	2.35292994e-13	-2.35292994e-13	7
86543.193	423.862	-340.867	5.34140078e-13	1.434403956e-13	-1.434403956e-13	7
87239.213	199.216	-272.158	8.86387924e-13	2.33046358e-13	-2.33046358e-13	7
89032.789	3158.092	-1594.360	6.04166688e-13	1.182554742e-13	-1.182554742e-13	7
152520.071	3944.026	-3234.513	2.60904974e-13	6.45298296e-14	-6.45298296e-14	7
215517.718	11507.819	-6293.409	2.09839222e-13	5.88281822e-14	-5.88281822e-14	7
234301.280	4242.446	-2758.928	1.53458464e-13	4.23805242e-14	-4.23805242e-14	7
242471.339	5186.383	-665.191	2.67108458e-13	7.2222467e-14	-7.2222467e-14	7
