time	integration	mag	mag_limit	dmag	band	time_unit	integration_unit	time_frame	mag_type	mag_unit	extinction_corrected	instrument	dtime	reference
0.342	0.91	19.71	0	0.05	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.91	19.6	0	0.05	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.91	19.58	0	0.06	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.91	19.33	0	0.07	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.92	19.1	0	0.09	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.91	19.02	0	0.12	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.342	0.91	18.73	0	0.23	K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.356	1.44	19.78	0	0.05	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.356	1.44	19.73	0	0.03	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.356	1.44	19.57	0	0.03	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.356	1.44	19.54	0	0.04	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.357	1.49	19.26	0	0.08	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.357	1.49	19.08	0	0.11	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.357	1.49	18.84	0	0.2	K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.71	19.81	0	0.06	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.71	19.77	0	0.02	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.71	19.63	0	0.03	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.71	19.57	0	0.03	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.76	19.33	0	0.07	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.76	18.98	0	0.1	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.376	1.76	19.07	0	0.26	K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.446	1.72	20.0	0	0.06	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.446	1.72	19.9	0	0.04	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.446	1.72	19.73	0	0.03	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.446	1.72	19.76	0	0.04	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.447	1.77	19.61	0	0.1	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.447	1.77	19.31	0	0.12	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.447	1.77	18.74	0	0.23	K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.353	2.92	21.13	0	0.09	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.353	2.92	21.09	0	0.04	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.353	2.92	20.97	0	0.05	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.353	2.92	20.99	0	0.07	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.354	2.98	21.06	0	0.22	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.354	2.98	20.64	0	0.21	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
1.354	2.98	19.88	0	0.37	K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.381	1.47	21.76	0	0.17	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.381	1.47	21.67	0	0.07	r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.381	1.47	21.72	0	0.09	g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.381	1.47	21.87	0	0.15	z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
6.442	4.2	21.44	0	0.39	J	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
6.442	4.2	21.06	0	0.44	H	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
6.442	4.2	19.6	1		K_{s}	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.508	1.61	21.86	1		g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.508	1.61	22.3	1		r	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.508	1.61	22.02	1		g	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
2.508	1.61	21.83	1		z	days	kiloseconds	observer	apparent	AB	True	GROND		https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
