date	time	instrument	band	integration	mag	mag_limit	dmag	date_unit	time_unit	integration_unit	mag_type	mag_unit	extinction_corrected	dtime	time_frame	reference	extinction	flux_density	flux_density_limit	flux_density_unit
2011-Dec-09	0.9059	Gemini-N	g	180.0	20.24	0	0.04	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-09	0.9024	Gemini-N	r	180.0	19.82	0	0.02	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-09	0.899	Gemini-N	i	180.0	19.52	0	0.02	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-09	0.8955	Gemini-N	z	180.0	19.43	0	0.02	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-19	10.7756	Gemini-S	u	1440.0	23.41	0	0.08	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-25	15.7292	VLT/FORS2	u	1200.0	23.97	0	0.1	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-25	15.7251	VLT/HAWKI	J	2100.0	21.59	0	0.04	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-25	15.7783	VLT/HAWKI	H	2100.0	21.56	0	0.09	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-25	15.8164	VLT/HAWKI	K	2280.0	21.19	0	0.06	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-29	19.7347	VLT/FORS2	g	1000.0	23.22	0	0.02	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2011-Dec-29	19.7483	VLT/FORS2	R	1000.0	22.86	0	0.02	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-02	23.7361	VLT/FORS2	u	1800.0	24.5	0	0.23	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-02	23.7263	VLT/HAWKI	J	2100.0	21.77	0	0.04	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-09	30.8355	VLT/HAWKI	J	2100.0	22.21	0	0.1	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-14	35.7405	VLT/FORS2	u	1200.0	25.29	0	0.24	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-14	35.7172	VLT/HAWKI	J	2100.0	22.1	0	0.05	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
2012-Jan-19	40.7318	VLT/FORS2	u	2700.0	25.22	0	0.24	yyyy-month-deciday	days	seconds	apparent	AB	False	NaN	observer	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract	NaN	NaN	NaN	NaN
