time	integration	mag_limit	mag	dmag	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	dtime
742.0	19.5	0	19.03	0.26	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
1021.0	19.5	0	19.87	0.39	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
1369.0	19.5	0	19.84	0.38	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
5344.0	197.0	0	19.66	0.12	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
6780.0	197.0	0	19.67	0.11	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
12398.0	886.0	0	19.64	0.06	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
19034.0	694.0	0	19.93	0.07	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
41800.0	886.0	0	20.92	0.11	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
57659.0	660.0	0	21.3	0.17	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
75113.0	886.0	0	21.75	0.2	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
86682.0	886.0	0	21.33	0.14	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
109615.0	886.0	0	21.31	0.15	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
123155.0	366.0	0	21.56	0.23	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
128450.0	886.0	0	21.09	0.12	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
179202.0	315.0	0	22.34	0.48	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
184866.0	315.0	0	22.66	0.63	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
190594.0	315.0	0	22.05	0.4	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
196414.0	315.0	0	22.13	0.42	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
231066.0	315.0	0	22.58	0.6	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
236842.0	315.0	0	22.34	0.49	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
248391.0	315.0	0	22.68	0.62	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
254167.0	315.0	0	22.52	0.6	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
259893.0	315.0	0	21.66	0.31	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
315812.0	1134.0	0	23.18	0.46	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
347207.0	795.0	0	22.98	0.54	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
453914.0	1820.0	0	22.92	0.3	uvw2	UVOT	seconds	seconds	AB	apparent	observer	NaN
618.0	19.5	0	19.05	0.33	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
791.0	19.5	0	19.28	0.38	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
1593.0	19.4	0	19.66	0.45	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
1768.0	19.5	0	19.03	0.33	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
5754.0	197.0	0	19.91	0.17	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
7190.0	197.0	0	19.06	0.11	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
24053.0	886.0	0	19.75	0.07	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
76528.0	91.0	0	21.06	0.55	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
77083.0	110.0	0	20.69	0.34	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
80922.0	886.0	0	20.89	0.14	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
88370.0	629.0	0	20.96	0.16	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
98094.0	886.0	0	20.94	0.15	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
111387.0	793.0	0	20.99	0.14	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
134472.0	823.0	0	21.65	0.21	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
190934.0	180.0	0	21.93	0.64	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
196724.0	120.0	0	21.52	0.56	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
237248.0	310.0	0	21.46	0.33	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
243230.0	816.0	0	21.96	0.29	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
249516.0	1725.0	0	22.27	0.23	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
255291.0	1725.0	0	22.43	0.26	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
261042.0	1773.0	0	22.27	0.23	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
347616.0	795.0	0	22.66	0.5	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
454182.0	1820.0	0	22.76	0.33	uvm2	UVOT	seconds	seconds	AB	apparent	observer	NaN
643.0	19.5	0	18.67	0.23	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
816.0	19.5	0	18.58	0.23	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1095.0	19.5	0	18.9	0.26	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1269.0	19.5	0	19.12	0.29	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1444.0	19.5	0	18.74	0.24	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1618.0	19.5	0	19.47	0.36	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1793.0	19.5	0	18.78	0.25	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
1966.0	19.5	0	19.38	0.34	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
5959.0	197.0	0	19.64	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
7396.0	197.0	0	18.87	0.08	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
24836.0	642.0	0	19.74	0.07	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
35663.0	886.0	0	20.36	0.09	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
51634.0	374.0	0	21.12	0.3	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
69284.0	886.0	0	21.15	0.17	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
81829.0	886.0	0	20.84	0.12	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
92290.0	886.0	0	20.76	0.14	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
99001.0	886.0	0	20.6	0.1	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
222045.0	2944.0	0	21.94	0.19	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
315418.0	944.0	0	22.08	0.33	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
348017.0	782.0	0	22.71	0.52	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
454444.0	1680.0	0	22.99	0.42	uvw1	UVOT	seconds	seconds	AB	apparent	observer	NaN
840.0	19.5	0	19.0	0.26	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
6164.0	197.0	0	19.12	0.09	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
7601.0	197.0	0	18.1	0.05	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
28976.0	295.0	0	19.6	0.11	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
29280.0	295.0	0	19.66	0.11	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
29583.0	295.0	0	19.56	0.1	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
36269.0	295.0	0	19.99	0.13	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
36568.0	285.0	0	19.67	0.11	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
53598.0	295.0	0	20.83	0.24	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
53895.0	282.0	0	20.69	0.22	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
69891.0	295.0	0	21.03	0.28	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
70186.0	279.0	0	20.84	0.25	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
82435.0	295.0	0	20.4	0.17	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
82738.0	295.0	0	20.38	0.17	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
92897.0	295.0	0	20.19	0.15	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
93200.0	295.0	0	20.15	0.14	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
93504.0	295.0	0	20.28	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
99607.0	295.0	0	20.31	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
99911.0	295.0	0	20.28	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
100152.0	172.0	0	20.01	0.17	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
222132.0	1341.0	0	20.95	0.18	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
352654.0	1148.0	0	21.88	0.48	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
451850.0	920.0	0	21.64	0.34	u	UVOT	seconds	seconds	AB	apparent	observer	NaN
692.0	19.5	0	17.92	0.2	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
1144.0	19.5	0	18.12	0.23	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
1319.0	19.5	0	18.16	0.23	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
1494.0	19.5	0	18.32	0.26	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
1669.0	19.5	0	18.26	0.25	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
1842.0	19.5	0	18.79	0.37	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
2016.0	19.5	0	17.82	0.19	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
6369.0	197.0	0	18.88	0.12	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
7772.0	128.0	0	17.77	0.07	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
17006.0	295.0	0	18.43	0.11	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
17310.0	295.0	0	18.41	0.09	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
17613.0	295.0	0	18.44	0.08	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
29889.0	295.0	0	19.47	0.16	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
30194.0	295.0	0	19.32	0.14	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
30498.0	295.0	0	19.36	0.14	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
47562.0	295.0	0	19.86	0.21	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
47865.0	295.0	0	20.04	0.25	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
63209.0	295.0	0	20.2	0.47	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
63513.0	295.0	0	20.2	0.36	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
63816.0	295.0	0	20.32	0.32	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
93809.0	295.0	0	19.57	0.17	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
94113.0	295.0	0	20.12	0.26	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
94365.0	195.0	0	20.31	0.38	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
219341.0	1245.0	0	20.77	0.31	b	UVOT	seconds	seconds	AB	apparent	observer	NaN
594.0	19.5	0	17.21	0.24	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
766.0	19.5	0	17.35	0.25	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1046.0	19.5	0	17.76	0.33	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1219.0	19.5	0	17.81	0.32	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1394.0	19.5	0	17.29	0.24	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1569.0	19.5	0	18.22	0.46	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1743.0	19.5	0	17.88	0.35	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
1916.0	19.5	0	17.66	0.31	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
5549.0	197.0	0	18.04	0.16	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
6985.0	197.0	0	17.76	0.11	v	UVOT	seconds	seconds	AB	apparent	observer	NaN
