GRB/SN,Filename,Status,Reference
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_UV.pdf,"Optical, uv",https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2013ApJ...779...66S/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Bolometric.html,"Bolo, Early",https://ui.adsabs.harvard.edu/abs/2019A%26A...624A.143K/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_NIR_Optical.html,"Early, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_UV.html,"Early, Late, Optical, uv",https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_2.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_UV.txt,"Early, Optical, uv",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_3.txt,"Late, Optical",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_NIR_Optical_2.txt,"Early, Late, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...13L/abstract
GRB111209A-SN2011kl,GRB111209A-SN2011kl_Optical_4.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2013ApJ...779...66S/abstract
GRB111209A-SN2011kl,,,
GRB111209A-SN2011kl,GRB111209Axrtlc.txt,Xray,https://www.swift.ac.uk/xrt_curves/
GRB111209A-SN2011kl,OpenSNPhotometry.csv,Optical,https://api.astrocats.space/SN2011kl/photometry/time+magnitude+e_magnitude+band+ra+dec+source?format=csv
