Table 1 
TAROT R-band Observations (See Section 2.3)


T_start	T_stop	Flux	mag	dmag	
(min)	(min)	(mJy)	AB	AB	
7.95	8.45	0.4875	17.18	0.21	
11.20	11.70	0.5105	17.13	0.20	
11.87	12.37	0.3733	17.47	0.27	
19.61	21.11	0.3133	17.66	0.29	
21.28	22.78	0.2884	17.75	0.33	
24.62	26.12	0.2249	18.02	0.33	
28.86	30.36	0.2512	17.90	0.28	
35.53	37.03	0.3873	17.43	0.17	
37.20	38.70	0.955	16.45	0.26	
40.80	43.80	1.445	16.00	0.13	
43.96	46.96	0.6668	16.84	0.15	
47.13	50.13	0.6026	16.95	0.21	
50.30	53.30	0.6546	16.86	0.21	
53.46	56.46	0.6855	16.81	0.15	
56.63	59.63	0.6138	16.93	0.27	
60.61	63.61	0.6792	16.82	0.15	
1037.91	1311.70	0.0198	20.66	0.10	
Note. Flux and apparent magnitudes are not corrected for Galactic extinction.
