time	integration	mag	mag_limit	dmag	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
0.0292	20.0	16.297	0	0.081	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0356	20.0	17.115	0	0.149	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0422	20.0	17.285	0	0.145	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0484	20.0	16.98	0	0.119	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0547	20.0	16.995	0	0.112	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0611	20.0	16.93	0	0.095	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0675	20.0	16.904	0	0.123	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0736	20.0	16.817	0	0.115	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.078	20.0	16.897	0	0.103	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0864	20.0	16.805	0	0.091	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0925	20.0	16.907	0	0.128	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.0989	20.0	17.191	0	0.145	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1053	20.0	16.931	0	0.12	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1117	20.0	17.085	0	0.15	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1181	20.0	17.084	0	0.111	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1242	20.0	17.056	0	0.149	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1306	20.0	16.93	0	0.132	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.137	20.0	16.969	0	0.134	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1434	20.0	16.81	0	0.086	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1495	20.0	17.224	0	0.146	W	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1636	60.0	17.055	0	0.081	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1855	60.0	17.015	0	0.095	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2075	60.0	16.996	0	0.069	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2294	60.0	17.096	0	0.113	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2511	60.0	17.224	0	0.095	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.273	60.0	17.18	0	0.091	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2947	60.0	17.218	0	0.104	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3164	60.0	17.16	0	0.11	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3383	60.0	17.231	0	0.107	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3602	60.0	17.117	0	0.08	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3819	60.0	17.295	0	0.123	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4036	60.0	17.375	0	0.125	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4255	60.0	17.233	0	0.137	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4472	60.0	17.271	0	0.13	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4691	60.0	17.425	0	0.157	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4908	60.0	17.5	0	0.149	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5127	60.0	17.2	0	0.129	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5344	60.0	17.395	0	0.141	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5564	60.0	17.153	0	0.107	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.578	60.0	17.337	0	0.134	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1636	60.0	17.055	0	0.081	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.1855	60.0	17.015	0	0.095	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2075	60.0	16.996	0	0.069	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2294	60.0	17.096	0	0.113	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2511	60.0	17.224	0	0.095	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.273	60.0	17.18	0	0.091	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.2947	60.0	17.218	0	0.104	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3164	60.0	17.16	0	0.11	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3383	60.0	17.231	0	0.107	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3602	60.0	17.117	0	0.08	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.3819	60.0	17.295	0	0.123	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4036	60.0	17.375	0	0.125	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4255	60.0	17.233	0	0.137	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4472	60.0	17.271	0	0.13	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4691	60.0	17.425	0	0.157	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.4908	60.0	17.5	0	0.149	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5127	60.0	17.2	0	0.129	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5344	60.0	17.395	0	0.141	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.5564	60.0	17.153	0	0.107	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.578	60.0	17.337	0	0.134	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.6336	300.0	17.272	0	0.056	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.722	300.0	17.46	0	0.056	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
0.912	300.0	17.549	0	0.059	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.0902	300.0	17.55	0	0.058	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.2686	300.0	17.603	0	0.06	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.4467	300.0	17.817	0	0.066	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.625	300.0	17.813	0	0.06	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.8034	300.0	17.86	0	0.058	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
1.9817	300.0	17.943	0	0.058	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
2.1598	300.0	17.981	0	0.073	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
2.3381	300.0	18.097	0	0.108	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
2.5164	300.0	18.203	0	0.077	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
2.6945	300.0	18.12	0	0.071	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
2.8728	300.0	18.153	0	0.067	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.0511	300.0	18.128	0	0.057	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.2295	300.0	18.222	0	0.062	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.4075	300.0	18.309	0	0.073	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.5859	300.0	18.406	0	0.085	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.7642	300.0	18.297	0	0.118	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
3.9423	300.0	18.163	0	0.142	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
4.2989	300.0	18.386	0	0.132	R	TNT	days	seconds	Vega	apparent	observer	False	NaN
