date	time	instrument	band	integration	mag	mag_limit	dmag	dmag2	date_unit	time_unit	time_frame	integration_time	mag_unit	mag_type	extinction_corrected	dtime	reference	flux	dflux	integration_unit	flux_unit
56039.308	0.00769	Swift/UVOT	UVW2	38.9	20.27	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.313	0.01285	Swift/UVOT	UVW2	38.9	20.3	0	0.55	0.36	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.373	0.07228	Swift/UVOT	UVW2	332.2	20.5	0	0.19	0.16	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56066.505	27.20468	Swift/UVOT	UVW2	16823.3	24.05	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.311	0.01083	Swift/UVOT	UVM2	77.8	20.84	0	0.75	0.44	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.37	0.06907	Swift/UVOT	UVM2	196.6	20.89	0	0.47	0.33	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.436	0.13536	Swift/UVOT	UVM2	885.6	21.03	0	0.23	0.19	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56066.471	27.17049	Swift/UVOT	UVM2	16365	23.73	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.311	0.01056	Swift/UVOT	UVW1	58.3	20.56	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.364	0.06313	Swift/UVOT	UVW1	393.2	21.43	0	0.48	0.33	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.445	0.14444	Swift/UVOT	UVW1	645.3	21.56	0	0.37	0.28	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.598	0.29712	Swift/UVOT	UVW1	1771.2	21.47	0	0.21	0.18	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56067.11	27.80953	Swift/UVOT	UVW1	11529.3	23.43	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.305	0.00448	Swift/UVOT	U	245.8	21.06	0	0.51	0.35	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.311	0.01040	Swift/UVOT	U	52.9	20.08	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.366	0.06551	Swift/UVOT	U	393.2	21.08	0	0.43	0.31	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.53	0.22978	Swift/UVOT	U	1770.3	21.47	0	0.27	0.21	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.645	0.34492	Swift/UVOT	U	651.6	21.41	0	0.39	0.29	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56042.104	2.80359	Swift/UVOT	U	11277.9	22.94	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56051.997	12.69615	Swift/UVOT	U	69897.4	23.0	0	0.17	0.14	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56077.011	37.71005	Swift/UVOT	U	27766.2	23.32	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.339	0.03852	Swift/UVOT	B	451.6	20.93	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56039.539	0.23891	Swift/UVOT	B	1523.7	21.46	0	0.39	0.28	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.652	1.35175	Swift/UVOT	B	1444	21.58	1	NaN	NaN	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56061.463	22.16263	Swift/UVOT	B	7250.3	22.05	0	0.36	0.27	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
