flux	obs_wavelength	redshift	rest_wavelength	date_unit	date	instrument	flux_unit	wavelength_unit	reference	time	time_unit	time_frame	dtime
0.0	2580.0	0.283	2011.648850319291	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
6.27e-42	2690.0	0.283	2097.4168245577102	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.14e-42	2690.0	0.283	2097.4168245577102	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.2e-42	2690.0	0.283	2097.4168245577102	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.81e-40	2700.0	0.283	2105.213913124839	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.06e-39	2700.0	0.283	2105.213913124839	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.65e-38	2700.0	0.283	2105.213913124839	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.6300000000000001e-37	2710.0	0.283	2113.0110016919684	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.0700000000000003e-37	2710.0	0.283	2113.0110016919684	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
9.6e-38	2710.0	0.283	2113.0110016919684	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.99e-38	2720.0	0.283	2120.8080902590973	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.5e-38	2720.0	0.283	2120.8080902590973	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
7.39e-41	2720.0	0.283	2120.8080902590973	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.04e-38	2730.0	0.283	2128.605178826226	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
9.89e-38	2730.0	0.283	2128.605178826226	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
8.68e-39	2730.0	0.283	2128.605178826226	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.7100000000000004e-37	2740.0	0.283	2136.4022673933555	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.0900000000000004e-37	2740.0	0.283	2136.4022673933555	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
5.39e-37	2740.0	0.283	2136.4022673933555	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.49e-36	2750.0	0.283	2144.1993559604844	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.44e-36	2750.0	0.283	2144.1993559604844	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.56e-36	2750.0	0.283	2144.1993559604844	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.0300000000000002e-35	2760.0	0.283	2151.9964445276137	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.76e-36	2760.0	0.283	2151.9964445276137	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
7.72e-35	2760.0	0.283	2151.9964445276137	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
7.56e-35	2770.0	0.283	2159.7935330947425	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.15e-34	2770.0	0.283	2159.7935330947425	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
5.02e-35	2770.0	0.283	2159.7935330947425	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.85e-34	2780.0	0.283	2167.5906216618714	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.89e-33	2780.0	0.283	2167.5906216618714	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.73e-33	2790.0	0.283	2175.3877102290007	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
6.38e-33	2790.0	0.283	2175.3877102290007	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
6.06e-33	2790.0	0.283	2175.3877102290007	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.76e-32	2800.0	0.283	2183.1847987961296	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.09e-32	2800.0	0.283	2183.1847987961296	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.71e-32	2800.0	0.283	2183.1847987961296	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.6900000000000004e-32	2810.0	0.283	2190.9818873632585	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.21e-31	2810.0	0.283	2190.9818873632585	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
8.55e-31	2810.0	0.283	2190.9818873632585	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
9.9e-31	2820.0	0.283	2198.778975930388	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.6499999999999996e-30	2820.0	0.283	2198.778975930388	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
8.65e-30	2820.0	0.283	2198.778975930388	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.46e-29	2830.0	0.283	2206.5760644975167	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.0000000000000002e-29	2830.0	0.283	2206.5760644975167	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.35e-30	2830.0	0.283	2206.5760644975167	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
2.4900000000000002e-29	2840.0	0.283	2214.373153064646	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
3.4400000000000003e-29	2840.0	0.283	2214.373153064646	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.9600000000000002e-29	2840.0	0.283	2214.373153064646	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
1.21e-28	2850.0	0.283	2222.170241631775	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
8.55e-29	2850.0	0.283	2222.170241631775	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
4.11e-28	2850.0	0.283	2222.170241631775	utc	2012-05-22T00:00:00.000	VLT-UT1 - FORS2	erg/s/cm2/A	angstrom	https://ui.adsabs.harvard.edu/abs/2012A&A...547A..82M/abstract	29.69996527777778	days	observer	NaN
