time	mag	mag_limit	dmag	band	time_unit	time_frame	mag_unit	extinction_corrected	instrument	mag_type	dtime	reference
0.265	22.43	0	0.07	g'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	22.09	0	0.07	r'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	22.33	0	0.16	i'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	21.65	0	0.13	z'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	21.04	1	NaN	J	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	20.51	1	NaN	H	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.265	19.94	1	NaN	K_{s}	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	22.49	0	0.06	g'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	22.19	0	0.05	r'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	22.18	0	0.08	i'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	21.78	0	0.08	z'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	NaN	0	NaN	J	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	NaN	0	NaN	H	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.354	NaN	0	NaN	K_{s}	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	22.44	0	0.05	g'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	22.21	0	0.05	r'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	22.27	0	0.1	i'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	21.97	0	0.1	z'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	NaN	0	NaN	J	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	NaN	0	NaN	H	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.375	NaN	0	NaN	K_{s}	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	22.4	0	0.05	g'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	22.23	0	0.05	r'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	22.12	0	0.09	i'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	21.86	0	0.09	z'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	21.75	0	0.17	J	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	21.27	1	NaN	H	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.396	21.32	1	NaN	K_{s}	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.417	22.39	0	0.04	g'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.417	22.24	0	0.05	r'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.417	22.11	0	0.09	i'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.417	NaN	0	NaN	z'	days	observer	AB	False	GROND	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
