time	integration	mag	mag_limit	dmag	band	instrument	integration_unit	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime
101.98	20	14.74	0	0.04	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
202.18	20	15.34	0	0.04	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
299.88	20	15.67	0	0.04	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
400.08	20	15.87	0	0.04	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
500.28	20	15.98	0	0.04	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
598.78	20	16.19	0	0.05	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
698.98	20	16.41	0	0.06	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
799.18	20	16.65	0	0.07	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
899.48	20	16.8	0	0.08	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
996.18	20	16.87	0	0.09	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1093.88	20	16.94	0	0.09	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1194.08	20	17.01	0	0.11	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1294.28	20	17.07	0	0.1	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1394.48	20	17.26	0	0.1	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1492.98	20	17.22	0	0.12	V	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
134.78	20	13.81	0	0.03	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
235.08	20	14.31	0	0.04	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
333.48	20	14.64	0	0.04	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
432.88	20	14.81	0	0.04	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
533.08	20	14.87	0	0.05	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
632.48	20	15.13	0	0.05	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
731.88	20	15.37	0	0.05	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
832.08	20	15.56	0	0.07	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
930.58	20	15.67	0	0.06	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1028.18	20	15.79	0	0.06	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1127.58	20	15.91	0	0.07	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1226.88	20	16.97	0	0.07	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1327.08	20	16.13	0	0.08	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1427.38	20	16.07	0	0.08	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1525.88	20	16.22	0	0.09	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1593.28	20	16.36	0	0.1	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1659.78	20	16.38	0	0.12	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1723.68	20	16.5	0	0.12	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1797.18	20	16.42	0	0.09	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
1866.28	20	16.46	0	0.11	I	KAIT	seconds	seconds	observer	unspecified	apparent	False	NaN
