col1	col2	col3	col4	col5	col6	col7
75.216	0.711	-0.762	3.323949e+01	4.955058e+00	-4.955059e+00	4
76.981	0.860	-1.054	2.517073e+01	3.834568e+00	-3.834569e+00	4
78.603	0.813	-0.762	3.109816e+01	4.635846e+00	-4.635848e+00	4
80.116	0.791	-0.700	3.284263e+01	4.895898e+00	-4.895900e+00	4
81.658	0.676	-0.751	3.377021e+01	5.144634e+00	-5.144636e+00	4
83.444	0.783	-1.110	2.545488e+01	3.877857e+00	-3.877858e+00	4
85.078	0.847	-0.851	2.700006e+01	4.395397e+00	-4.395398e+00	4
86.802	1.278	-0.878	2.196845e+01	3.420838e+00	-3.420839e+00	4
88.904	1.021	-0.824	2.651937e+01	3.953281e+00	-3.953282e+00	4
90.861	0.850	-0.936	2.739149e+01	4.083289e+00	-4.083290e+00	4
92.657	1.083	-0.945	2.412332e+01	3.596098e+00	-3.596100e+00	4
94.488	0.735	-0.748	3.297445e+01	4.915550e+00	-4.915552e+00	4
96.086	1.056	-0.862	2.563995e+01	3.906053e+00	-3.906054e+00	4
98.469	1.327	-1.327	1.866596e+01	2.843618e+00	-2.843619e+00	4
101.274	1.043	-1.478	2.041562e+01	3.010125e+00	-3.010127e+00	4
103.535	0.832	-1.218	2.339331e+01	3.724154e+00	-3.724155e+00	4
105.686	1.143	-1.319	2.012279e+01	3.065555e+00	-3.065557e+00	4
108.602	1.493	-1.773	1.541491e+01	2.297924e+00	-2.297925e+00	4
111.749	1.438	-1.654	1.628407e+01	2.427491e+00	-2.427493e+00	4
114.453	1.200	-1.266	2.022359e+01	3.111741e+00	-3.111742e+00	4
116.953	1.180	-1.300	2.003360e+01	2.986439e+00	-2.986440e+00	4
119.242	1.277	-1.109	2.050579e+01	3.056829e+00	-3.056831e+00	4
122.224	2.118	-1.705	1.279597e+01	1.907515e+00	-1.907516e+00	4
125.643	1.039	-1.301	2.057846e+01	3.134973e+00	-3.134974e+00	4
128.178	1.617	-1.496	1.496372e+01	2.382185e+00	-2.382186e+00	4
131.662	1.777	-1.866	1.257281e+01	2.046754e+00	-2.046755e+00	4
134.528	1.071	-1.089	2.229155e+01	3.395950e+00	-3.395951e+00	4
