band	time	mag	mag_limit	dmag	mag_unit	instrument	time_unit	time_frame	extinction_corrected	mag_type	dtime	reference
g	0.97830	20.84	0	0.06	AB	GROND	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
g	2.95630	21.73	0	0.21	AB	GROND	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
g	9.79700	22.76	0	0.23	AB	GTC	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
g	372.84880	26.2	1	NaN	AB	GTC	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00810	14.09	0	0.04	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00823	14.17	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00836	14.03	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00849	14.1	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00863	14.06	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00869	14.09	0	0.02	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00876	14.07	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00889	14.11	0	0.06	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00902	14.0	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
r	0.00916	14.13	0	0.05	AB	ROTSE	days	observer	False	apparent	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...568A..19C/abstract
