instrument	time	band	freq	flux_density	dflux_density	flux_density_limit	time_unit	freq_unit	flux_density_unit	time_frame	dtime	reference	date	integration	date_unit	integration_unit
RT22	0.36173	Ka	36.0	6.1	2.023	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	0.67749	C	5.1	1.29	0.123	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	0.67749	C	6.8	2.57	0.16	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
CARMA	0.769	3 mm	93.0	3.416	0.365	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
CARMA	0.81	3 mm	85.0	3.0	0.3	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
CARMA	1.0	3 mm	93.0	2.47	0.481	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
RT22	1.40524	Ka	36.0	1.9	0.411	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
CARMA	1.914	3 mm	93.0	1.189	0.327	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	1.95438	K	20.7	1.349	0.069	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	1.95438	K	21.7	1.314	0.067	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.00877	K	19.2	1.31	0.065	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.00877	K	24.5	1.28	0.064	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.01811	Ku	13.5	1.48	0.074	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.01811	Ku	14.5	1.42	0.071	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.03854	C	5.1	1.76	0.088	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
VLA	2.03854	C	6.8	1.82	0.091	0	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN	NaN
