instrument	time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime
UVOT	0.00492	UVW2	19.5	11.044	0	0.04	29499.0	1067.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.0052	UVV	19.5	12.169	0	0.03	53489.0	1458.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00549	UVM2	19.5	11.158	0	0.03	31324.0	854.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00577	UVW1	19.4	11.228	0	0.04	32560.0	1178.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00693	UVW2	19.4	11.464	0	0.03	20035.0	546.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00721	UVV	19.4	12.569	0	0.03	37002.0	1009.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00749	UVM2	19.5	11.548	0	0.03	21870.0	596.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00778	UVW1	19.4	11.718	0	0.03	20732.0	565.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00836	UVB	19.5	12.899	0	0.16	31093.0	4261.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00893	UVW2	19.5	11.864	0	0.03	13860.0	378.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00922	UVV	19.4	12.799	0	0.03	29936.0	816.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00949	UVM2	19.4	11.828	0	0.03	16898.0	461.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.00978	UVW1	19.4	11.978	0	0.03	16317.0	445.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01006	UVU	19.4	12.177	0	0.04	20863.0	755.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01035	UVB	19.5	13.229	0	0.03	22942.0	625.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.0127	UVW2	19.4	12.174	0	0.03	10417.0	284.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01298	UVV	19.5	13.339	0	0.04	18201.0	659.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01327	UVM2	19.4	12.328	0	0.04	10661.0	386.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01355	UVW1	19.5	12.448	0	0.03	10582.0	288.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01384	UVU	19.5	12.587	0	0.03	14300.0	390.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01411	UVB	19.5	13.639	0	0.03	15725.0	429.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01471	UVW2	19.4	12.444	0	0.04	8123.0	294.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01499	UVV	19.4	13.479	0	0.04	15998.0	579.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01528	UVM2	19.4	12.438	0	0.04	9634.0	349.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01556	UVW1	19.4	12.558	0	0.03	9562.0	261.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01585	UVU	19.5	12.817	0	0.03	11570.0	315.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01613	UVB	19.4	13.849	0	0.03	12959.0	353.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01671	UVW2	19.4	12.554	0	0.04	7340.0	266.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01698	UVV	19.4	13.679	0	0.04	13305.0	482.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01727	UVM2	19.5	12.598	0	0.04	8313.0	301.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01755	UVW1	19.4	12.728	0	0.04	8176.0	296.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01783	UVU	19.4	12.897	0	0.03	10748.0	293.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01813	UVB	19.5	13.999	0	0.03	11286.0	308.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.0187	UVW2	19.4	12.754	0	0.04	6105.0	221.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01899	UVV	19.5	13.839	0	0.04	11481.0	416.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01926	UVM2	19.4	12.738	0	0.04	7307.0	264.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01954	UVW1	19.5	12.888	0	0.04	7055.0	255.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.01983	UVU	19.4	13.057	0	0.03	9274.0	253.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02012	UVB	19.4	14.109	0	0.03	10198.0	278.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02069	UVW2	19.4	12.784	0	0.04	5938.0	215.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02098	UVV	19.5	13.909	0	0.05	10763.0	485.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02127	UVM2	19.5	12.778	0	0.04	7043.0	255.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02156	UVW1	19.5	12.958	0	0.04	6614.0	239.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02183	UVU	19.5	13.147	0	0.03	8536.0	233.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02212	UVB	19.5	14.139	0	0.03	9920.0	270.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.0227	UVW2	19.4	12.864	0	0.04	5516.0	200.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02298	UVV	19.5	13.969	0	0.05	10184.0	459.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.02326	UVM2	19.5	12.868	0	0.05	6482.0	292.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.27095	UVW1	1175.6	15.478	0	0.01	646.0	6.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.54703	UVW2	562.8	16.285	0	0.03	234.0	6.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.55289	UVM2	422.0	16.308	0	0.04	270.0	10.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.55651	UVW1	179.6	16.338	0	0.05	291.0	13.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.62446	UVW1	229.1	16.648	0	0.05	218.0	10.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.62641	UVU	92.2	16.697	0	0.06	321.0	17.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.68475	UVW2	342.3	16.734	0	0.05	153.9	7.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.68834	UVM2	256.6	16.698	0	0.07	187.6	11.9	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.69093	UVW1	171.0	16.688	0	0.06	210.0	11.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	0.69247	UVU	82.4	16.887	0	0.07	269.0	17.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.13693	UVW2	1036.2	17.424	0	0.04	80.43	2.99	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.14396	UVM2	132.8	17.328	0	0.13	103.8	12.0	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.20374	UVW2	1035.2	17.504	0	0.04	74.55	2.78	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.21077	UVM2	133.7	17.318	0	0.13	104.7	12.1	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.41135	UVW2	690.2	17.724	0	0.06	60.45	3.38	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.41847	UVM2	453.1	17.738	0	0.08	70.22	5.19	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.47961	UVW2	659.2	17.955	0	0.07	48.42	3.17	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.48648	UVM2	493.9	17.988	0	0.09	55.19	4.62	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.48955	UVW1	11.4	17.008	0	0.29	155.1	37.2	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.54843	UVW2	571.6	17.844	0	0.07	53.88	3.51	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.5544	UVM2	428.9	17.778	0	0.09	67.58	5.6	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.55797	UVW1	164.0	17.658	0	0.11	83.58	8.41	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.61732	UVW2	493.9	17.924	0	0.07	49.89	3.26	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.62248	UVM2	369.8	17.978	0	0.1	55.72	5.16	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.62618	UVW1	246.8	17.998	0	0.1	60.12	5.61	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	1.62785	UVU	25.3	17.837	0	0.22	110.1	20.8	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.0049	UVW2	1040.1	18.174	0	0.06	39.15	2.23	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.01195	UVM2	129.1	18.308	0	0.21	40.36	7.6	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.07165	UVW2	1041.1	18.434	0	0.07	30.32	2.04	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.07869	UVM2	128.2	18.578	0	0.24	30.84	6.69	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.1395	UVW2	995.8	18.314	0	0.07	34.13	2.28	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.14653	UVM2	173.4	17.948	0	0.15	57.37	7.77	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.27236	UVW2	1025.3	18.444	0	0.07	30.02	2.02	days	seconds	AB	apparent	microJy	observer	False	NaN
UVOT	2.27939	UVM2	141.8	18.398	0	0.21	36.92	7.0	days	seconds	AB	apparent	microJy	observer	False	NaN
