Table 2 
Radio Observations of GRB 130427A


Telescope	t^a	Band	Frequency^b	Flux	
(days)	(GHz)	(muJy)	
RT22	0.36173	Ka	36.00	6100 +or- 2023	
VLA	0.67749	C	5.10	1290 +or- 123	
VLA	0.67749	C	6.80	2570 +or- 160	
CARMA	0.76900	3 mm	93.00	3416 +or- 365	
CARMA^c	0.81000	3 mm	85.00	3000 +or- 300	
CARMA	1.00000	3 mm	93.00	2470 +or- 481	
RT22	1.40524	Ka	36.00	1900 +or- 411	
CARMA	1.91400	3 mm	93.00	1189 +or- 327	
VLA	1.95438	K	20.70	1349 +or- 69	
VLA	1.95438	K	21.70	1314 +or- 67	
VLA^c	2.00877	K	19.20	1310 +or- 65	
VLA^c	2.00877	K	24.50	1280 +or- 64	
VLA^c	2.01811	Ku	13.50	1480 +or- 74	
VLA^c	2.01811	Ku	14.50	1420 +or- 71	
VLA^c	2.03854	C	5.10	1760 +or- 88	
VLA^c	2.03854	C	6.80	1820 +or- 91	
CARMA	2.80300	3 mm	93.00	807 +or- 225	
GMRT^c	3.25000	L	1.39	500 +or- 100	
PdBI	3.58256	3 mm	86.74	903 +or- 99	
VLA	4.71239	K	20.70	467 +or- 26	
VLA	4.71239	K	21.70	488 +or- 29	
VLA	4.73196	U	13.50	545 +or- 28	
VLA	4.73196	U	16.00	521 +or- 27	
VLA	4.74985	C	5.00	648 +or- 34	
VLA	4.74985	C	7.40	607 +or- 32	
VLA	4.76347	S	3.19	942 +or- 74	
PdBI	6.41243	3 mm	86.74	587 +or- 71	
VLA	9.71473	C	5.00	454 +or- 28	
VLA	9.71473	C	7.10	374 +or- 23	
VLA	9.92480	K	19.20	399 +or- 30	
VLA	9.92480	K	24.50	410 +or- 27	
VLA	9.93576	Ka	30.00	337 +or- 41	
VLA	9.93576	Ka	37.00	509 +or- 46	
VLA	9.94673	U	13.50	390 +or- 27	
VLA	9.94673	U	14.50	397 +or- 23	
VLA	9.95608	X	8.46	385 +or- 28	
PdBI	10.35652	3 mm	86.74	368 +or- 102	
GMRT^c	11.60000	L	1.39	450 +or- 100	
VLA	17.91450	U	14.00	275 +or- 31	
VLA	17.92385	X	8.50	332 +or- 72	
VLA	17.95399	C	5.50	263 +or- 22	
PdBI	23.51729	3 mm	86.74	197 +or- 62	
VLA	27.65017	C	6.05	242 +or- 18	
VLA	27.66800	X	9.77	243 +or- 16	
VLA	28.93510	K	21.85	212 +or- 19	
VLA	28.95414	U	14.00	223 +or- 15	
PdBI	49.56798	3 mm	86.74	196 +or- 112	
VLA	59.78386	K	19.20	159 +or- 20	
VLA	59.78386	K	24.50	128 +or- 30	
VLA	59.79915	U	14.00	110 +or- 30	
VLA	59.80989	X	8.46	109 +or- 30	
VLA	63.77799	C	7.20	137 +or- 16	
VLA	63.77799	C	5.79	151 +or- 21	
VLA	63.78838	S	3.10	119 +or- 45	
VLA	128.33868	C	5.00	86 +or- 8	
VLA	128.33868	C	7.10	91 +or- 7	
Notes.
a Integration mid-time, measured from the Fermi-GBM trigger (UT 07:47:06.42).
b Central frequency.
c From Laskar et al. (2013).
