band	time	instrument	integration	mag	mag_limit	dmag	time_unit	time_frame	mag_unit	extinction_corrected	integration_unit	dtime
u'	330.49	Keck/LRIS	203	24.5	0	0.14	days	observer	AB	False	seconds	NaN
g'	1.17	P60	120	18.8	0	0.04	days	observer	AB	False	seconds	NaN
g'	1.26	P60	120	18.86	0	0.04	days	observer	AB	False	seconds	NaN
g'	2.21	P60	270	19.52	0	0.04	days	observer	AB	False	seconds	NaN
g'	3.23	P60	450	20.02	0	0.05	days	observer	AB	False	seconds	NaN
g'	4.19	P60	1260	20.22	0	0.04	days	observer	AB	False	seconds	NaN
g'	5.27	P60	540	20.35	0	0.04	days	observer	AB	False	seconds	NaN
g'	6.28	P60	540	20.31	0	0.04	days	observer	AB	False	seconds	NaN
g'	7.2	P60	720	20.32	0	0.04	days	observer	AB	False	seconds	NaN
g'	9.87	Liverpool	130	20.35	0	0.33	days	observer	AB	False	seconds	NaN
g'	10.87	Liverpool	130	20.39	0	0.35	days	observer	AB	False	seconds	NaN
g'	11.26	P60	720	20.22	0	0.05	days	observer	AB	False	seconds	NaN
g'	11.87	Liverpool	130	20.06	0	0.21	days	observer	AB	False	seconds	NaN
g'	12.18	P60	660	20.23	0	0.03	days	observer	AB	False	seconds	NaN
g'	12.86	Liverpool	130	20.0	0	0.23	days	observer	AB	False	seconds	NaN
g'	13.86	Liverpool	130	20.39	0	0.34	days	observer	AB	False	seconds	NaN
g'	14.18	P60	720	20.31	0	0.06	days	observer	AB	False	seconds	NaN
g'	15.18	P60	720	20.43	0	0.07	days	observer	AB	False	seconds	NaN
g'	16.18	P60	720	20.36	0	0.13	days	observer	AB	False	seconds	NaN
g'	17.87	Liverpool	150	20.32	0	0.13	days	observer	AB	False	seconds	NaN
g'	19.87	Liverpool	150	20.78	0	0.19	days	observer	AB	False	seconds	NaN
g'	21.87	Liverpool	150	20.98	0	0.15	days	observer	AB	False	seconds	NaN
g'	23.87	Liverpool	150	21.25	0	0.3	days	observer	AB	False	seconds	NaN
g'	27.92	Liverpool	150	21.53	0	0.07	days	observer	AB	False	seconds	NaN
g'	29.21	P60	540	21.62	0	0.12	days	observer	AB	False	seconds	NaN
g'	30.19	P60	1080	21.72	0	0.09	days	observer	AB	False	seconds	NaN
g'	34.17	P60	1080	21.84	0	0.08	days	observer	AB	False	seconds	NaN
g'	37.89	Liverpool	450	22.06	0	0.08	days	observer	AB	False	seconds	NaN
