date	time	instrument	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	freq_unit	flux_density_unit	time_frame	dtime	reference
2013-07-04	2.00000	CARMA	93.0	1.58	0	0.33	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-04	2.30000	VLA	5.1	1.49	0	0.075	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-04	2.30000	VLA	7.1	1.6	0	0.081	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-05	3.10000	CARMA	93.0	1.85	0	0.69	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-06	4.10000	CARMA	93.0	1.09	0	0.35	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-08	6.10000	CARMA	93.0	1.44	0	0.26	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-08	7.00000	CARMA	93.0	1.16	0	0.32	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-14	12.00000	CARMA	93.0	0.9	0	0.23	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-15	13.00000	CARMA	93.0	1.55	0	0.59	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-24	22.00000	CARMA	93.0	1.43	0	0.48	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-07-25	23.00000	CARMA	93.0	1.89	1	NaN	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
2013-08-12	41.00000	CARMA	93.0	0.45	0	0.21	yyyy-mm-deciday	days	GHz	milliJy	observer	NaN	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
