GRB/SN,Filename,Status,Reference
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical1.txt,"Early, NIR, Optical",https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical2.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical3.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical4.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
GRB130702A-SN2013dx,NaN,Spectra,https://ui.adsabs.harvard.edu/abs/2015A%26A...577A.116D/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical5.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.3500V/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Optical.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
GRB130702A-SN2013dx,GRB130702A-SN2013dx_Radio.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract
GRB130702A-SN2013dx,GRB130702Axrtlc.txt,Xray,https://www.swift.ac.uk/xrt_curves/
GRB130702A-SN2013dx,OpenSNSpectra2.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra3.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra8.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra4.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra5.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra9.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra6.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra7.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra0.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
GRB130702A-SN2013dx,OpenSNSpectra1.txt,Spectra,https://ui.adsabs.harvard.edu/abs/2015arXiv150204883D/abstract
