time	dtime	band	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	reference	date	date_unit
2.994		g	23.2	0	0.05	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
17.014		i	22.26	0	0.09	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
18.435		g	24.49	0	0.03	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
17.054		i	22.32	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
20.024		g	24.48	0	0.09	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
18.026		i	22.3	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
22.812	2.467	g	24.62	0	0.25	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
18.972		i	22.24	0	0.05	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.007		g	25.02	0	0.19	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
19.011		i	22.36	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
55.487		g	25.43	0	0.09	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
20.058		i	22.41	0	0.04	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
77.981		g	25.27	0	0.09	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
20.331		i	22.33	0	0.12	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
85.376		g	25.49	0	0.12	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
21.297		i	22.58	0	0.24	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
1.262		r	21.49	0	0.08	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
22.259		i	22.42	0	0.12	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
2.25		r	22.2	0	0.1	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
23.261		i	22.29	0	0.18	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
3.01		r	22.6	0	0.04	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
24.246		i	22.43	0	0.1	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
18.434		r	22.71	0	0.03	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
25.256		i	22.32	0	0.16	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
19.316		r	22.64	0	0.09	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
26.032		i	22.55	0	0.08	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
20.042		r	22.82	0	0.05	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
26.927		i	22.44	0	0.11	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
22.22		r	22.74	0	0.19	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
29.061		i	22.57	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
23.248		r	23.12	0	0.19	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
31.024		i	22.68	0	0.05	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
24.211		r	23.16	0	0.12	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
31.184		i	22.65	0	0.16	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
25.227		r	23.23	0	0.17	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
32.18		i	22.52	0	0.21	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
31.042		r	23.45	0	0.07	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
34.184		i	22.53	0	0.15	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.015		r	24.08	0	0.13	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
40.007		i	22.99	0	0.16	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.745	1.496	r	24.24	0	0.27	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
45.151		i	23.26	0	0.29	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
55.487		r	24.05	0	0.08	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
46.015		i	23.1	0	0.1	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
65.657	5.428	r	24.23	0	0.35	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.025		i	23.34	0	0.08	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
77.99		r	24.05	0	0.07	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.309		i	23.28	0	0.23	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
85.386		r	24.28	0	0.08	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
49.175		i	23.37	0	0.19	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
120.764		r	24.22	0	0.11	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
57.901		i	23.72	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
1.213		i	21.3	0	0.11	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
60.154		i	23.74	0	0.36	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
2.317		i	22.04	0	0.12	P60	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
78.0		i	23.7	0	0.07	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
3.031		i	22.41	0	0.06	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
85.373		i	23.94	0	0.09	Keck	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
5.059		i	22.79	0	0.1	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
86.948		i	23.87	0	0.4	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
8.045		i	22.87	0	0.53	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
113.844		i	24.23	0	0.2	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.058		i	22.66	0	0.11	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
120.746		i	24.05	0	0.08	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.984		i	22.52	0	0.12	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
3.061		z	22.32	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
10.053		i	22.57	0	0.11	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
21.004		z	22.63	0	0.1	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
11.045		i	22.5	0	0.08	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
47.049		z	22.9	0	0.12	NOT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
12.032		i	22.45	0	0.08	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
78.013		z	23.68	0	0.1	GTC	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
13.053		i	22.41	0	0.07	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
2.408		K	19.56	0	0.12	Keck	days	observer	Vega	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
15.048		i	22.36	0	0.06	LT	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
9.44		K	21.01	0	0.15	Keck	days	observer	Vega	apparent	False	https://ui.adsabs.harvard.edu/abs/2015MNRAS.452.1535C/abstract		
0.18		R	19.89	0	0.1	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T07:31	utc
0.2		R	20.06	0	0.09	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T08:07	utc
0.23		R	20.32	0	0.14	P48	days	observer	AB	apparent	False	https://ui.adsabs.harvard.edu/abs/2015ApJ...806...52S/abstract	2014-06-06T08:42	utc
