date	mag	dmag	band	instrument	date_unit	mag_unit	mag_type	extinction_corrected
57744.08	19.83	0.01	B	VLT	MJD	AB	apparent	true
57744.08	19.66	0.01	V	VLT	MJD	AB	apparent	true
57744.08	19.39	0.01	R	VLT	MJD	AB	apparent	true
57744.08	18.89	0.00	I	VLT	MJD	AB	apparent	true
57746.08	20.04	0.01	B	VLT	MJD	AB	apparent	true
57746.08	19.84	0.01	V	VLT	MJD	AB	apparent	true
57746.08	19.74	0.01	R	VLT	MJD	AB	apparent	true
57746.08	19.33	0.01	I	VLT	MJD	AB	apparent	true
57748.12	20.24	0.01	B	VLT	MJD	AB	apparent	true
57748.12	19.82	0.01	V	VLT	MJD	AB	apparent	true
57748.12	19.73	0.01	R	VLT	MJD	AB	apparent	true
57748.12	19.48	0.01	I	VLT	MJD	AB	apparent	true
57749.03	20.21	0.03	B	TNG	MJD	AB	apparent	true
57749.03	19.65	0.10	V	TNG	MJD	AB	apparent	true
57749.03	19.53	0.02	R	TNG	MJD	AB	apparent	true
57749.03	19.35	0.05	I	TNG	MJD	AB	apparent	true
57749.99	20.18	0.13	B	LT	MJD	AB	apparent	true
57749.99	19.80	0.2	V	LT	MJD	AB	apparent	true
57749.99	19.81	0.05	g	LT	MJD	AB	apparent	true
57749.99	19.63	0.07	r	LT	MJD	AB	apparent	true
57749.99	19.80	0.03	I	LT	MJD	AB	apparent	true
57750.00	19.80	0.2	V	LT	MJD	AB	apparent	true
57750.00	19.80	0.05	g	LT	MJD	AB	apparent	true
57750.00	19.63	0.07	r	LT	MJD	AB	apparent	true
57750.00	19.80	0.03	I	LT	MJD	AB	apparent	true
57751.09	20.46	0.01	B	VLT	MJD	AB	apparent	true
57751.09	19.79	0.01	V	VLT	MJD	AB	apparent	true
57751.09	19.64	0.01	R	VLT	MJD	AB	apparent	true
57751.09	19.44	0.01	I	VLT	MJD	AB	apparent	true
57751.98	19.63	0.05	V	LT	MJD	AB	apparent	true
57751.98	19.92	0.05	g	LT	MJD	AB	apparent	true
57751.98	19.54	0.09	r	LT	MJD	AB	apparent	true
