time	instrument	band	freq	flux_density	dflux_density	time_unit	freq_unit	flux_density_unit	extinction_corrected	time_frame	mag	mag_limit	dmag	mag_unit	dtime
0.000544	SAAO_MASTER	R	467000000000000.0	1.338	0.4258	days	Hz	milliJy	False	observer	16.08385971642049	0	0.3455205351166005	AB	NaN
0.007331	Terksol_K-800	R	467000000000000.0	0.6518	0.02355	days	Hz	milliJy	False	observer	16.864714109677188	0	0.0392284253176648	AB	NaN
0.008823	Terksol_K-800	R	467000000000000.0	0.7293	0.02814	days	Hz	milliJy	False	observer	16.742734466092507	0	0.0418930711667266	AB	NaN
0.01194	Terksol_K-800	R	467000000000000.0	0.6017	0.0138	days	Hz	milliJy	False	observer	16.95154997127086	0	0.0249013788028289	AB	NaN
0.01585	Terksol_K-800	R	467000000000000.0	0.568	0.01286	days	Hz	milliJy	False	observer	17.014129160722455	0	0.0245819851992773	AB	NaN
0.02116	Terksol_K-800	R	467000000000000.0	0.5846	0.007887	days	Hz	milliJy	False	observer	16.98285297244646	0	0.0146479668951887	AB	NaN
0.02905	Terksol_K-800	R	467000000000000.0	0.5249	0.01077	days	Hz	milliJy	False	observer	17.09980856807965	0	0.022277346018756	AB	NaN
0.03905	Terksol_K-800	R	467000000000000.0	0.496	0.007675	days	Hz	milliJy	False	observer	17.161295808774504	0	0.0168004543780617	AB	NaN
0.05224	Terksol_K-800	R	467000000000000.0	0.4296	0.007304	days	Hz	milliJy	False	observer	17.31733931827125	0	0.0184595373360181	AB	NaN
0.06305	Terksol_K-800	R	467000000000000.0	0.3814	0.01223	days	Hz	milliJy	False	observer	17.446548278225034	0	0.0348152957110433	AB	NaN
0.08042	LCO_Sutherland	i'	403000000000000.0	0.4786	0.02256	days	Hz	milliJy	False	observer	17.200068264306452	0	0.0511788733375332	AB	NaN
0.08047	LCO_Sutherland	r'	490000000000000.0	0.413	0.01947	days	Hz	milliJy	False	observer	17.360124870858996	0	0.0511847067957404	AB	NaN
0.08228	LCO_Sutherland	i'	403000000000000.0	0.4487	0.02115	days	Hz	milliJy	False	observer	17.270109826167314	0	0.0511774475833172	AB	NaN
0.08234	LCO_Sutherland	r'	490000000000000.0	0.3981	0.01494	days	Hz	milliJy	False	observer	17.400019556039755	0	0.040745789749024	AB	NaN
0.08413	LCO_Sutherland	i'	403000000000000.0	0.4365	0.0248	days	Hz	milliJy	False	observer	17.300039379896027	0	0.0616867305337952	AB	NaN
0.08419	LCO_Sutherland	r'	490000000000000.0	0.4018	0.01894	days	Hz	milliJy	False	observer	17.38997516896942	0	0.0511793024343428	AB	NaN
0.08598	LCO_Sutherland	i'	403000000000000.0	0.4487	0.02115	days	Hz	milliJy	False	observer	17.270109826167314	0	0.0511774475833172	AB	NaN
0.08604	LCO_Sutherland	r'	490000000000000.0	0.3767	0.01414	days	Hz	milliJy	False	observer	17.46001094949183	0	0.0407547383469072	AB	NaN
0.08784	LCO_Sutherland	i'	403000000000000.0	0.4365	0.02057	days	Hz	milliJy	False	observer	17.300039379896027	0	0.0511651631887164	AB	NaN
0.08788	LCO_Sutherland	r'	490000000000000.0	0.3837	0.0144	days	Hz	milliJy	False	observer	17.44002050200421	0	0.0407469412262628	AB	NaN
0.247	Boyden_Watcher	r'	490000000000000.0	0.2168	0.06899	days	Hz	milliJy	False	observer	18.059851805334127	0	0.3455024943093328	AB	NaN
0.282	MPG_GROND	H	184000000000000.0	0.3607	0.01011	days	Hz	milliJy	False	observer	17.507134644204093	0	0.0304319185752833	AB	NaN
0.283	MPG_GROND	K	137000000000000.0	0.2951	0.01391	days	Hz	milliJy	False	observer	17.7250769762501	0	0.0511778739687752	AB	NaN
0.283	MPG_GROND	J	238000000000000.0	0.3113	0.008722	days	Hz	milliJy	False	observer	17.66705219829371	0	0.0304201451265673	AB	NaN
0.285	MPG_GROND	z'	337000000000000.0	0.2606	0.007301	days	Hz	milliJy	False	observer	17.860063971558585	0	0.03041811216784	AB	NaN
0.285	MPG_GROND	i'	403000000000000.0	0.2421	0.006783	days	Hz	milliJy	False	observer	17.94001302639567	0	0.030419449305553	AB	NaN
0.285	MPG_GROND	g'	646000000000000.0	0.2249	0.004181	days	Hz	milliJy	False	observer	18.02002636141092	0	0.0201843622591984	AB	NaN
0.286	MPG_GROND	r'	490000000000000.0	0.2148	0.001987	days	Hz	milliJy	False	observer	18.069914307431205	0	0.0100435653577951	AB	NaN
0.296	MPG_GROND	K	137000000000000.0	0.3357	0.0126	days	Hz	milliJy	False	observer	17.58512164687997	0	0.0407514929399834	AB	NaN
0.298	MPG_GROND	H	184000000000000.0	0.3382	0.01269	days	Hz	milliJy	False	observer	17.577065991845693	0	0.0407391852110605	AB	NaN
0.298	MPG_GROND	J	238000000000000.0	0.2973	0.008329	days	Hz	milliJy	False	observer	17.717012726987655	0	0.0304174128806944	AB	NaN
0.3	MPG_GROND	z'	337000000000000.0	0.2512	0.007037	days	Hz	milliJy	False	observer	17.899950912337104	0	0.0304153092073366	AB	NaN
0.3	MPG_GROND	i'	403000000000000.0	0.2355	0.004378	days	Hz	milliJy	False	observer	17.970022721337713	0	0.0201840896154186	AB	NaN
0.3	MPG_GROND	r'	490000000000000.0	0.2089	0.001933	days	Hz	milliJy	False	observer	18.10015390004923	0	0.0100465681368954	AB	NaN
0.3	MPG_GROND	g'	646000000000000.0	0.1995	0.003709	days	Hz	milliJy	False	observer	18.150142749943083	0	0.0201854415210421	AB	NaN
0.308	MPG_GROND	K	137000000000000.0	0.3296	0.01553	days	Hz	milliJy	False	observer	17.605031992437304	0	0.0511574128030757	AB	NaN
0.308	MPG_GROND	J	238000000000000.0	0.2762	0.007738	days	Hz	milliJy	False	observer	17.79694081439347	0	0.0304179100377205	AB	NaN
0.309	MPG_GROND	H	184000000000000.0	0.3574	0.01001	days	Hz	milliJy	False	observer	17.517113629575938	0	0.0304091197807187	AB	NaN
0.311	MPG_GROND	z'	337000000000000.0	0.2512	0.00467	days	Hz	milliJy	False	observer	17.899950912337104	0	0.0201846659085209	AB	NaN
0.311	MPG_GROND	i'	403000000000000.0	0.2312	0.002139	days	Hz	milliJy	False	observer	17.990030425628774	0	0.0100449383303531	AB	NaN
0.311	MPG_GROND	r'	490000000000000.0	0.2051	0.001898	days	Hz	milliJy	False	observer	18.12008584907908	0	0.0100474271898143	AB	NaN
0.311	MPG_GROND	g'	646000000000000.0	0.1977	0.003675	days	Hz	milliJy	False	observer	18.159983326715817	0	0.0201825015300259	AB	NaN
0.6485	FTN_2m	r'	490000000000000.0	0.1247	0.009538	days	Hz	milliJy	False	observer	18.660333866303645	0	0.0830453241458142	AB	NaN
0.6503	FTN_2m	i'	403000000000000.0	0.1432	0.01382	days	Hz	milliJy	False	observer	18.510142455070408	0	0.1047826421072441	AB	NaN
0.742	Akeno_MITSuME	Ic	376000000000000.0	0.134	0.01429	days	Hz	milliJy	False	observer	18.582238004087984	0	0.1157848534775646	AB	NaN
0.742	Akeno_MITSuME	g'	646000000000000.0	0.1067	0.01137	days	Hz	milliJy	False	observer	18.829588951438826	0	0.1156965384076844	AB	NaN
1.03	SALT_SALTICAM	r'	490000000000000.0	0.09638	0.005476	days	Hz	milliJy	False	observer	18.940032695087027	0	0.0616880209302294	AB	NaN
1.086	LCO_Sutherland	r'	490000000000000.0	0.08395	0.00477	days	Hz	milliJy	False	observer	19.08994824881483	0	0.0616910267623142	AB	NaN
1.09	LCO_Sutherland	i'	403000000000000.0	0.1169	0.008943	days	Hz	milliJy	False	observer	18.7304637220954	0	0.0830602128242254	AB	NaN
1.554	MPG_GROND	K	137000000000000.0	0.1466	0.01267	days	Hz	milliJy	False	observer	18.484665074237228	0	0.0938354550769815	AB	NaN
1.554	MPG_GROND	H	184000000000000.0	0.141	0.005291	days	Hz	milliJy	False	observer	18.52695221836155	0	0.0407420585771295	AB	NaN
1.554	MPG_GROND	J	238000000000000.0	0.1141	0.003196	days	Hz	milliJy	False	observer	18.756785888954465	0	0.0304120325189043	AB	NaN
1.556	MPG_GROND	r'	490000000000000.0	0.07244	0.001347	days	Hz	milliJy	False	observer	19.25005389589495	0	0.0201889379874268	AB	NaN
1.557	MPG_GROND	z'	337000000000000.0	0.09036	0.002532	days	Hz	milliJy	False	observer	19.010059444379188	0	0.0304236838252277	AB	NaN
1.557	MPG_GROND	i'	403000000000000.0	0.08551	0.00159	days	Hz	milliJy	False	observer	19.0699577339145	0	0.0201885225770719	AB	NaN
1.557	MPG_GROND	g'	646000000000000.0	0.07112	0.001993	days	Hz	milliJy	False	observer	19.270020630094606	0	0.0304256503948671	AB	NaN
1.664	FTS_2m	r'	490000000000000.0	0.0631	0.004202	days	Hz	milliJy	False	observer	19.399926601889664	0	0.0723021162027521	AB	NaN
1.666	FTS_2m	i'	403000000000000.0	0.08472	0.006478	days	Hz	milliJy	False	observer	19.080035132251428	0	0.0830193476678843	AB	NaN
2.296	VLT	I	376000000000000.0	0.06717	0.0006216	days	Hz	milliJy	False	observer	19.332061629253268	0	0.0100475454053543	AB	NaN
2.296	VLT	R	467000000000000.0	0.05375	0.0004974	days	Hz	milliJy	False	observer	19.574053828530893	0	0.0100473523394733	AB	NaN
2.296	VLT	V	551000000000000.0	0.06093	0.0005637	days	Hz	milliJy	False	observer	19.437922054688823	0	0.0100447972857731	AB	NaN
2.296	VLT	B	688000000000000.0	0.04751	0.0004396	days	Hz	milliJy	False	observer	19.708037423951986	0	0.0100460878891112	AB	NaN
2.533	LCO_Swope	B	688000000000000.0	0.04394	0.002466	days	Hz	milliJy	False	observer	19.792849868538774	0	0.0609336704809637	AB	NaN
2.54	LCO_Swope	V	551000000000000.0	0.06938	0.002779	days	Hz	milliJy	False	observer	19.296914261234896	0	0.0434889148605194	AB	NaN
2.548	LCO_Swope	u'	834000000000000.0	0.03443	0.005181	days	Hz	milliJy	False	observer	20.05765744323832	0	0.1633807515786194	AB	NaN
2.556	LCO_Swope	g'	646000000000000.0	0.04961	0.001633	days	Hz	milliJy	False	observer	19.661076932409536	0	0.0357389079292486	AB	NaN
2.557	MPG_GROND	K	137000000000000.0	0.09333	0.01091	days	Hz	milliJy	False	observer	18.974946835429087	0	0.1269193399111881	AB	NaN
2.559	MPG_GROND	H	184000000000000.0	0.09489	0.005391	days	Hz	milliJy	False	observer	18.95694888341153	0	0.0616840961097173	AB	NaN
2.559	MPG_GROND	J	238000000000000.0	0.08039	0.003789	days	Hz	milliJy	False	observer	19.1369949283442	0	0.0511737091656742	AB	NaN
2.561	MPG_GROND	z'	337000000000000.0	0.07379	0.002067	days	Hz	milliJy	False	observer	19.230006224137625	0	0.0304135619356966	AB	NaN
2.561	MPG_GROND	i'	403000000000000.0	0.06486	0.001206	days	Hz	milliJy	False	observer	19.37005763915761	0	0.0201880644918024	AB	NaN
2.561	MPG_GROND	r'	490000000000000.0	0.05395	0.0004992	days	Hz	milliJy	False	observer	19.57002137745268	0	0.010046330183786	AB	NaN
2.561	MPG_GROND	g'	646000000000000.0	0.06138	0.001141	days	Hz	milliJy	False	observer	19.429932789760493	0	0.0201828773155592	AB	NaN
2.563	LCO_Swope	i'	403000000000000.0	0.06763	0.003451	days	Hz	milliJy	False	observer	19.324651531436643	0	0.055402567538375	AB	NaN
2.571	LCO_Swope	r'	490000000000000.0	0.05535	0.003039	days	Hz	milliJy	False	observer	19.542205936963143	0	0.0596125081528447	AB	NaN
2.585	UKIRT_WFCAM	J	241000000000000.0	0.09612	0.006118	days	Hz	milliJy	False	observer	18.942965594670344	0	0.0691066801988164	AB	NaN
2.606	UKIRT_WFCAM	H	185000000000000.0	0.1151	0.007216	days	Hz	milliJy	False	observer	18.74731169092552	0	0.0680683966423515	AB	NaN
2.628	UKIRT_WFCAM	K	137000000000000.0	0.1044	0.006647	days	Hz	milliJy	False	observer	18.85324875333439	0	0.0691272849906828	AB	NaN
2.689	FTS_2m	r'	490000000000000.0	0.04571	0.003495	days	Hz	milliJy	False	observer	19.749971946776675	0	0.0830157085020709	AB	NaN
2.691	FTS_2m	i'	403000000000000.0	0.05598	0.005968	days	Hz	milliJy	False	observer	19.529917764674643	0	0.1157497976062257	AB	NaN
3.585	UKIRT_WFCAM	J	241000000000000.0	0.08519	0.005925	days	Hz	milliJy	False	observer	19.0740284543892	0	0.0755134054841168	AB	NaN
3.607	FTN_2m	r'	490000000000000.0	0.03837	0.00144	days	Hz	milliJy	False	observer	19.94002050200421	0	0.0407469412262628	AB	NaN
3.611	FTN_2m	i'	403000000000000.0	0.04571	0.002597	days	Hz	milliJy	False	observer	19.749971946776675	0	0.0616857782488921	AB	NaN
3.613	UKIRT_WFCAM	H	185000000000000.0	0.08527	0.006267	days	Hz	milliJy	False	observer	19.073009342541752	0	0.0797972181918517	AB	NaN
3.638	UKIRT_WFCAM	K	137000000000000.0	0.07958	0.004677	days	Hz	milliJy	False	observer	19.147990162974075	0	0.0638098546073607	AB	NaN
4.296	VLT	I	376000000000000.0	0.04479	0.0004145	days	Hz	milliJy	False	observer	19.77204734388828	0	0.0100477262083555	AB	NaN
4.296	VLT	R	467000000000000.0	0.03894	0.0003603	days	Hz	milliJy	False	observer	19.924010132039967	0	0.0100459875340101	AB	NaN
