time	freq	flux_density	flux_density_limit	dflux_desnity	instrument	time_unit	freq_unit	flux_density_unit	extinction_corrected	time_frame	dtime	reference	dflux_density	intrument
0.5111	19.0	0.2781	0	28.6	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5111	21.0	0.1562	0	41.7	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5111	23.0	0.1847	0	36.1	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5111	25.0	0.2424	0	47.5	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.533	13.5	0.9673	0	45.6	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.533	16.0	0.7661	0	42.6	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5482	8.5	0.2259	0	15.2	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5482	11.0	0.1858	0	24.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5605	5.0	0.1702	0	25.5	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
0.5605	7.4	0.0925	0	16.4	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.432	30.0	1.559	0	47.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.432	33.5	1.33	0	150.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.459	19.0	3.179	0	27.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.459	21.0	3.505	0	40.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.459	23.0	3.373	0	40.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.459	25.0	2.954	0	32.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.479	13.5	1.416	0	14.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.479	16.0	1.162	0	15.0	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.507	8.5	1.663	0	31.4	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.507	11.0	1.702	0	37.8	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.521	5.0	0.7755	0	29.7	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
1.521	7.4	1.353	0	34.3	VLA	days	GHz	milliJy	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2018ApJ...862...94L/abstract	NaN	NaN
