time	integration	mag	mag_limit	dmag	time_unit	time_frame	integration_unit	mag_unit	mag_type	extinction_corrected	instrument	band	dtime	reference
0.8698703703703702	4818.4	19.81	0	0.04	days	observer	seconds	AB	apparent	False	UVOT	UWh	5819.099999999999	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
1.573890625	1929.9	20.65	0	0.06	days	observer	seconds	AB	apparent	False	UVOT	UWh	3206.350000000006	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
2.107684606481482	1505.1	20.72	0	0.06	days	observer	seconds	AB	apparent	False	UVOT	UWh	8626.550000000003	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
3.0188437500000003	431.9	20.97	0	0.13	days	observer	seconds	AB	apparent	False	UVOT	UWh	222.5	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
4.2434108796296295	3077.0	21.17	0	0.06	days	observer	seconds	AB	apparent	False	UVOT	UWh	20359.9	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
5.338919560185185	1267.8	21.45	0	0.1	days	observer	seconds	AB	apparent	False	UVOT	UWh	647.8500000000058	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
6.663390046296296	4986.7	21.57	0	0.07	days	observer	seconds	AB	apparent	False	UVOT	UWh	18033.599999999977	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
8.422327546296296	11505.9	21.62	0	0.05	days	observer	seconds	AB	apparent	False	UVOT	UWh	43901.5	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
10.743858796296296	9110.8	21.68	0	0.06	days	observer	seconds	AB	apparent	False	UVOT	UWh	78101.09999999998	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
14.103737847222224	15454.0	21.72	0	0.05	days	observer	seconds	AB	apparent	False	UVOT	UWh	103227.65000000002	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
17.658271412037035	6185.0	21.8	0	0.07	days	observer	seconds	AB	apparent	False	UVOT	UWh	122745.34999999998	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
19.877718171296294	1511.1	21.8	0	0.12	days	observer	seconds	AB	apparent	False	UVOT	UWh	5986.25	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
85.93650405092593	10332.0	21.75	0	0.06	days	observer	seconds	AB	apparent	False	UVOT	UWh	147376.5499999998	https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
2.236	720.0	20.08	0	0.06	days	observer	seconds	apparent	AB	False	Asiago	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
117.38	1800.0	20.48	0	0.06	days	observer	seconds	apparent	AB	False	LBT	r		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
3.478	1592.0	20.52	0	0.03	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
0.626	900.0	17.75	0	0.09	days	observer	seconds	apparent	AB	False	iT	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
6.556	1593.0	20.85	0	0.05	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
2.256	720.0	19.06	0	0.26	days	observer	seconds	apparent	AB	False	Asiago	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
9.535	2390.0	20.94	0	0.05	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
3.478	1592.0	19.7	0	0.03	days	observer	seconds	apparent	AB	False	GROND	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
11.528	2374.0	20.97	0	0.04	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
5.332	1800.0	19.78	0	0.1	days	observer	seconds	apparent	AB	False	CAHA	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
13.539	4153.0	20.93	0	0.05	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
6.556	1593.0	19.87	0	0.05	days	observer	seconds	apparent	AB	False	GROND	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
15.544	2180.0	21.0	0	0.05	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
8.4	360.0	19.8	0	0.12	days	observer	seconds	apparent	AB	False	NTT	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
18.495	2418.0	21.02	0	0.06	days	observer	seconds	apparent	AB	False	GROND	g		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
9.401	600.0	19.87	0	0.03	days	observer	seconds	apparent	AB	False	NOT	i		https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5366M/abstract
