time	freq	bandwidth	flux_density	flux_density_limit	dflux_density	time_unit	time_frame	flux_density_unit	freq_unit	bandwidth_unit	instrument	dtime
2.57	4.5	1	369.0	0	21	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.57	5.5	1	510.0	0	21	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.57	6.5	1	719.0	0	26	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.57	7.5	1	936.0	0	33	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.56	8.5	1	1204.0	0	40	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.56	9.5	1	1580.0	0	54	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.56	10.5	1	1858.0	0	64	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
2.56	11.5	1	2009.0	0	71	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.66	4.5	1	929.0	0	42	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.66	5.5	1	978.0	0	33	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.66	6.5	1	1025.0	0	35	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.66	7.5	1	1090.0	0	35	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.67	8.5	1	1147.0	0	37	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.67	9.5	1	1161.0	0	38	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.67	10.5	1	1140.0	0	38	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.67	11.5	1	1187.0	0	41	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.64	19.1	2	1034.0	0	60	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.64	21.1	2	930.0	0	55	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.64	23.0	2	822.0	0	51	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
9.64	25.1	2	829.0	0	55	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.59	4.5	1	367.0	0	20	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.59	5.5	1	393.0	0	18	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.59	6.5	1	405.0	0	17	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.59	7.5	1	386.0	0	17	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.6	8.5	1	341.0	0	16	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.6	9.5	1	345.0	0	17	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.6	10.5	1	306.0	0	15	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.6	11.5	1	303.0	0	20	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
28.57	20.0	4	141.0	0	29	days	observer	microJy beam^-1	GHz	GHz	VLA	NaN
