time	integration	flux_density	flux_density_limit	dflux_density	time_unit	time_frame	instrument	integration_unit	flux_density_unit	freq	freq_unit	dtime	reference	bandwidth	bandwidth_unit
1.35000	4.0	2.26	0	0.13	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
2.37000	3.5	2.52	0	0.14	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
3.31000	4.0	2.48	0	0.14	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
4.31000	4.0	2.08	0	0.13	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
5.31000	4.0	2.07	0	0.14	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
8.33000	3.0	1.11	0	0.13	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
12.27000	4.0	0.69	0	0.07	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
13.27000	4.0	0.52	0	0.12	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
14.27000	4.0	0.7	0	0.09	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
19.37000	3.0	0.37	0	0.07	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
20.30000	4.0	0.36	0	0.08	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
22.36000	3.0	0.43	0	0.1	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
26.25000	4.0	0.21	0	0.05	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
27.80000	8.0	0.37	0	0.07	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
29.24000	4.0	0.25	0	0.07	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
30.66000	8.0	0.23	0	0.08	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
33.42000	8.0	0.23	0	0.05	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
38.24000	4.0	0.19	0	0.05	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
46.21000	4.0	0.17	0	0.04	days	observer	AMI-LA	hours	milliJy	15.5	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2721B/abstract	NaN	NaN
