date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2017-11-01.25	3389.785	5.219338e-20	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2548.710526315789	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3449.802	2.158682e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2593.836090225564	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3509.82	2.558214e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2638.9624060150377	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3569.837	-1.222197e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2684.087969924812	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3629.855	4.433024e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2729.214285714286	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3689.872	-1.099738e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2774.33984962406	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3749.89	-3.476782e-20	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2819.4661654135334	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3809.907	-2.998244e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2864.5917293233083	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3869.925	-3.404422e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2909.718045112782	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3929.942	-1.147062e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2954.8436090225564	https://www.wis-tns.org/object/2017htp
2017-11-01.25	3989.96	-3.033120e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	2999.96992481203	https://www.wis-tns.org/object/2017htp
2017-11-01.25	4049.978	-2.481932e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3045.096240601504	https://www.wis-tns.org/object/2017htp
2017-11-01.25	4109.995	-1.868503e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	3090.221804511278	https://www.wis-tns.org/object/2017htp
