time	dtime	mag	mag_limit	dmag	flux_density	dflux_density	band	time_unit	mag_unit	mag_type	flux_density_unit	time_frame	instrument	extinction_corrected
5000.1332	500.0133	20.075	0	2.104	0.03377	0.02891	v	seconds	AB	apparent	milliJy	observer	UVOT	True
6111.2739	611.1274	18.554	0	0.416	0.13698	0.04359	v	seconds	AB	apparent	milliJy	observer	UVOT	True
20371.9593	2037.1959	19.03	0	0.305	0.0884	0.02166	v	seconds	AB	apparent	milliJy	observer	UVOT	True
24899.0613	2489.9061	18.725	0	0.449	0.11708	0.03962	v	seconds	AB	apparent	milliJy	observer	UVOT	True
37194.8941	3719.4894	19.078	0	1.998	0.08458	0.07115	v	seconds	AB	apparent	milliJy	observer	UVOT	True
45460.4261	4546.0426	18.997	0	1.492	0.09115	0.06809	v	seconds	AB	apparent	milliJy	observer	UVOT	True
55562.7431	5556.2743	19.695	0	0.798	0.04791	0.05202	v	seconds	AB	apparent	milliJy	observer	UVOT	True
67910.0193	6791.0019	18.643	0	0.612	0.12619	0.05439	v	seconds	AB	apparent	milliJy	observer	UVOT	True
83001.1347	8300.1135	19.589	0	3.147	0.05282	0.04991	v	seconds	AB	apparent	milliJy	observer	UVOT	True
101445.8313	10144.5831	19.826	0	2.556	0.04247	0.03844	v	seconds	AB	apparent	milliJy	observer	UVOT	True
123989.3494	12398.9349	19.171	0	0.726	0.07759	0.03783	v	seconds	AB	apparent	milliJy	observer	UVOT	True
151542.5381	15154.2538	18.478	0	0.587	0.14701	0.06137	v	seconds	AB	apparent	milliJy	observer	UVOT	True
185218.6577	18521.8658	18.722	0	0.519	0.11742	0.04462	v	seconds	AB	apparent	milliJy	observer	UVOT	True
226378.3594	22637.8359	19.169	0	0.366	0.0778	0.02224	v	seconds	AB	apparent	milliJy	observer	UVOT	True
276684.6615	27668.4661	20.01	0	1.551	0.03583	0.02724	v	seconds	AB	apparent	milliJy	observer	UVOT	True
338170.1418	33817.0142	19.277	0	0.455	0.07039	0.02408	v	seconds	AB	apparent	milliJy	observer	UVOT	True
617427.2411	61742.7241	18.195	0	0.152	0.19073	0.02487	v	seconds	AB	apparent	milliJy	observer	UVOT	True
754633.2946	75463.3295	17.902	0	0.124	0.24978	0.0268	v	seconds	AB	apparent	milliJy	observer	UVOT	True
922329.5823	92232.9582	17.722	0	0.085	0.29489	0.0223	v	seconds	AB	apparent	milliJy	observer	UVOT	True
1127291.7117	112729.1712	17.773	0	0.081	0.28143	0.02013	v	seconds	AB	apparent	milliJy	observer	UVOT	True
1377800.981	137780.0981	17.799	0	0.079	0.27459	0.01934	v	seconds	AB	apparent	milliJy	observer	UVOT	True
1683978.9768	168397.8977	18.411	0	0.138	0.15634	0.0187	v	seconds	AB	apparent	milliJy	observer	UVOT	True
2058196.5272	205819.6527	18.626	0	0.152	0.12818	0.0167	v	seconds	AB	apparent	milliJy	observer	UVOT	True
2515573.5332	251557.3533	19.156	0	0.248	0.07869	0.01607	v	seconds	AB	apparent	milliJy	observer	UVOT	True
3074589.8739	307458.9874	20.848	0	0.801	0.01657	0.01808	v	seconds	AB	apparent	milliJy	observer	UVOT	True
3757832.0682	375783.2068	20.215	0	1.081	0.02966	0.0187	v	seconds	AB	apparent	milliJy	observer	UVOT	True
4009.8917	400.9892	19.297	0	0.0	0.06881	0.01492	b	seconds	AB	apparent	milliJy	observer	UVOT	True
5990.0851	599.0085	19.024	0	0.0	0.08848	0.01706	b	seconds	AB	apparent	milliJy	observer	UVOT	True
24405.304	2440.5304	18.855	0	0.0	0.10337	0.01406	b	seconds	AB	apparent	milliJy	observer	UVOT	True
29828.7049	2982.8705	19.222	0	0.0	0.07374	0.01006	b	seconds	AB	apparent	milliJy	observer	UVOT	True
36457.3059	3645.7306	18.831	0	0.0	0.10575	0.02749	b	seconds	AB	apparent	milliJy	observer	UVOT	True
44558.9295	4455.8929	18.961	0	0.0	0.0938	0.02702	b	seconds	AB	apparent	milliJy	observer	UVOT	True
54460.9138	5446.0914	18.917	0	0.0	0.09771	0.01994	b	seconds	AB	apparent	milliJy	observer	UVOT	True
66563.3391	6656.3339	19.073	0	0.0	0.08462	0.01682	b	seconds	AB	apparent	milliJy	observer	UVOT	True
81355.1922	8135.5192	18.826	0	0.0	0.10621	0.02572	b	seconds	AB	apparent	milliJy	observer	UVOT	True
99434.1238	9943.4124	19.397	0	0.0	0.0628	0.01868	b	seconds	AB	apparent	milliJy	observer	UVOT	True
121530.5958	12153.0596	19.719	0	0.0	0.04667	0.01688	b	seconds	AB	apparent	milliJy	observer	UVOT	True
148537.3948	14853.7395	NaN	0	NaN	-0.0139	0.02183	b	seconds	AB	apparent	milliJy	observer	UVOT	True
