time	dtime	mag	mag_limit	dmag	flux_density	dflux_density	band	time_unit	mag_unit	mag_type	flux_density_unit	time_frame	instrument	extinction_corrected	
5455.5478	545.5548	18.739	0	0.108	0.11570	0.01093	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
9960.6777	996.0678	18.654	0	0.107	0.12517	0.01173	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
14879.5309	1487.9531	18.819	0	0.072	0.10756	0.00689	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
33203.9647	3320.3965	19.109	0	0.196	0.08229	0.01359	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
40582.6235	4058.2623	19.83	0	0.209	0.04236	0.00743	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
49600.9842	4960.0984	19.617	0	0.27	0.05156	0.01135	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
60623.4252	6062.3425	20.376	0	0.273	0.02563	0.0057	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
74095.2974	7409.5297	20.658	0	0.426	0.01977	0.00642	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
90560.9191	9056.0919	20.841	0	0.545	0.01670	0.00659	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
110685.5678	11068.5568	22.052	0	2.3	0.00547	0.00481	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
135282.3606	13528.2361	21.137	0	0.598	0.01272	0.00538	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
202088.4646	20208.8465	21.826	0	0.467	0.00674	0.00236	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
246997.0123	24699.7012	21.966	0	0.481	0.00592	0.00212	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
301885.2373	30188.5237	NaN	0	NaN	−0.0015	0.00382	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
368970.8456	36897.0846	22.406	0	0.999	0.00395	0.00238	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
551178.6705	55117.8671	22.547	0	2.477	0.00347	0.00312	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
673662.8195	67366.282	23.329	0	0.809	0.00169	0.00187	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
823365.6683	82336.5668	23.817	0	1.138	0.00108	0.002	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
1006335.8168	100633.5817	22.602	0	0.754	0.00330	0.00165	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
1229965.9984	122996.5998	23.093	0	1.814	0.00210	0.0017	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
1503291.7758	150329.1776	23.625	0	0.874	0.00129	0.00159	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
1837356.6148	183735.6615	24.392	0	1.338	0.00063	0.00154	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
2245658.0848	224565.8085	24.009	0	1.07	0.00090	0.00151	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
2744693.2147	274469.3215	23.7	0	0.899	0.00120	0.00155	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
3354625.0402	335462.504	NaN	0	NaN	−0.0004	0.00174	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
4100097.2714	410009.7271	24.259	0	1.623	0.00072	0.00248	UVW1	seconds	AB	apparent	milliJy	observer	UVOT	true
5227.5345	522.7535	18.871	0	0.132	0.10296	0.01175	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
9544.3737	954.4374	18.624	0	0.074	0.12922	0.00852	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
38886.4829	3888.6483	20.174	0	0.323	0.03100	0.00797	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
47527.9236	4752.7924	20.68	0	0.324	0.01946	0.00502	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
58089.6843	5808.9684	20.817	0	0.616	0.01715	0.00742	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
70998.5031	7099.8503	21.04	0	0.49	0.01397	0.00508	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
86775.9482	8677.5948	21.624	0	0.697	0.00816	0.00386	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
106059.4923	10605.9492	21.276	0	0.458	0.01124	0.00387	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
129628.2683	12962.8268	22.151	0	0.954	0.00502	0.00294	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
193642.228	19364.2228	23.031	0	1.506	0.00223	0.00167	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
236673.8342	23667.3834	24.237	0	1.151	0.00074	0.00139	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
289268.0196	28926.802	22.215	0	0.802	0.00473	0.00247	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
353549.8018	35354.9802	23.198	0	1.51	0.00191	0.00144	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
645507.2512	64550.7251	26.843	0	3.284	0.00007	0.00131	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
788953.307	78895.3307	NaN	0	NaN	−0.0000	0.00138	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
964276.2642	96427.6264	NaN	0	NaN	−0.0011	0.00116	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
1178559.8784	117855.9878	NaN	0	NaN	−0.0005	0.00117	UVM2	seconds	AB	apparent	milliJy	observer	UVOT	true
