date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2018-08-21.078	3214.99	-2.548052394617592e-18	2.660037930076137e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2878.236347358997	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3224.992	-2.5643008607008088e-18	2.3913266702704536e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2887.190689346464	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3234.9940000000006	-1.5710925896632625e-18	2.133346345990912e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2896.1450313339305	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3244.996000000001	-1.7841715722178872e-19	2.1027793065522205e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2905.0993733213977	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3254.9980000000014	7.407038469575568e-19	2.120841420400465e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2914.0537153088644	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3265.000000000002	-1.7606531320493071e-19	2.202562685728564e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2923.008057296331	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3275.002000000002	9.019066670702136e-19	2.242554210058284e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2931.962399283798	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3285.004000000002	-3.613055844410536e-19	2.3014828817286574e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2940.916741271264	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3295.006000000003	-3.248772515126605e-18	2.538043138834478e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2949.871083258732	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3305.0080000000034	-3.578539182177888e-18	2.592705827915713e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2958.8254252461984	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3315.010000000004	1.3757636634880604e-18	2.684019997938045e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2967.779767233665	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3325.012000000004	-2.710990097554404e-18	2.616255872503658e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	2976.734109221132	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
