time	freq	flux_density	flux_density_limit	dflux_density	time_unit	freq_unit	flux_density_unit	dtime	time_frame
2.24	227.399	1.459	0	0.043	days	GHz	milliJy	NaN	observer
2.24	229.505	1.443	0	0.045	days	GHz	milliJy	NaN	observer
2.24	240.581	1.559	0	0.048	days	GHz	milliJy	NaN	observer
2.24	242.698	1.48	0	0.057	days	GHz	milliJy	NaN	observer
2.301	227.399	1.18	0	0.056	days	GHz	milliJy	NaN	observer
2.301	229.505	1.261	0	0.061	days	GHz	milliJy	NaN	observer
2.301	240.581	1.132	0	0.061	days	GHz	milliJy	NaN	observer
2.301	242.697	1.475	0	0.071	days	GHz	milliJy	NaN	observer
3.209	227.399	1.468	0	0.092	days	GHz	milliJy	NaN	observer
3.209	229.505	1.459	0	0.099	days	GHz	milliJy	NaN	observer
3.209	240.581	1.382	0	0.044	days	GHz	milliJy	NaN	observer
3.209	242.698	1.51	0	0.048	days	GHz	milliJy	NaN	observer
3.254	227.399	1.34	0	0.045	days	GHz	milliJy	NaN	observer
3.254	229.505	1.338	0	0.043	days	GHz	milliJy	NaN	observer
3.254	240.581	1.321	0	0.093	days	GHz	milliJy	NaN	observer
3.254	242.698	1.36	0	0.048	days	GHz	milliJy	NaN	observer
4.093	227.399	1.3	0	0.041	days	GHz	milliJy	NaN	observer
4.093	229.505	1.442	0	0.041	days	GHz	milliJy	NaN	observer
4.093	240.581	1.386	0	0.057	days	GHz	milliJy	NaN	observer
4.093	242.698	1.495	0	0.059	days	GHz	milliJy	NaN	observer
1.08	90.5	2.668	0	0.051	days	GHz	milliJy	NaN	observer
1.08	92.5	2.758	0	0.053	days	GHz	milliJy	NaN	observer
1.08	102.5	2.533	0	0.052	days	GHz	milliJy	NaN	observer
1.08	104.5	2.524	0	0.056	days	GHz	milliJy	NaN	observer
4.13	90.5	1.711	0	0.052	days	GHz	milliJy	NaN	observer
4.13	92.5	1.764	0	0.049	days	GHz	milliJy	NaN	observer
4.13	102.5	1.618	0	0.05	days	GHz	milliJy	NaN	observer
4.13	104.5	1.557	0	0.052	days	GHz	milliJy	NaN	observer
10.24	90.5	1.189	0	0.054	days	GHz	milliJy	NaN	observer
10.24	92.5	0.948	0	0.062	days	GHz	milliJy	NaN	observer
10.24	102.5	0.984	0	0.055	days	GHz	milliJy	NaN	observer
10.24	104.5	0.911	0	0.06	days	GHz	milliJy	NaN	observer
