col1	col2	col3	col4	col5	col6	col7
58.9781867958625	0.416775174092933	-0.387379851595171	1.06209316243366e-07	1.07939895354203e-08	-1.72691740329797e-08	1
59.8142763945992	0.463090498795282	-0.419314424643815	9.94671484673077e-08	1.01520964661567e-08	-1.39326453449496e-08	1
60.7528786127995	0.563461373627817	-0.475511719404984	8.52760897102493e-08	8.69519617264211e-09	-1.14190462912088e-08	1
62.0235809297065	0.658328989078584	-0.707240943279217	9.488826849627e-08	8.72129272669375e-09	-1.01716209045778e-08	1
68.060	0.370	-0.343	8.31417496e-08	1.178696792e-08	-2.137718128e-08	4
68.732	0.313	-0.302	9.50201616e-08	1.3680758e-08	-2.451449e-08	4
69.335	0.305	-0.289	6.902254632e-08	1.119508936e-08	-1.845903696e-08	4
70.007	0.406	-0.367	7.46870488e-08	1.116809512e-08	-1.943547424e-08	4
70.806	0.355	-0.394	7.77261576e-08	1.11943468e-08	-2.0066046e-08	4
71.531	0.363	-0.370	7.86751784e-08	1.111553352e-08	-1.988869792e-08	4
72.248	0.386	-0.354	7.82896296e-08	1.110478824e-08	-1.89703696e-08	4
72.924	0.289	-0.290	6.885581248e-08	1.092365456e-08	-1.707857424e-08	4
73.517	0.269	-0.304	6.692150192e-08	1.078581504e-08	-1.672569808e-08	4
74.129	0.349	-0.343	8.41208368e-08	1.19373436e-08	-1.995868056e-08	4
74.826	0.314	-0.348	8.7134684e-08	1.246064456e-08	-2.055623752e-08	4
75.429	0.266	-0.290	7.00553672e-08	1.111737536e-08	-1.792162736e-08	4
76.071	0.394	-0.376	7.48590752e-08	1.064728392e-08	-1.820379288e-08	4
76.731	0.298	-0.266	6.651576568e-08	1.089294024e-08	-1.687778456e-08	4
77.459	0.376	-0.430	7.121389912e-08	1.019878496e-08	-1.698405072e-08	4
78.165	0.424	-0.330	8.02033232e-08	1.142340472e-08	-1.863976296e-08	4
78.860	0.352	-0.271	6.74649976e-08	1.097510232e-08	-1.651312936e-08	4
79.634	0.418	-0.422	7.37196096e-08	1.066193856e-08	-1.763425664e-08	4
80.512	0.387	-0.460	7.5230064e-08	1.0652278e-08	-1.882146448e-08	4
81.331	0.402	-0.432	7.41936104e-08	1.094030392e-08	-1.92769304e-08	4
82.034	0.316	-0.301	6.892928952e-08	1.115312016e-08	-1.849374072e-08	4
82.691	0.325	-0.341	6.169600528e-08	1.051233456e-08	-1.677135096e-08	4
83.409	0.304	-0.394	5.498694656e-08	9.76052168e-09	-1.524134976e-08	4
83.998	0.334	-0.285	6.776095872e-08	1.08750824e-08	-1.730383928e-08	4
84.631	0.314	-0.298	6.805800456e-08	1.106765296e-08	-1.638053872e-08	4
85.265	0.303	-0.321	6.718179832e-08	1.086526896e-08	-1.641499496e-08	4
85.945	0.311	-0.376	6.108878776e-08	9.84796176e-09	-1.524565224e-08	4
86.652	0.463	-0.397	6.6203774e-08	9.7219668e-09	-1.645575568e-08	4
