time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5110.0	5.358533e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4738.062123319425	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5112.59	4.927056e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4740.463606861382	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5115.18	6.261605e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4742.865090403338	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5117.77	5.980836e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4745.266573945295	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5120.36	6.336294e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4747.668057487251	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5122.95	5.841469e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4750.069541029207	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5125.539999	5.073828e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4752.47102364395	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5128.129999	5.589954e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4754.872507185906	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5130.719999	4.543018e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4757.273990727863	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5133.309999	5.036989e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4759.6754742698195	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5135.899999	4.909975e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4762.076957811776	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5138.489999	5.798787e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4764.478441353733	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5141.079999	6.060878e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4766.879924895688	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5143.669999	6.114372e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4769.281408437644	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5146.259999	5.808256e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4771.682891979601	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5148.849999	6.212475e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4774.084375521557	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5151.439999	5.266103e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4776.485859063514	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5154.029999	5.78375e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4778.887342605471	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5156.619998	5.999138e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4781.288825220213	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5159.209998	5.858309e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4783.6903087621695	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5161.799998	5.784176e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4786.091792304126	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
