band	time	mag	mag_limit	dmag	flux_density	dflux_density	instrument	time_frame	time_unit	flux_density_unit	extinction_corrected	mag_type	mag_unit	dtime
white	181.2	19.51	0	0.14	0.036	0.005	UVOT	observer	seconds	milliJy	False	apparent	unspecified	74.9
white	555.7	19.12	0	0.29	0.051	0.014	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.900000000000034
white	731.45	18.87	0	0.24	0.064	0.014	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.849999999999966
white	945.3	17.57	0	0.04	0.213	0.008	UVOT	observer	seconds	milliJy	False	apparent	unspecified	74.69999999999999
white	1270.0	16.88	0	0.06	0.401	0.022	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.5
white	1610.4499999999998	16.96	0	0.08	0.373	0.027	UVOT	observer	seconds	milliJy	False	apparent	unspecified	91.14999999999998
white	6179.15	18.21	0	0.05	0.118	0.005	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.84999999999991
white	11177.650000000001	18.85	0	0.04	0.065	0.002	UVOT	observer	seconds	milliJy	False	apparent	unspecified	453.4499999999998
white	172677.1	19.53	0	0.06	0.035	0.002	UVOT	observer	seconds	milliJy	False	apparent	unspecified	453.5
b	531.2	18.76	1	NaN	>0.127	NaN	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.900000000000034
b	706.2	18.76	1	NaN	>0.127	NaN	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.900000000000034
b	1245.45	17.24	0	0.11	0.516	0.052	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.75
b	1591.2	17.52	0	0.16	0.399	0.059	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.20000000000005
b	5974.4	18.43	0	0.09	0.172	0.014	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.90000000000009
b	7374.55	18.84	0	0.3	0.118	0.032	UVOT	observer	seconds	milliJy	False	apparent	unspecified	64.25
b	135421.1	19.8	0	0.22	0.049	0.01	UVOT	observer	seconds	milliJy	False	apparent	unspecified	36190.4
b	171916.9	19.54	0	0.12	0.062	0.007	UVOT	observer	seconds	milliJy	False	apparent	unspecified	301.6000000000058
u	389.20000000000005	19.43	0	0.23	0.025	0.005	UVOT	observer	seconds	milliJy	False	apparent	unspecified	124.9
u	768.1	18.64	0	0.34	0.052	0.016	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.5
u	1220.6999999999998	17.27	0	0.16	0.183	0.027	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.89999999999998
u	1566.15	17.77	0	0.29	0.115	0.031	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.35000000000002
u	5769.200000000001	18.25	0	0.11	0.074	0.007	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.90000000000009
u	7205.049999999999	18.56	0	0.24	0.056	0.012	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.84999999999991
u	24607.300000000003	18.4	1	NaN	>0.065	NaN	UVOT	observer	seconds	milliJy	False	apparent	unspecified	43.100000000000364
u	103857.54999999999	19.35	0	0.18	0.027	0.004	UVOT	observer	seconds	milliJy	False	apparent	unspecified	5540.1500000000015
u	267916.0	19.89	0	0.22	0.016	0.003	UVOT	observer	seconds	milliJy	False	apparent	unspecified	3425.2000000000116
v	607.4	17.72	1	NaN	>0.297	NaN	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.899999999999977
v	781.15	17.22	0	0.27	0.471	0.117	UVOT	observer	seconds	milliJy	False	apparent	unspecified	9.850000000000023
v	1146.55	16.02	0	0.1	1.421	0.131	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.25
v	1492.8000000000002	15.81	0	0.1	1.724	0.159	UVOT	observer	seconds	milliJy	False	apparent	unspecified	96.60000000000002
v	5154.35	17.01	0	0.08	0.571	0.042	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.84999999999991
v	6590.549999999999	17.36	0	0.1	0.414	0.038	UVOT	observer	seconds	milliJy	False	apparent	unspecified	99.84999999999991
v	18061.9	18.49	0	0.11	0.146	0.015	UVOT	observer	seconds	milliJy	False	apparent	unspecified	453.39999999999964
v	45487.45	18.59	0	0.11	0.133	0.013	UVOT	observer	seconds	milliJy	False	apparent	unspecified	453.5499999999993
v	173325.75	18.82	0	0.12	0.108	0.012	UVOT	observer	seconds	milliJy	False	apparent	unspecified	5730.25
uvw1	883.25	18.48	0	0.36	0.040	0.013	UVOT	observer	seconds	milliJy	False	apparent	unspecified	235.84999999999997
