time	dtime	flux_density	flux_density_limit	dflux_density	instrument	freq	freq_unit	time_unit	flux_density_unit	time_frame	reference	date	flux	flux_limit	dflux	date_unit	flux_unit
4.92	0.5	93.0	0.0	16.0	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
5.91	0.46	57.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
6.4	0.9	68.0	0.0	8.0	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
6.9	0.42	102.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
7.65	0.83	66.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
8.7	1.9	34.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
8.92	0.79	42.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
9.96	0.67	48.0	1.0	NaN	eMERLIN	5.0	GHz	days	microJy	observer	https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.2966R/abstract	NaN	NaN	NaN	NaN	NaN	NaN
2.28	NaN	NaN	NaN	NaN	VLA	6.0	GHz	days	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021NatAs...5..917A/abstract	2459089.967407	40.0	0.0	NaN	MJD	erg/cm^2/s^-1
14.46	NaN	NaN	NaN	NaN	GMRT	1.256	GHz	days	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021NatAs...5..917A/abstract	2459102.153825	48.6	1.0	NaN	MJD	erg/cm^2/s^-1
19.79	NaN	NaN	NaN	NaN	GMRT	1.256	GHz	days	NaN	observer	https://ui.adsabs.harvard.edu/abs/2021NatAs...5..917A/abstract	2459107.485017	57.4	1.0	NaN	MJD	erg/cm^2/s^-1
