time	time_unit	time_frame	integration	integration_unit	mag	dmag	mag_unit	mag_type	flux	dflux	flux_unit	band	instrument	extinction_corrected	reference
88	seconds	observer	60	seconds	18.47	0.28	AB	apparent	0.49	0.13	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
143	seconds	observer	15	seconds	17.95	0.24	AB	apparent	0.8	0.17	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
158	seconds	observer	15	seconds	17.62	0.18	AB	apparent	1.09	0.18	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
173	seconds	observer	15	seconds	17.72	0.18	AB	apparent	0.99	0.17	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
188	seconds	observer	15	seconds	17.55	0.17	AB	apparent	1.15	0.18	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
203	seconds	observer	15	seconds	17.47	0.14	AB	apparent	1.24	0.16	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
218	seconds	observer	15	seconds	17.38	0.15	AB	apparent	1.35	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
233	seconds	observer	15	seconds	17.63	0.19	AB	apparent	1.07	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
248	seconds	observer	15	seconds	17.31	0.15	AB	apparent	1.43	0.20	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
263	seconds	observer	15	seconds	17.71	0.19	AB	apparent	1.0	0.17	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
278	seconds	observer	15	seconds	17.57	0.18	AB	apparent	1.14	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
293	seconds	observer	15	seconds	17.64	0.21	AB	apparent	1.07	0.21	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
308	seconds	observer	15	seconds	17.6	0.20	AB	apparent	1.1	0.20	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
323	seconds	observer	15	seconds	17.5	0.17	AB	apparent	1.21	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
338	seconds	observer	15	seconds	17.34	0.16	AB	apparent	1.4	0.20	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
353	seconds	observer	15	seconds	17.51	0.19	AB	apparent	1.2	0.22	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
368	seconds	observer	15	seconds	17.95	0.26	AB	apparent	0.8	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
383	seconds	observer	15	seconds	17.51	0.16	AB	apparent	1.2	0.18	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
398	seconds	observer	15	seconds	17.64	0.19	AB	apparent	1.06	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
413	seconds	observer	15	seconds	17.63	0.16	AB	apparent	1.07	0.16	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
428	seconds	observer	15	seconds	17.81	0.23	AB	apparent	0.91	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
443	seconds	observer	15	seconds	17.77	0.21	AB	apparent	0.94	0.19	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
480	seconds	observer	60	seconds	17.53	0.12	AB	apparent	1.18	0.13	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
540	seconds	observer	60	seconds	17.88	0.13	AB	apparent	0.85	0.10	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
600	seconds	observer	60	seconds	17.96	0.14	AB	apparent	0.8	0.10	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
660	seconds	observer	60	seconds	18.43	0.19	AB	apparent	0.52	0.09	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
758	seconds	observer	135	seconds	18.38	0.16	AB	apparent	0.54	0.08	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
893	seconds	observer	135	seconds	18.43	0.16	AB	apparent	0.52	0.08	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
1028	seconds	observer	135	seconds	18.83	0.22	AB	apparent	0.36	0.07	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
1163	seconds	observer	135	seconds	18.61	0.18	AB	apparent	0.43	0.07	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
1298	seconds	observer	135	seconds	19.31	0.32	AB	apparent	0.23	0.07	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
1433	seconds	observer	135	seconds	19.01	0.24	AB	apparent	0.3	0.07	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
1568	seconds	observer	135	seconds	19.28	0.32	AB	apparent	0.24	0.07	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
2100	seconds	observer	270	seconds	19.29	0.19	AB	apparent	0.23	0.04	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
2370	seconds	observer	270	seconds	19.25	0.23	AB	apparent	0.24	0.05	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
2640	seconds	observer	270	seconds	19.25	0.19	AB	apparent	0.24	0.04	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
2910	seconds	observer	270	seconds	19.4	0.22	AB	apparent	0.21	0.04	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
3180	seconds	observer	270	seconds	19.62	0.23	AB	apparent	0.17	0.04	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
3450	seconds	observer	270	seconds	19.91	0.34	AB	apparent	0.13	0.04	milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
3720	seconds	observer	270	seconds			AB	apparent			milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
4005	seconds	observer	270	seconds			AB	apparent			milliJy	g'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
88	seconds	observer	60	seconds	17.98	0.12	AB	apparent	0.54	0.06	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
143	seconds	observer	15	seconds	17.44	0.11	AB	apparent	0.88	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
158	seconds	observer	15	seconds	17.02	0.08	AB	apparent	1.31	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
173	seconds	observer	15	seconds	17.3	0.09	AB	apparent	1.01	0.08	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
188	seconds	observer	15	seconds	16.92	0.07	AB	apparent	1.44	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
203	seconds	observer	15	seconds	17.08	0.07	AB	apparent	1.23	0.08	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
218	seconds	observer	15	seconds	16.8	0.06	AB	apparent	1.6	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
233	seconds	observer	15	seconds	17.1	0.08	AB	apparent	1.22	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
248	seconds	observer	15	seconds	16.84	0.07	AB	apparent	1.55	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
263	seconds	observer	15	seconds	17.08	0.08	AB	apparent	1.23	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
278	seconds	observer	15	seconds	17.02	0.08	AB	apparent	1.31	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
293	seconds	observer	15	seconds	17.16	0.10	AB	apparent	1.15	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
308	seconds	observer	15	seconds	16.94	0.07	AB	apparent	1.41	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
323	seconds	observer	15	seconds	17.18	0.09	AB	apparent	1.13	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
338	seconds	observer	15	seconds	16.95	0.08	AB	apparent	1.4	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
353	seconds	observer	15	seconds	17.04	0.08	AB	apparent	1.28	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
368	seconds	observer	15	seconds	16.94	0.07	AB	apparent	1.4	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
383	seconds	observer	15	seconds	17.25	0.09	AB	apparent	1.06	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
398	seconds	observer	15	seconds	17.03	0.08	AB	apparent	1.3	0.10	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
413	seconds	observer	15	seconds	17.39	0.10	AB	apparent	0.93	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
428	seconds	observer	15	seconds	17.04	0.08	AB	apparent	1.28	0.09	milliJy	r'	NUTTelA-TAO	False	https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.6104K/abstract
