date	instrument	band	mag	mag_limit	dmag	date_unit	mag_type	mag_unit	time_frame	extinction_corrected	time	time_unit	dtime	reference	dmag2
1997-Feb-28.81	RAO	R_{c}	20.0	0	0.5	yyyy-month-deciday	AB	apparent	observer	True	0.6863657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Feb-28.83	BUT	R_{c}	20.58	0	0.28	yyyy-month-deciday	AB	apparent	observer	True	0.7063657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Feb-28.99	WHT	V	21.01	0	0.1	yyyy-month-deciday	AB	apparent	observer	True	0.8663657407407408	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Feb-28.99	WHT	I_{c}	20.51	0	0.21	yyyy-month-deciday	AB	apparent	observer	True	0.8663657407407408	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-03.10	APO	B_{J}	24.5	0	0.7	yyyy-month-deciday	AB	apparent	observer	True	2.976458333333333	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-03.90	NOT	R_{c}	22.7	1	0.2	yyyy-month-deciday	AB	apparent	observer	True	3.776365740740741	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-04.86	NOT	R_{c}	23.28	0	0.4	yyyy-month-deciday	AB	apparent	observer	True	4.736377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-04.87	NOT	V	23.96	1	0.12	yyyy-month-deciday	AB	apparent	observer	True	4.746377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-04.89	NOT	B	23.87	1	0.1	yyyy-month-deciday	AB	apparent	observer	True	4.766365740740741	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-06.32	Keck	R_{c}	23.6	0	0.22	yyyy-month-deciday	AB	apparent	observer	True	6.196377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-08.86	INT	V	24.0	1	0.1	yyyy-month-deciday	AB	apparent	observer	True	8.736365740740741	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-08.88	WHT	I_{c}	22.68	1	0.1	yyyy-month-deciday	AB	apparent	observer	True	8.756377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-08.89	INT	R_{c}	23.35	1	0.08	yyyy-month-deciday	AB	apparent	observer	True	8.766377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-09.85	INT	B	25.43	0	0.31	yyyy-month-deciday	AB	apparent	observer	True	9.72636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-09.89	INT	R_{c}	23.75	0	0.28	yyyy-month-deciday	AB	apparent	observer	True	9.766377314814816	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-13.00	NTT	R_{c}	24.36	0	0.15	yyyy-month-deciday	AB	apparent	observer	True	12.876377314814816	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-17.84	CA	J	21.45	1	0.15	yyyy-month-deciday	AB	apparent	observer	True	17.71636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-17.83	CA	H	20.02	1	0.15	yyyy-month-deciday	AB	apparent	observer	True	17.70636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-17.81	CA	K'	20.13	1	0.15	yyyy-month-deciday	AB	apparent	observer	True	17.68636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
1997-Mar-26.38	HST	V	25.98	0	0.22	yyyy-month-deciday	AB	apparent	observer	True	26.25636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...536..185G/abstract	NaN
