date	time	freq	beam	flux_density	flux_density_limit	instrument	date_unit	time_unit	time_frame	flux_density_unit	dtime	reference
1997-Mar-01.03	0.9	1.43	3.9	100	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-02.16	2.0	1.43	4.5	75	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-04.04	3.9	4.63	1.6	70	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-07.05	6.9	1.43	4.3	135	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-07.06	6.9	8.46	0.87	50	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-09.04	8.9	8.47	0.88	50	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-11.16	11.0	8.46	1.1	40	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-11.17	11.0	1.46	5.1	90	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-12.07	11.9	8.46	0.95	55	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-14.08	14.0	8.46	0.95	40	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-16.09	16.0	92.7	2.3	720	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-16.09	16.0	242.4	0.74	1270	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-23.03	22.9	8.46	0.9	36	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Mar-29.86	29.7	8.46	0.87	12	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Apr-01.97	32.8	1.43	4.3	55	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Apr-01.98	32.9	8.46	0.88	30	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Apr-04.97	35.8	8.46	0.87	25	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Apr-18.89	49.8	8.46	0.86	23	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Apr-29.90	60.8	8.46	0.87	26	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-May-18.81	79.7	8.46	0.9	35	1	VLA	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Jun-07.74	99.6	8.46	1.95	19	1	OVRO	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1997-Aug-28.61	181.5	8.46	3.82	13	1	OVRO	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
1998-Jan-07.00	312.9	8.46	10.0	12	1	OVRO	yyyy-month-deciday	days	observer	microJy	NaN	https://ui.adsabs.harvard.edu/abs/1998ApJ...502L.119F/abstract
