date	band	mag	mag_limit	dmag	instrument	date_unit	mag_unit	mag_type	time_frame	extinction_corrected	time	time_unit	dtime
50930.13	V	15.88	0	0.08	CTIO	MJD	AB	apparent	observer	True	1.2208449074074077	days	NaN
50930.13	R_{c}	15.74	0	0.07	CTIO	MJD	AB	apparent	observer	True	1.2208449074074077	days	NaN
50930.25	R_{c}	15.77	0	0.06	CTIO	MJD	AB	apparent	observer	True	1.3408449074074074	days	NaN
50930.31	V	15.93	0	0.08	CTIO	MJD	AB	apparent	observer	True	1.4008449074074074	days	NaN
50930.31	R_{c}	15.74	0	0.07	CTIO	MJD	AB	apparent	observer	True	1.4008449074074074	days	NaN
50931.3	B	15.98	0	0.07	CTIO	MJD	AB	apparent	observer	True	2.3908449074074074	days	NaN
50931.3	R_{c}	15.94	0	0.11	CTIO	MJD	AB	apparent	observer	True	2.3908449074074074	days	NaN
50931.92	R_{c}	15.69	0	0.06	CTIO	MJD	AB	apparent	observer	True	3.0108449074074075	days	NaN
50932.19	V	15.55	0	0.08	CTIO	MJD	AB	apparent	observer	True	3.280844907407407	days	NaN
50932.19	R_{c}	15.59	0	0.07	CTIO	MJD	AB	apparent	observer	True	3.280844907407407	days	NaN
50932.22	R_{c}	15.59	0	0.09	CTIO	MJD	AB	apparent	observer	True	3.310844907407408	days	NaN
50934.83	R_{c}	14.84	0	0.08	CTIO	MJD	AB	apparent	observer	True	5.920844907407408	days	NaN
50936.84	B	14.81	0	0.06	CTIO	MJD	AB	apparent	observer	True	7.930844907407407	days	NaN
50936.84	V	14.36	0	0.05	CTIO	MJD	AB	apparent	observer	True	7.930844907407407	days	NaN
50936.84	R_{c}	14.41	0	0.05	CTIO	MJD	AB	apparent	observer	True	7.930844907407407	days	NaN
50937.91	U	14.53	0	0.05	CTIO	MJD	AB	apparent	observer	True	9.000844907407407	days	NaN
50937.91	B	14.57	0	0.08	CTIO	MJD	AB	apparent	observer	True	9.000844907407407	days	NaN
50937.91	V	14.19	0	0.06	CTIO	MJD	AB	apparent	observer	True	9.000844907407407	days	NaN
50937.91	R_{c}	14.21	0	0.06	CTIO	MJD	AB	apparent	observer	True	9.000844907407407	days	NaN
50937.91	I_{c}	14.21	0	0.04	CTIO	MJD	AB	apparent	observer	True	9.000844907407407	days	NaN
50939.83	U	14.23	0	0.26	CTIO	MJD	AB	apparent	observer	True	10.920844907407409	days	NaN
50939.83	B	14.46	0	0.06	CTIO	MJD	AB	apparent	observer	True	10.920844907407409	days	NaN
50939.83	V	14.0	0	0.05	CTIO	MJD	AB	apparent	observer	True	10.920844907407409	days	NaN
50939.83	R_{c}	14.02	0	0.05	CTIO	MJD	AB	apparent	observer	True	10.920844907407409	days	NaN
50939.83	I_{c}	14.03	0	0.04	CTIO	MJD	AB	apparent	observer	True	10.920844907407409	days	NaN
50940.28	B	14.48	0	0.07	CTIO	MJD	AB	apparent	observer	True	11.370844907407408	days	NaN
50940.28	V	14.01	0	0.06	CTIO	MJD	AB	apparent	observer	True	11.370844907407408	days	NaN
50940.28	R_{c}	13.98	0	0.06	CTIO	MJD	AB	apparent	observer	True	11.370844907407408	days	NaN
50940.28	I_{c}	14.0	0	0.04	CTIO	MJD	AB	apparent	observer	True	11.370844907407408	days	NaN
50941.83	U	14.16	0	0.05	CTIO	MJD	AB	apparent	observer	True	12.920844907407409	days	NaN
50941.83	B	14.36	0	0.05	CTIO	MJD	AB	apparent	observer	True	12.920844907407409	days	NaN
50941.83	V	13.88	0	0.05	CTIO	MJD	AB	apparent	observer	True	12.920844907407409	days	NaN
50941.83	R_{c}	13.9	0	0.05	CTIO	MJD	AB	apparent	observer	True	12.920844907407409	days	NaN
50941.83	I_{c}	13.92	0	0.03	CTIO	MJD	AB	apparent	observer	True	12.920844907407409	days	NaN
50942.27	B	14.38	0	0.08	CTIO	MJD	AB	apparent	observer	True	13.360844907407408	days	NaN
50942.27	V	13.9	0	0.07	CTIO	MJD	AB	apparent	observer	True	13.360844907407408	days	NaN
50942.27	R_{c}	13.85	0	0.07	CTIO	MJD	AB	apparent	observer	True	13.360844907407408	days	NaN
50942.27	I_{c}	13.87	0	0.05	CTIO	MJD	AB	apparent	observer	True	13.360844907407408	days	NaN
50942.83	U	14.15	0	0.04	CTIO	MJD	AB	apparent	observer	True	13.920844907407409	days	NaN
50942.83	B	14.33	0	0.05	CTIO	MJD	AB	apparent	observer	True	13.920844907407409	days	NaN
50942.83	V	13.85	0	0.05	CTIO	MJD	AB	apparent	observer	True	13.920844907407409	days	NaN
50942.83	R_{c}	13.86	0	0.05	CTIO	MJD	AB	apparent	observer	True	13.920844907407409	days	NaN
50942.83	I_{c}	13.87	0	0.03	CTIO	MJD	AB	apparent	observer	True	13.920844907407409	days	NaN
