date	band	mag	mag_limit	dmag	date_unit	mag_unit	mag_type	instrument	time_frame	extinction_corrected	time	time_unit	dtime
50992.89	B	16.68	0	0.03	MJD	AB	apparent	CTIO	observer	True	63.98084490740741	days	NaN
50992.89	V	15.79	0	0.02	MJD	AB	apparent	CTIO	observer	True	63.98084490740741	days	NaN
50992.89	I	15.16	0	0.03	MJD	AB	apparent	CTIO	observer	True	63.98084490740741	days	NaN
50995.88	B	16.74	0	0.03	MJD	AB	apparent	CTIO	observer	True	66.97084490740741	days	NaN
50995.88	V	15.85	0	0.02	MJD	AB	apparent	CTIO	observer	True	66.97084490740741	days	NaN
50995.88	I	15.22	0	0.02	MJD	AB	apparent	CTIO	observer	True	66.97084490740741	days	NaN
50996.88	B	16.75	0	0.03	MJD	AB	apparent	CTIO	observer	True	67.97084490740741	days	NaN
50996.88	V	15.86	0	0.02	MJD	AB	apparent	CTIO	observer	True	67.97084490740741	days	NaN
50996.88	I	15.22	0	0.02	MJD	AB	apparent	CTIO	observer	True	67.97084490740741	days	NaN
51002.92	B	16.86	0	0.03	MJD	AB	apparent	CTIO	observer	True	74.0108449074074	days	NaN
51002.92	V	16.0	0	0.03	MJD	AB	apparent	CTIO	observer	True	74.0108449074074	days	NaN
51004.88	B	16.87	0	0.03	MJD	AB	apparent	CTIO	observer	True	75.97084490740741	days	NaN
51004.88	V	16.04	0	0.03	MJD	AB	apparent	CTIO	observer	True	75.97084490740741	days	NaN
51007.93	V	16.09	0	0.03	MJD	AB	apparent	CTIO	observer	True	79.02084490740741	days	NaN
51007.93	I	15.45	0	0.03	MJD	AB	apparent	CTIO	observer	True	79.02084490740741	days	NaN
51007.94	V	16.11	0	0.03	MJD	AB	apparent	CTIO	observer	True	79.03084490740741	days	NaN
51008.87	B	16.9	0	0.04	MJD	AB	apparent	CTIO	observer	True	79.9608449074074	days	NaN
51008.87	V	16.11	0	0.03	MJD	AB	apparent	CTIO	observer	True	79.9608449074074	days	NaN
51008.87	I	15.42	0	0.04	MJD	AB	apparent	CTIO	observer	True	79.9608449074074	days	NaN
51010.9	B	16.95	0	0.03	MJD	AB	apparent	CTIO	observer	True	81.9908449074074	days	NaN
51010.9	V	16.14	0	0.03	MJD	AB	apparent	CTIO	observer	True	81.9908449074074	days	NaN
51010.9	I	15.47	0	0.03	MJD	AB	apparent	CTIO	observer	True	81.9908449074074	days	NaN
51011.88	B	16.98	0	0.04	MJD	AB	apparent	CTIO	observer	True	82.97084490740741	days	NaN
51011.88	V	16.17	0	0.02	MJD	AB	apparent	CTIO	observer	True	82.97084490740741	days	NaN
51011.88	I	15.51	0	0.03	MJD	AB	apparent	CTIO	observer	True	82.97084490740741	days	NaN
51012.92	B	16.92	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.0108449074074	days	NaN
51012.92	V	16.18	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.0108449074074	days	NaN
51012.92	I	15.53	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.0108449074074	days	NaN
51013.9	B	16.93	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.9908449074074	days	NaN
51013.9	V	16.19	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.9908449074074	days	NaN
51013.9	I	15.53	0	0.03	MJD	AB	apparent	CTIO	observer	True	84.9908449074074	days	NaN
51014.9	B	17.02	0	0.03	MJD	AB	apparent	CTIO	observer	True	85.9908449074074	days	NaN
51014.9	V	16.22	0	0.02	MJD	AB	apparent	CTIO	observer	True	85.9908449074074	days	NaN
51014.9	I	15.59	0	0.03	MJD	AB	apparent	CTIO	observer	True	85.9908449074074	days	NaN
51019.87	B	17.07	0	0.03	MJD	AB	apparent	CTIO	observer	True	90.9608449074074	days	NaN
51019.87	V	16.31	0	0.02	MJD	AB	apparent	CTIO	observer	True	90.9608449074074	days	NaN
51019.87	I	15.66	0	0.03	MJD	AB	apparent	CTIO	observer	True	90.9608449074074	days	NaN
51020.86	B	17.03	0	0.03	MJD	AB	apparent	CTIO	observer	True	91.9508449074074	days	NaN
51020.86	V	16.31	0	0.03	MJD	AB	apparent	CTIO	observer	True	91.9508449074074	days	NaN
51020.86	I	15.66	0	0.03	MJD	AB	apparent	CTIO	observer	True	91.9508449074074	days	NaN
51021.86	B	17.12	0	0.03	MJD	AB	apparent	CTIO	observer	True	92.9508449074074	days	NaN
51021.86	V	16.36	0	0.02	MJD	AB	apparent	CTIO	observer	True	92.9508449074074	days	NaN
51021.86	I	15.73	0	0.03	MJD	AB	apparent	CTIO	observer	True	92.9508449074074	days	NaN
51022.86	B	17.07	0	0.03	MJD	AB	apparent	CTIO	observer	True	93.9508449074074	days	NaN
51022.86	V	16.41	0	0.03	MJD	AB	apparent	CTIO	observer	True	93.9508449074074	days	NaN
51022.86	I	15.75	0	0.03	MJD	AB	apparent	CTIO	observer	True	93.9508449074074	days	NaN
51032.84	B	17.3	0	0.05	MJD	AB	apparent	CTIO	observer	True	103.9308449074074	days	NaN
51032.84	V	16.56	0	0.03	MJD	AB	apparent	CTIO	observer	True	103.9308449074074	days	NaN
51032.84	I	15.96	0	0.03	MJD	AB	apparent	CTIO	observer	True	103.9308449074074	days	NaN
51033.84	B	17.24	0	0.07	MJD	AB	apparent	CTIO	observer	True	104.9308449074074	days	NaN
51033.84	V	16.52	0	0.04	MJD	AB	apparent	CTIO	observer	True	104.9308449074074	days	NaN
51033.84	I	15.93	0	0.04	MJD	AB	apparent	CTIO	observer	True	104.9308449074074	days	NaN
51035.84	B	17.27	0	0.04	MJD	AB	apparent	CTIO	observer	True	106.9308449074074	days	NaN
51035.84	V	16.61	0	0.03	MJD	AB	apparent	CTIO	observer	True	106.9308449074074	days	NaN
51035.84	I	15.97	0	0.03	MJD	AB	apparent	CTIO	observer	True	106.9308449074074	days	NaN
51036.84	B	17.34	0	0.03	MJD	AB	apparent	CTIO	observer	True	107.9308449074074	days	NaN
51036.84	V	16.62	0	0.03	MJD	AB	apparent	CTIO	observer	True	107.9308449074074	days	NaN
51036.84	I	16.02	0	0.03	MJD	AB	apparent	CTIO	observer	True	107.9308449074074	days	NaN
51037.83	B	17.35	0	0.03	MJD	AB	apparent	CTIO	observer	True	108.9208449074074	days	NaN
51037.83	V	16.67	0	0.02	MJD	AB	apparent	CTIO	observer	True	108.9208449074074	days	NaN
51037.83	I	16.04	0	0.03	MJD	AB	apparent	CTIO	observer	True	108.9208449074074	days	NaN
51039.82	B	17.32	0	0.03	MJD	AB	apparent	CTIO	observer	True	110.9108449074074	days	NaN
51039.82	V	16.68	0	0.02	MJD	AB	apparent	CTIO	observer	True	110.9108449074074	days	NaN
51039.82	I	16.07	0	0.03	MJD	AB	apparent	CTIO	observer	True	110.9108449074074	days	NaN
51040.77	B	17.36	0	0.03	MJD	AB	apparent	CTIO	observer	True	111.8608449074074	days	NaN
51040.77	V	16.74	0	0.02	MJD	AB	apparent	CTIO	observer	True	111.8608449074074	days	NaN
51040.77	I	16.09	0	0.03	MJD	AB	apparent	CTIO	observer	True	111.8608449074074	days	NaN
51041.8	V	16.75	0	0.02	MJD	AB	apparent	CTIO	observer	True	112.8908449074074	days	NaN
51041.84	B	17.39	0	0.03	MJD	AB	apparent	CTIO	observer	True	112.9308449074074	days	NaN
51041.84	V	16.84	0	0.04	MJD	AB	apparent	CTIO	observer	True	112.9308449074074	days	NaN
51042.82	B	17.41	0	0.03	MJD	AB	apparent	CTIO	observer	True	113.9108449074074	days	NaN
51042.82	V	16.76	0	0.02	MJD	AB	apparent	CTIO	observer	True	113.9108449074074	days	NaN
51042.82	I	16.12	0	0.03	MJD	AB	apparent	CTIO	observer	True	113.9108449074074	days	NaN
51043.81	B	17.42	0	0.03	MJD	AB	apparent	CTIO	observer	True	114.9008449074074	days	NaN
51043.81	V	16.76	0	0.02	MJD	AB	apparent	CTIO	observer	True	114.9008449074074	days	NaN
51043.81	I	16.17	0	0.03	MJD	AB	apparent	CTIO	observer	True	114.9008449074074	days	NaN
51045.8	B	17.44	0	0.03	MJD	AB	apparent	CTIO	observer	True	116.8908449074074	days	NaN
51045.8	V	16.82	0	0.02	MJD	AB	apparent	CTIO	observer	True	116.8908449074074	days	NaN
51045.8	I	16.18	0	0.03	MJD	AB	apparent	CTIO	observer	True	116.8908449074074	days	NaN
51046.79	B	17.43	0	0.03	MJD	AB	apparent	CTIO	observer	True	117.8808449074074	days	NaN
51046.8	B	17.44	0	0.03	MJD	AB	apparent	CTIO	observer	True	117.8908449074074	days	NaN
51046.8	V	16.84	0	0.02	MJD	AB	apparent	CTIO	observer	True	117.8908449074074	days	NaN
51046.8	I	16.2	0	0.03	MJD	AB	apparent	CTIO	observer	True	117.8908449074074	days	NaN
51047.81	B	17.45	0	0.03	MJD	AB	apparent	CTIO	observer	True	118.9008449074074	days	NaN
51047.81	V	16.83	0	0.02	MJD	AB	apparent	CTIO	observer	True	118.9008449074074	days	NaN
51047.81	I	16.21	0	0.03	MJD	AB	apparent	CTIO	observer	True	118.9008449074074	days	NaN
51051.79	B	17.46	0	0.03	MJD	AB	apparent	CTIO	observer	True	122.8808449074074	days	NaN
51051.79	V	16.92	0	0.02	MJD	AB	apparent	CTIO	observer	True	122.8808449074074	days	NaN
51051.8	B	17.48	0	0.03	MJD	AB	apparent	CTIO	observer	True	122.8908449074074	days	NaN
51051.8	B	17.56	0	0.03	MJD	AB	apparent	CTIO	observer	True	122.8908449074074	days	NaN
51051.8	I	16.3	0	0.03	MJD	AB	apparent	CTIO	observer	True	122.8908449074074	days	NaN
51061.7	B	17.57	0	0.06	MJD	AB	apparent	CTIO	observer	True	132.7908449074074	days	NaN
51061.7	V	17.08	0	0.04	MJD	AB	apparent	CTIO	observer	True	132.7908449074074	days	NaN
51061.7	I	16.47	0	0.03	MJD	AB	apparent	CTIO	observer	True	132.7908449074074	days	NaN
51062.76	B	17.57	0	0.15	MJD	AB	apparent	CTIO	observer	True	133.8508449074074	days	NaN
51062.76	V	16.85	0	0.15	MJD	AB	apparent	CTIO	observer	True	133.8508449074074	days	NaN
