date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
50929.6	MJD	15.58	0.05	0	unspecified	apparent	R	NaN	0.6908449074074073	days	observer	NaN
50929.6	MJD	15.72	0.05	0	unspecified	apparent	V	NaN	0.6908449074074073	days	observer	NaN
50929.8	MJD	15.65	0.05	0	unspecified	apparent	R	NaN	0.8908449074074074	days	observer	NaN
50929.8	MJD	15.78	0.05	0	unspecified	apparent	V	NaN	0.8908449074074074	days	observer	NaN
50930.78	MJD	15.75	0.05	0	unspecified	apparent	B	NaN	1.8708449074074074	days	observer	NaN
50930.78	MJD	15.82	0.05	0	unspecified	apparent	R	NaN	1.8708449074074074	days	observer	NaN
50931.37	MJD	15.54	0.05	0	unspecified	apparent	R	NaN	2.4608449074074072	days	observer	NaN
50931.67	MJD	15.44	0.05	0	unspecified	apparent	R	NaN	2.7608449074074075	days	observer	NaN
50931.67	MJD	15.39	0.05	0	unspecified	apparent	V	NaN	2.7608449074074075	days	observer	NaN
50934.33	MJD	14.71	0.05	0	unspecified	apparent	R	NaN	5.420844907407408	days	observer	NaN
50936.3	MJD	14.58	0.05	0	unspecified	apparent	B	NaN	7.390844907407407	days	observer	NaN
50936.3	MJD	14.28	0.05	0	unspecified	apparent	R	NaN	7.390844907407407	days	observer	NaN
50936.3	MJD	14.18	0.05	0	unspecified	apparent	V	NaN	7.390844907407407	days	observer	NaN
50937.36	MJD	14.13	0.05	0	unspecified	apparent	I	NaN	8.450844907407408	days	observer	NaN
50937.48	MJD	14.35	0.05	0	unspecified	apparent	B	NaN	8.570844907407407	days	observer	NaN
50937.48	MJD	14.08	0.05	0	unspecified	apparent	R	NaN	8.570844907407407	days	observer	NaN
50937.48	MJD	14.22	0.1	0	unspecified	apparent	U	NaN	8.570844907407407	days	observer	NaN
50937.48	MJD	14.03	0.05	0	unspecified	apparent	V	NaN	8.570844907407407	days	observer	NaN
50939.33	MJD	13.93	0.05	0	unspecified	apparent	I	NaN	10.420844907407407	days	observer	NaN
50939.35	MJD	14.24	0.05	0	unspecified	apparent	B	NaN	10.440844907407408	days	observer	NaN
50939.35	MJD	13.88	0.05	0	unspecified	apparent	R	NaN	10.440844907407408	days	observer	NaN
50939.35	MJD	13.92	0.1	0	unspecified	apparent	U	NaN	10.440844907407408	days	observer	NaN
50939.35	MJD	13.82	0.05	0	unspecified	apparent	V	NaN	10.440844907407408	days	observer	NaN
50939.73	MJD	13.92	0.05	0	unspecified	apparent	I	NaN	10.820844907407407	days	observer	NaN
50939.75	MJD	14.21	0.05	0	unspecified	apparent	B	NaN	10.840844907407407	days	observer	NaN
50939.75	MJD	13.85	0.05	0	unspecified	apparent	R	NaN	10.840844907407407	days	observer	NaN
50939.75	MJD	13.85	0.05	0	unspecified	apparent	V	NaN	10.840844907407407	days	observer	NaN
50941.3	MJD	13.82	0.05	0	unspecified	apparent	I	NaN	12.390844907407407	days	observer	NaN
50941.32	MJD	14.13	0.05	0	unspecified	apparent	B	NaN	12.410844907407407	days	observer	NaN
50941.32	MJD	13.75	0.05	0	unspecified	apparent	R	NaN	12.410844907407407	days	observer	NaN
50941.32	MJD	13.85	0.1	0	unspecified	apparent	U	NaN	12.410844907407407	days	observer	NaN
50941.32	MJD	13.71	0.05	0	unspecified	apparent	V	NaN	12.410844907407407	days	observer	NaN
50941.7	MJD	13.79	0.05	0	unspecified	apparent	I	NaN	12.790844907407408	days	observer	NaN
50941.82	MJD	14.11	0.05	0	unspecified	apparent	B	NaN	12.910844907407407	days	observer	NaN
50941.82	MJD	13.71	0.05	0	unspecified	apparent	R	NaN	12.910844907407407	days	observer	NaN
50941.82	MJD	13.74	0.05	0	unspecified	apparent	V	NaN	12.910844907407407	days	observer	NaN
