date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_correccted	dtime	reference	extinction_corrected	dmag2	seeing	seeing_unit
1999-Mar-16.1	310.0	B	20.69	0	0.07	Dutch_0.9m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Mar-16.1	310.0	V	20.52	0	0.07	Dutch_0.9m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Mar-17.1	311.0	B	20.71	0	0.07	Dutch_0.9m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Mar-17.1	311.0	V	20.5	0	0.07	Dutch_0.9m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Mar-17.1	311.0	R	19.74	0	0.05	Dutch_0.9m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Apr-8.1	333.0	B	21.1	0	0.15	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Apr-8.1	333.0	V	20.69	0	0.15	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Apr-8.1	333.0	R	20.09	0	0.15	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Apr-12.2	337.0	U	21.13	0	0.2	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-Apr-12.2	337.0	I	20.03	0	0.15	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-May-21.2	376.0	B	21.59	0	0.2	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-May-21.2	376.0	V	21.43	0	0.2	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
1999-May-21.2	376.0	R	20.83	0	0.2	ESO_3.6m	yyyy-month-deciday	days	AB	apparent	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2001ApJ...555..900P/abstract	NaN	NaN	NaN	NaN
