date	instrument	band	integration	mag	mag_limit	dmag	date_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	time_unit	time	dtime	reference
1999-Dec-10.2708	NOT	R	300.0	18.7	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	2.07853	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-10.2917	INT	I	240.0	15.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	2.09942	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-11.2111	TBG	I	900.0	18.75	0	0.11	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.01883	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-11.2111	CAHA	R	600.0	19.6	0	0.03	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.01883	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-11.2507	CAHA	R	600.0	19.61	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.05843	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-11.2792	INT	R	300.0	19.7	0	0.08	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.08692	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-11.2833	INT	I	300.0	19.2	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.09103	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.0208	UPSO	I	400.0	19.9	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.82853	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2000	CAHA	B	300.0	20.3	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.00772	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2056	CAHA	V	300.0	20.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.01332	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2181	CAHA	R	300.0	20.0	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.02582	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2229	CAHA	V	500.0	20.7	0	0.4	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.03062	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2299	CAHA	B	500.0	21.3	0	0.2	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.03763	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2500	OSN	R	1200.0	19.9	0	0.5	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.05773	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2535	CAHA	U	3000.0	19.8	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.06123	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2576	OSN	I	300.0	19.8	0	0.5	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.06532	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2604	NOT	R	900.0	20.37	0	0.05	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.06813	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2694	NOT	I	900.0	19.95	0	0.05	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.07713	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2757	INT	B	500.0	21.4	0	0.05	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.08343	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2792	NOT	V	300.0	20.85	0	0.05	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.08692	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2806	INT	V	300.0	20.78	0	0.06	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.08832	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2840	INT	I	180.0	20.0	0	0.17	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.09172	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-12.2882	TNG	R	500.0	20.0	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.09593	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.0000	UPSO	I	1800.0	20.3	0	0.2	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.80773	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2604	NOT	R	900.0	20.89	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.06813	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2715	INT	B	500.0	22.03	0	0.06	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.07922	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2729	NOT	I	900.0	20.34	0	0.06	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.08063	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2764	INT	V	180.0	21.36	0	0.07	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.08412	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2799	INT	I	300.0	20.26	0	0.11	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.08763	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2833	NOT	V	300.0	21.38	0	0.07	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.09103	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-13.2910	TNG	R	360.0	20.8	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	5.09873	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2708	NOT	R	900.0	21.43	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	6.07853	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2743	INT	B	1000.0	22.31	0	0.08	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	6.08203	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2778	INT	U	535.0	23.0	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True 	days	6.08552	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2792	NOT	I	900.0	20.91	0	0.07	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	6.08692	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2847	TNG	R	600.0	21.4	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	6.09243	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-14.2875	NOT	V	300.0	21.68	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	6.09522	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-15.2708	NOT	R	900.0	21.97	0	0.08	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	7.07853	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-15.2833	NOT	I	900.0	21.46	0	0.16	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	7.09103	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-15.2938	NOT	V	600.0	21.8	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	7.10153	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-03.5319	WIYN	R	600.0	23.0	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	26.33963	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-03.5507	WIYN	I	600.0	22.0	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	26.35843	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-04.2292	CAHA	R	1800.0	23.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	27.03692	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-05.2292	CAHA	R	2400.0	23.23	0	0.13	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	28.03692	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-06.2083	CAHA	V	10800.0	23.83	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True 	days	29.01603	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-13.2097	CAHA	R	3600.0	23.1	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	36.01743	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-13.2528	CAHA	V	2400.0	22.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	36.06052	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-19.2604	NOT	R	1300.0	23.65	0	0.13	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	42.06813	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-29.2431	WHT	I	1800.0	22.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	52.05082	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Jan-29.2604	WHT	B	986.0	23.6	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	52.06813	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Feb-13.2556	TNG	B	3600.0	24.65	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	67.06332	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Feb-17.2882	TNG	V	2400.0	24.22	0	0.09	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	71.09593	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Mar-31.8403	SAO	V	1490.0	24.55	0	0.16	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.64802	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Mar-31.8715	SAO	I	360.0	23.46	0	0.49	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.67922	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Mar-31.9028	SAO	B	1795.0	25.19	0	0.17	yyyy-month-deciday	seconds	AB	apparent	observer	True7	days	114.71052	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Mar-31.9583	SAO	R	1260.0	24.27	0	0.15	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	114.76603	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Apr-04.2083	NOT	I	3800.0	23.3	0	0.2	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	118.01603	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
2000-Feb-11.2708	TNG	J	2520.0	22.0	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	65.07853	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...370..398C/abstract
1999-Dec-10.27	NOT	R	NaN	18.7	0	0.1	yyyy-month-deciday	NaN	AB	apparent	observer	False	days	2.07772	NaN	https://ui.adsabs.harvard.edu/abs/2000BASI...28...15S/abstract
1999-Dec-11.27	INT	R	NaN	19.5	0	0.1	yyyy-month-deciday	NaN	AB	apparent	observer	False	days	3.07772	NaN	https://ui.adsabs.harvard.edu/abs/2000BASI...28...15S/abstract
1999-Dec-11.85	NOT	R	NaN	20.0	0	0.2	yyyy-month-deciday	NaN	AB	apparent	observer	False	days	3.65772	NaN	https://ui.adsabs.harvard.edu/abs/2000BASI...28...15S/abstract
1999-Dec-12.29	TNG	R	NaN	20.25	0	0.1	yyyy-month-deciday	NaN	AB	apparent	observer	False	days	4.09772	NaN	https://ui.adsabs.harvard.edu/abs/2000BASI...28...15S/abstract
1999-Dec-12.52	VATT	R	NaN	20.5	0	0.1	yyyy-month-deciday	NaN	AB	apparent	observer	False	days	4.32772	NaN	https://ui.adsabs.harvard.edu/abs/2000BASI...28...15S/abstract
