date	instrument	band	integration	mag	mag_limit	dmag	date_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	time_unit	time	dtime
1999-Dec-10.2708	NOT	R	300	18.7	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	2.0785300925925925	NaN
1999-Dec-10.2917	INT	I	240	15.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	2.0994212962962964	NaN
1999-Dec-11.2111	TBG	I	900	18.75	0	0.11	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.0188310185185188	NaN
1999-Dec-11.2111	CAHA	R	600	19.6	0	0.03	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.0188310185185188	NaN
1999-Dec-11.2507	CAHA	R	600	19.61	0	0.04	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.058425925925926	NaN
1999-Dec-11.2792	INT	R	300	19.7	0	0.08	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.086921296296296	NaN
1999-Dec-11.2833	INT	I	300	19.2	0	0.1	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.0910300925925926	NaN
1999-Dec-12.0208	UPSO	I	400	19.9	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	3.828530092592593	NaN
1999-Dec-12.2000	CAHA	B	300	20.3	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.007719907407408	NaN
1999-Dec-12.2056	CAHA	V	300	20.5	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.013321759259259	NaN
1999-Dec-12.2181	CAHA	R	300	20.0	0	0.3	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.02582175925926	NaN
1999-Dec-12.2229	CAHA	V	500	20.7	0	0.4	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.030625	NaN
1999-Dec-12.2299	CAHA	B	500	21.3	0	0.2	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.037627314814815	NaN
1999-Dec-12.2500	OSN	R	1200	19.9	0	0.5	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.057731481481482	NaN
1999-Dec-12.2535	CAHA	U	3000	19.8	1	NaN	yyyy-month-deciday	seconds	AB	apparent	observer	True	days	4.061226851851852	NaN
