date	time	flux_density	flux_density_limit	dflux_density	freq	instrument	date_unit	time_unit	flux_density_unit	time_frame	freq_unit	dtime	reference
1999-Dec-23.80	15.61000	0.782	0	0.04	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-26.78	18.59000	0.693	0	0.038	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-28.98	20.79000	0.464	0	0.044	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-29.49	21.30000	0.679	0	0.03	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-29.49	21.30000	0.501	0	0.042	4.86	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-29.49	21.30000	0.079	0	0.041	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-5.94	28.75000	0.646	0	0.058	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-9.89	32.70000	0.337	0	0.034	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-9.89	32.70000	0.061	0	0.053	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-13.79	36.60000	0.574	0	0.025	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-13.79	36.60000	0.056	0	0.04	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-17.85	40.66000	0.4	0	0.023	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-17.85	40.66000	0.073	0	0.042	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-21.92	44.73000	0.458	0	0.031	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-21.92	44.73000	0.098	0	0.059	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-24.81	47.62000	0.212	0	0.029	4.86	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-25.85	48.66000	0.442	0	0.023	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-25.85	48.66000	0.054	0	0.037	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-30.85	53.66000	0.29	0	0.021	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-30.85	53.66000	0.043	0	0.041	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Feb-4.80	58.61000	0.239	0	0.024	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Feb-4.80	58.61000	0.082	0	0.043	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Feb-10.78	64.59000	0.232	0	0.027	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Feb-10.78	64.59000	0.06	0	0.049	1.43	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Mar-13.63	96.44000	0.172	0	0.033	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Mar-27.57	110.38000	0.177	0	0.047	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Apr-13.67	127.48000	0.123	0	0.026	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-May-4.62	148.43000	0.106	0	0.023	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-May-7.64	151.45000	0.152	0	0.025	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jun-6.45	181.26000	0.038	0	0.04	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jun-14.40	189.21000	0.029	0	0.03	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Aug-27.76	263.57000	0.031	0	0.027	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Sep-10.85	277.66000	0.044	0	0.021	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Sep-16.78	283.59000	0.02	0	0.019	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Sep-24.77	291.58000	0.051	0	0.015	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GhZ	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-14.73	6.54000	0.967	0	0.055	8.35	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-14.73	6.54000	0.448	0	0.067	4.85	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-18.72	10.53000	1.008	0	0.06	8.35	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-18.72	10.53000	0.888	0	0.074	4.85	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-26.70	18.51000	0.43	0	0.075	8.35	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-Dec-26.70	18.51000	0.431	0	0.092	4.85	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-4.69	27.50000	0.474	0	0.056	8.35	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
2000-Jan-4.69	27.50000	0.44	0	0.064	4.85	VLBA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...585..899G/abstract
1999-12-15.82	7.63000	3.4	0	3.7	353.0	SCUBA	yyyy-mm-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...380...81S/abstract
1999-12-19.82	11.63000	-0.8	0	1.8	353.0	SCUBA	yyyy-mm-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2001A%26A...380...81S/abstract
1999-Dec-11.77	3.57772	2.6	0	0.8	250.0	MAMBO	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-12.38	4.18773	2.0	0	0.5	250.0	MAMBO	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-14.35	6.15772	2.0	0	0.7	250.0	MAMBO	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-21.38	13.18772	0.1	0	0.6	250.0	MAMBO	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-11.63	3.43773	3.6	0	0.8	100.0	OVRO_MA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-13.84	5.64772	3.5	0	0.8	100.0	OVRO_MA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-15.72	7.52773	1.9	0	0.8	100.0	OVRO_MA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-16.89	8.69773	1.7	0	0.8	100.0	OVRO_MA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-15.62	7.42772	2.5	0	0.5	86.24	PdBI	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-13.63	5.43773	2.7	0	1.3	30.0	OVRO_40m	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-14.62	6.42772	1.7	0	1.0	30.0	OVRO_40m	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-14.84	6.64772	3.6	0	1.2	30.0	OVRO_40m	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-11.51	3.31772	2.1	0	0.3	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-12.44	4.24772	2.1	0	0.4	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-13.55	5.35779	3.1	0	0.6	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-15.61	7.41772	2.3	0	0.4	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-20.68	12.48772	0.3	0	0.6	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-23.60	15.40774	0.5	0	0.5	15.0	Ryle	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-21.96	13.76773	1.1	0	0.3	22.49	VLA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-21.96	13.76773	1.65	0	0.25	14.97	VLA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
1999-Dec-10.92	2.72773	0.707	0	0.039	8.46	VLA	yyyy-month-deciday	days	milliJy	observer	GHz	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...541L..45G/abstract
