 ! Swift/XRT lightcurve of trigger: 114753, name: GRB 050416A
 ! T0 for this burst is Swift MET=135342283.968 s, = 2005 Apr 16 at 11:04:44.488 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00114753
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
88.006	3.517	-3.388	1.773482265e-10	3.237954705e-11	-3.238074261e-11
NO	NO	NO	NO	NO
! PC data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
105.624	11.204	-11.362	7.92319014e-11	1.653953571e-11	-1.653953571e-11
127.378	12.015	-10.551	7.25038137e-11	1.586058678e-11	-1.586058678e-11
151.479	18.003	-12.085	5.01121926e-11	1.126351836e-11	-1.126351836e-11
184.461	17.616	-14.979	4.85964882e-11	1.090869903e-11	-1.090869903e-11
227.805	29.432	-25.728	2.866169862e-11	6.43383603e-12	-6.43383603e-12
280.276	19.586	-23.038	3.88254789e-11	8.50373784e-12	-8.50373784e-12
335.725	34.342	-35.863	2.414821977e-11	5.28254865e-12	-5.28254865e-12
414.100	36.201	-44.033	2.034926514e-11	4.48462674e-12	-4.48462674e-12
483.560	21.901	-33.260	3.038417217e-11	6.63852033e-12	-6.63852033e-12
547.009	38.686	-41.548	1.991986722e-11	4.47151617e-12	-4.47151617e-12
626.287	52.178	-40.592	1.668933126e-11	3.74633892e-12	-3.74633892e-12
704.816	26.303	-26.351	2.972027844e-11	6.65423604e-12	-6.65423604e-12
762.472	43.866	-31.353	2.061284922e-11	4.63907907e-12	-4.63907907e-12
844.096	32.447	-37.758	2.317945824e-11	5.07687543e-12	-5.07687543e-12
921.105	38.179	-44.562	1.880607762e-11	4.2545331e-12	-4.2545331e-12
1001.176	33.327	-41.892	2.048095017e-11	4.62138921e-12	-4.62138921e-12
1084.220	34.454	-49.717	2.060172756e-11	4.62457368e-12	-4.62457368e-12
1159.752	66.735	-41.079	1.447326486e-11	3.248887437e-12	-3.248887437e-12
1275.305	41.446	-48.818	1.835002683e-11	4.02407046e-12	-4.02407046e-12
1388.394	56.229	-71.643	1.217870109e-11	2.730280815e-12	-2.730280815e-12
1495.241	32.124	-50.617	1.912768695e-11	4.29369138e-12	-4.29369138e-12
1566.184	33.892	-38.820	2.174795226e-11	4.90727934e-12	-4.90727934e-12
1696.875	58.654	-96.799	1.039883328e-11	2.294568567e-12	-2.294568567e-12
1832.055	56.361	-76.526	1.026991206e-11	2.311382421e-12	-2.311382421e-12
1935.104	43.574	-46.688	9.84422259e-12	2.221689222e-12	-2.221689222e-12
2017.504	43.916	-38.825	1.136521107e-11	2.498873166e-12	-2.498873166e-12
2103.374	60.845	-41.954	8.69328576e-12	1.956746115e-12	-1.956746115e-12
2212.355	42.127	-48.135	1.036290006e-11	2.267050023e-12	-2.267050023e-12
2304.278	37.959	-49.796	1.018817856e-11	2.299314645e-12	-2.299314645e-12
5585.828	109.950	-93.142	4.26627468e-12	9.67965597e-13	-9.67965597e-13
