 ! Swift/XRT lightcurve of trigger: 151905, name: GRB 050824
 ! T0 for this burst is Swift MET=146617936. s, = 2005 Aug 24 at 23:12:16.308 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00151905
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! PC data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
6314.751	188.220	-222.977	1.577700272e-12	4.17263744e-13	-4.17263744e-13
6757.947	211.382	-254.976	1.384493016e-12	3.71126808e-13	-3.71126808e-13
7188.372	300.702	-219.043	1.968584032e-12	4.43294912e-13	-4.43294912e-13
12086.285	157.786	-238.368	1.706336664e-12	4.47552256e-13	-4.47552256e-13
12469.045	211.297	-224.973	1.531910432e-12	4.03769656e-13	-4.03769656e-13
12914.213	400.128	-233.871	1.196176752e-12	3.112933056e-13	-3.112933056e-13
18100.017	179.901	-233.803	1.61584196e-12	4.238166e-13	-4.238166e-13
18688.609	404.289	-408.691	1.180279824e-12	2.680036576e-13	-2.680036576e-13
22536.394	263.140	-230.798	2.052044968e-12	4.39784736e-13	-4.39784736e-13
24486.757	399.265	-271.887	1.095971616e-12	2.868363504e-13	-2.868363504e-13
28828.804	1833.774	-769.425	7.7710632e-13	1.556721432e-13	-1.556721432e-13
34175.156	215.356	-294.713	1.473425616e-12	3.8461092e-13	-3.8461092e-13
34769.928	277.498	-379.416	9.95133864e-13	2.63943976e-13	-2.63943976e-13
35691.982	767.254	-644.556	7.4809336e-13	1.584346352e-13	-1.584346352e-13
40595.298	455.008	-955.925	7.40781984e-13	1.9857572e-13	-1.9857572e-13
41615.501	630.347	-565.195	7.63156432e-13	1.728652288e-13	-1.728652288e-13
46249.095	588.499	-831.335	9.82740576e-13	2.714893064e-13	-2.714893064e-13
47099.985	193.938	-262.390	1.436555352e-12	3.78870936e-13	-3.78870936e-13
47563.611	467.102	-269.687	1.36830816e-12	3.127157112e-13	-3.127157112e-13
52154.962	325.566	-950.050	9.36397584e-13	2.4863976e-13	-2.4863976e-13
53169.614	649.810	-689.087	5.4455888e-13	1.37916136e-13	-1.37916136e-13
57709.880	393.551	-724.278	9.02995184e-13	2.394746368e-13	-2.394746368e-13
58748.057	855.744	-644.626	8.19803256e-13	1.594381176e-13	-1.594381176e-13
63177.190	367.507	-403.435	1.062210424e-12	2.792930496e-13	-2.792930496e-13
63852.094	296.864	-307.396	1.09021856e-12	2.868328416e-13	-2.868328416e-13
64711.383	676.909	-562.425	1.001603128e-12	1.9518732e-13	-1.9518732e-13
85734.699	25846.533	-5114.637	3.96468944e-13	7.7633748e-14	-7.7633748e-14
209034.480	5117.378	-29655.351	2.566408216e-13	6.9998152e-14	-6.9998152e-14
224931.126	6579.600	-5870.173	3.45571048e-13	7.98625928e-14	-7.98625928e-14
245300.718	9861.493	-8834.432	2.489666288e-13	6.15521264e-14	-6.15521264e-14
264424.415	8918.534	-4156.034	2.179166728e-13	5.80117128e-14	-5.80117128e-14
283610.252	6112.621	-5300.591	3.44248024e-13	6.9927632e-14	-6.9927632e-14
301734.018	10471.199	-7433.064	2.421758624e-13	5.47659352e-14	-5.47659352e-14
327881.258	13250.759	-10419.433	3.262447152e-13	8.25810528e-14	-8.25810528e-14
558227.797	45174.305	-106341.339	7.84491312e-14	2.428767968e-14	-2.428767968e-14
648051.683	11990.496	-12409.690	1.427651944e-13	3.85669064e-14	-3.85669064e-14
758634.763	86628.350	-88307.355	7.05950264e-14	1.45971584e-14	-1.45971584e-14
955847.257	22315.787	-18640.425	1.096974376e-13	3.052493976e-14	-3.052493976e-14
1053482.255	174699.587	-70312.317	6.32588824e-14	1.392731472e-14	-1.392731472e-14
1690492.339	259669.049	-127775.305	3.6908964e-14	1.101021536e-14	-1.101021536e-14
2033100.740	62262.706	-78235.501	5.6029516e-14	1.19885376e-14	-1.19885376e-14
NO	NO	NO	NO	NO
! PC upper limits
2543201.613	170279.687	-25247.551	1.708304e-13	0	0
