 ! Swift/XRT lightcurve of trigger: 221755, name: GRB 060729
 ! T0 for this burst is Swift MET=175893150.592 s, = 2006 Jul 29 at 19:12:29.244 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00221755
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
130.368	0.309	-0.367	5.3738619e-08	5.61391458e-09	-5.59520178e-09
131.006	0.354	-0.329	5.31787944e-08	5.55271491e-09	-5.53654122e-09
131.761	0.318	-0.400	5.05460865e-08	5.2765689e-09	-5.26193088e-09
132.452	0.426	-0.372	4.50543882e-08	4.7556954e-09	-4.74385074e-09
133.332	0.414	-0.454	4.07048826e-08	4.42332285e-09	-4.41196974e-09
134.135	0.523	-0.389	3.98066682e-08	4.15744515e-09	-4.14343428e-09
135.007	0.411	-0.349	2.954980962e-08	4.13089806e-09	-4.11423621e-09
135.861	0.383	-0.443	4.44231024e-08	4.64418474e-09	-4.5721608e-09
136.715	0.477	-0.471	3.77744988e-08	4.06780677e-09	-4.00143057e-09
137.640	0.458	-0.448	2.648354445e-08	3.4206456e-09	-3.40529568e-09
138.614	0.530	-0.516	3.226206726e-08	3.52670853e-09	-3.51525033e-09
139.565	0.433	-0.421	2.888203047e-08	3.59705103e-09	-3.58840992e-09
140.482	0.401	-0.484	2.640137424e-08	3.4907508e-09	-3.48411996e-09
141.390	0.415	-0.508	2.568837927e-08	3.308985441e-09	-3.302655294e-09
142.129	0.208	-0.324	2.403919173e-08	3.125608476e-09	-3.063034161e-09
142.562	0.280	-0.225	2.131645221e-08	2.690624016e-09	-2.619703521e-09
143.070	0.275	-0.227	2.053742343e-08	2.655693795e-09	-2.583641379e-09
143.594	0.252	-0.250	2.19066546e-08	2.765168082e-09	-2.68296804e-09
