 ! Swift/XRT lightcurve of trigger: 296504, name: GRB 071112C
 ! T0 for this burst is Swift MET=216585179.904 s, = 2007 Nov 12 at 18:32:57.547 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00296504
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
90.615	0.900	-0.729	1.281024766e-09	1.909643064e-10	-1.90964221e-10
92.234	0.776	-0.718	1.396920252e-09	2.082410253e-10	-2.082409399e-10
94.058	0.671	-1.047	1.214730454e-09	1.81081733e-10	-1.810816476e-10
95.753	0.867	-1.025	1.046326778e-09	1.678782098e-10	-1.678781671e-10
97.540	0.897	-0.919	1.129318925e-09	1.72487077e-10	-1.724869916e-10
99.449	1.265	-1.012	9.16779248e-10	1.366657054e-10	-1.3666562e-10
101.651	0.931	-0.937	1.079138739e-09	1.689115498e-10	-1.689114644e-10
103.656	0.648	-1.074	1.191623349e-09	1.82003199e-10	-1.820031136e-10
104.910	0.597	-0.606	1.736531286e-09	2.588673409e-10	-2.588672128e-10
106.286	0.881	-0.779	1.258209729e-09	1.875632514e-10	-1.87563166e-10
108.108	1.016	-0.941	1.067168648e-09	1.590844437e-10	-1.590843583e-10
110.065	1.281	-0.941	9.23556592e-10	1.41059877e-10	-1.410598343e-10
112.549	0.872	-1.203	1.006953535e-09	1.501080924e-10	-1.50108007e-10
114.482	0.781	-1.062	1.113602763e-09	1.700866538e-10	-1.700865684e-10
116.158	1.165	-0.895	9.96293907e-10	1.521694349e-10	-1.521693495e-10
118.602	0.839	-1.279	9.69497949e-10	1.48076768e-10	-1.480766826e-10
120.326	1.036	-0.886	1.068242126e-09	1.631584934e-10	-1.63158408e-10
122.380	0.652	-1.017	1.251940088e-09	1.866285911e-10	-1.866285057e-10
124.301	1.210	-1.270	8.42423176e-10	1.255812978e-10	-1.255812124e-10
126.742	0.917	-1.230	9.56022683e-10	1.46018628e-10	-1.460185426e-10
128.627	1.213	-0.968	9.07922414e-10	1.456718613e-10	-1.456717759e-10
131.034	1.171	-1.194	8.68266924e-10	1.326151834e-10	-1.326151407e-10
133.561	1.275	-1.357	7.93990701e-10	1.183613683e-10	-1.183613256e-10
136.062	1.189	-1.227	8.64729229e-10	1.289065176e-10	-1.289064749e-10
138.524	1.436	-1.272	7.71545019e-10	1.150153963e-10	-1.150153536e-10
140.976	1.155	-1.017	9.61756439e-10	1.433705021e-10	-1.433704167e-10
143.664	1.768	-1.532	6.22064702e-10	9.5011343e-11	-9.50113003e-11
146.778	1.474	-1.346	7.4092186e-10	1.104503393e-10	-1.104502966e-10
149.704	1.542	-1.452	6.97781196e-10	1.040192923e-10	-1.040192069e-10
152.986	1.560	-1.740	6.22080074e-10	9.50137342e-11	-9.50136915e-11
156.424	1.798	-1.878	5.5855443e-10	8.53110986e-11	-8.53110559e-11
159.521	1.450	-1.299	7.60120207e-10	1.133122641e-10	-1.133121787e-10
162.522	1.587	-1.551	6.42614931e-10	1.005848886e-10	-1.005848459e-10
166.155	1.742	-2.046	5.51583655e-10	8.22253831e-11	-8.22253404e-11
169.410	1.512	-1.513	6.90767721e-10	1.029737828e-10	-1.029737401e-10
173.034	2.346	-2.113	4.36026353e-10	7.17288264e-11	-7.17288264e-11
177.528	1.513	-2.148	5.60673631e-10	8.56347646e-11	-8.56347219e-11
180.491	1.882	-1.450	4.070649499e-10	7.70828086e-11	-7.70828086e-11
184.371	1.939	-1.997	4.246926201e-10	7.07822101e-11	-7.07822101e-11
187.823	1.658	-1.514	6.73266699e-10	9.92679779e-11	-9.92679352e-11
191.268	1.939	-1.787	4.237234582e-10	7.26680983e-11	-7.26680556e-11
195.072	1.557	-1.866	4.069034585e-10	7.42901859e-11	-7.42901432e-11
198.543	2.394	-1.913	4.203172365e-10	6.73047648e-11	-6.73047221e-11
203.150	2.151	-2.213	4.7865846e-10	7.13543474e-11	-7.13543047e-11
207.431	2.247	-2.129	4.77342019e-10	7.11580982e-11	-7.11580555e-11
211.502	1.892	-1.824	3.649975077e-10	6.91168247e-11	-6.91168247e-11
215.551	2.446	-2.156	4.236755061e-10	6.53746821e-11	-6.53746394e-11
220.275	1.859	-2.277	5.04993685e-10	7.52801427e-11	-7.52801e-11
224.308	1.652	-2.175	3.354370663e-10	6.843956e-11	-6.84395173e-11
229.039	1.908	-3.079	2.792525771e-10	5.09843978e-11	-5.09843551e-11
233.400	1.970	-2.453	3.148641209e-10	5.7486156e-11	-5.74861133e-11
237.206	1.715	-1.836	3.819366404e-10	7.23244487e-11	-7.23244487e-11
241.085	2.236	-2.164	3.082728635e-10	5.83752981e-11	-5.83752981e-11
245.559	2.469	-2.238	2.881174814e-10	5.4558644e-11	-5.45586013e-11
249.963	1.960	-1.935	3.576216378e-10	6.529257e-11	-6.529257e-11
254.003	2.048	-2.080	3.374586978e-10	6.16113176e-11	-6.16113176e-11
257.889	1.985	-1.838	4.060355383e-10	7.30878393e-11	-7.30878393e-11
262.221	2.304	-2.346	2.995180398e-10	5.46843528e-11	-5.46843101e-11
266.721	2.532	-2.196	2.945622778e-10	5.37795398e-11	-5.37795398e-11
271.737	1.799	-2.483	3.316059369e-10	6.05427501e-11	-6.05427501e-11
276.364	2.207	-2.828	2.847329086e-10	5.19849442e-11	-5.19849442e-11
280.497	1.949	-1.926	3.689072051e-10	6.73530158e-11	-6.73530158e-11
284.781	1.963	-2.336	3.239540969e-10	5.91457342e-11	-5.91457342e-11
288.963	2.360	-2.219	4.177727435e-10	6.61635219e-11	-6.61634792e-11
294.091	2.220	-2.767	2.647488389e-10	5.20243136e-11	-5.20243136e-11
299.474	2.499	-3.163	2.459759974e-10	4.49089137e-11	-4.49089137e-11
304.923	4.582	-2.949	1.753051916e-10	3.444825062e-11	-3.444824208e-11
312.129	2.788	-2.625	2.573517898e-10	4.69858417e-11	-4.69858417e-11
316.914	1.974	-1.997	3.507535563e-10	6.40386418e-11	-6.40385991e-11
320.972	2.094	-2.085	3.332813141e-10	6.08486529e-11	-6.08486102e-11
325.039	2.025	-1.973	3.442406107e-10	6.5186247e-11	-6.5186247e-11
329.138	2.693	-2.073	2.928527406e-10	5.54553013e-11	-5.54553013e-11
334.794	2.388	-2.963	2.637632375e-10	4.81564195e-11	-4.81564195e-11
339.068	1.815	-1.886	3.763323508e-10	6.87086554e-11	-6.87086554e-11
343.454	2.889	-2.571	2.550583301e-10	4.65671255e-11	-4.65671255e-11
349.760	2.687	-3.417	2.162376678e-10	4.249165816e-11	-4.249164962e-11
356.653	2.469	-4.206	1.977622318e-10	3.886115898e-11	-3.886114617e-11
362.317	2.397	-3.195	2.425985555e-10	4.59390512e-11	-4.59390512e-11
NO	NO	NO	NO	NO
! PC data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
381.197	8.125	-9.426	3.079645268e-10	6.59347353e-11	-6.59347353e-11
400.883	11.004	-11.561	2.500935157e-10	5.23580995e-11	-5.23580995e-11
425.007	9.447	-13.119	2.16750751e-10	4.87668587e-11	-4.87668587e-11
444.794	19.747	-10.341	1.622778913e-10	3.645459979e-11	-3.645459979e-11
478.819	13.302	-14.278	1.959936405e-10	4.208007713e-11	-4.208007713e-11
509.577	12.632	-17.456	1.625322552e-10	3.656822022e-11	-3.656822022e-11
541.194	11.103	-18.985	1.791033993e-10	3.829202349e-11	-3.829202349e-11
567.566	9.804	-15.269	2.246261682e-10	4.70264067e-11	-4.70264067e-11
588.244	14.199	-10.874	1.963954475e-10	4.41871129e-11	-4.41871129e-11
613.133	11.876	-10.689	2.500281847e-10	5.23444355e-11	-5.23444355e-11
635.407	7.154	-10.398	3.238321457e-10	6.77956013e-11	-6.77956013e-11
