 ! Swift/XRT lightcurve of trigger: 306757, name: GRB 080319B
 ! T0 for this burst is Swift MET=227599971.904 s, = 2008 Mar 19 at 06:12:49.250 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00306757
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
64.665	0.339	-0.380	1.430088858e-07	1.576268254e-08	-1.571614572e-08
65.309	0.396	-0.305	1.476543772e-07	1.613658156e-08	-1.609886366e-08
66.155	0.464	-0.450	1.100673024e-07	1.241861016e-08	-1.238942694e-08
67.060	0.387	-0.441	1.251093206e-07	1.367031336e-08	-1.364080102e-08
67.840	0.439	-0.394	1.204583314e-07	1.363767064e-08	-1.361409742e-08
68.789	0.453	-0.510	1.071653616e-07	1.175028338e-08	-1.17307157e-08
69.760	0.493	-0.518	9.74906922e-08	1.12650109e-08	-1.124503182e-08
70.686	0.428	-0.433	1.181314156e-07	1.316281032e-08	-1.313810014e-08
71.577	0.369	-0.463	1.191730056e-07	1.365067836e-08	-1.363379974e-08
72.478	0.491	-0.532	9.94348938e-08	1.107233358e-08	-1.105905284e-08
73.331	0.397	-0.362	1.399932864e-07	1.481421106e-08	-1.479569806e-08
74.212	0.507	-0.483	1.00134386e-07	1.146882968e-08	-1.145641662e-08
75.188	0.459	-0.468	1.104663978e-07	1.225629416e-08	-1.223919488e-08
76.173	0.493	-0.526	9.66123532e-08	1.120779264e-08	-1.119253344e-08
77.057	0.496	-0.391	1.133543884e-07	1.28348759e-08	-1.281472104e-08
78.138	0.522	-0.585	8.90130472e-08	1.032795764e-08	-1.031179336e-08
79.110	0.439	-0.450	1.14334044e-07	1.279009314e-08	-1.276683782e-08
79.985	0.461	-0.436	1.182068514e-07	1.261445526e-08	-1.258978996e-08
80.832	0.376	-0.386	1.373194108e-07	1.48836105e-08	-1.485491722e-08
81.636	0.437	-0.428	1.18868233e-07	1.313902766e-08	-1.31150393e-08
82.572	0.500	-0.499	1.01362789e-07	1.138380826e-08	-1.13637843e-08
83.504	0.431	-0.432	1.128988938e-07	1.325970624e-08	-1.324000018e-08
84.342	0.433	-0.406	1.202658336e-07	1.35536665e-08	-1.353909546e-08
85.340	0.522	-0.565	9.26963862e-08	1.048891602e-08	-1.04784889e-08
86.376	0.458	-0.513	1.028142082e-07	1.178155726e-08	-1.17628049e-08
87.390	0.516	-0.557	9.27613874e-08	1.06697338e-08	-1.06565316e-08
88.389	0.455	-0.483	1.06520997e-07	1.220357512e-08	-1.218827478e-08
89.438	0.593	-0.593	8.53723442e-08	9.626386e-09	-9.6099487e-09
90.617	0.652	-0.586	7.98210622e-08	9.31193428e-09	-9.29906868e-09
91.788	0.520	-0.519	9.57779218e-08	1.10169554e-08	-1.100402996e-08
92.768	0.453	-0.460	1.157117478e-07	1.244195524e-08	-1.242187892e-08
93.761	0.559	-0.540	9.4098774e-08	1.035950828e-08	-1.034188914e-08
94.888	0.541	-0.567	9.36638868e-08	1.027122184e-08	-1.02531539e-08
95.936	0.502	-0.507	1.01059662e-07	1.130533558e-08	-1.128481794e-08
96.944	0.495	-0.507	1.019973174e-07	1.143080136e-08	-1.141020518e-08
