 ! Swift/XRT lightcurve of trigger: 377179, name: GRB 091127
 ! T0 for this burst is Swift MET=281057151.104 s, = 2009 Nov 27 at 23:25:45.805 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00377179
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
3220.379	1.480	-2.162	3.628367028e-10	6.62462856e-11	-6.6258522e-11
3223.716	2.103	-1.857	3.40802946e-10	6.38170632e-11	-6.38253792e-11
3227.718	1.458	-1.899	3.933005076e-10	7.1807076e-11	-7.1813412e-11
3231.288	1.587	-2.112	3.555954468e-10	6.49228932e-11	-6.49270908e-11
3234.605	1.941	-1.730	3.822429204e-10	6.75719352e-11	-6.7575816e-11
3238.556	2.156	-2.011	4.77460764e-10	7.11759312e-11	-7.1180604e-11
3242.578	2.137	-1.866	3.374186112e-10	6.16040568e-11	-6.16061952e-11
3246.844	2.139	-2.129	3.164631228e-10	5.77781028e-11	-5.7779766e-11
3251.177	2.004	-2.194	2.931453756e-10	5.87285028e-11	-5.87298492e-11
3255.123	2.270	-1.941	3.043406124e-10	5.72867856e-11	-5.72883696e-11
3259.989	1.840	-2.596	2.955891312e-10	5.39670384e-11	-5.39683452e-11
3264.229	1.567	-2.400	3.303193212e-10	6.03078696e-11	-6.03092952e-11
3268.338	2.262	-2.542	4.09225212e-10	6.10038e-11	-6.10059384e-11
3272.434	2.665	-1.834	4.47023016e-10	6.66384444e-11	-6.66407016e-11
3277.496	1.841	-2.397	4.70870532e-10	7.16329944e-11	-7.16357268e-11
3281.238	2.131	-1.901	3.351609756e-10	6.11918604e-11	-6.11936028e-11
3285.938	2.487	-2.570	2.67444936e-10	4.88286612e-11	-4.8830166e-11
3290.221	2.153	-1.796	3.42380016e-10	6.25099068e-11	-6.25120848e-11
3294.455	2.456	-2.080	4.23096696e-10	6.56973108e-11	-6.57002808e-11
3298.845	2.176	-1.934	3.941621244e-10	6.4800054e-11	-6.48031032e-11
3303.153	1.882	-2.132	3.272822784e-10	5.975343e-11	-5.97555684e-11
3307.098	1.801	-2.063	3.400265484e-10	6.20802468e-11	-6.20826624e-11
3311.232	2.286	-2.333	2.84492142e-10	5.19410628e-11	-5.19433596e-11
3315.277	1.979	-1.759	3.435576012e-10	6.466878e-11	-6.46714728e-11
3319.005	1.977	-1.749	3.564588456e-10	6.59407716e-11	-6.59434644e-11
3323.402	1.667	-2.421	3.14125812e-10	5.912874e-11	-5.91311952e-11
3327.334	2.176	-2.265	4.30755732e-10	6.68866968e-11	-6.68912112e-11
3331.454	2.140	-1.944	3.14751096e-10	5.92464708e-11	-5.92492032e-11
3335.657	2.276	-2.064	3.871423908e-10	6.346296e-11	-6.34666428e-11
3340.102	2.506	-2.169	2.685927024e-10	5.21467452e-11	-5.21491608e-11
3345.177	1.611	-2.568	3.004828992e-10	5.83381656e-11	-5.83405812e-11
3348.862	2.315	-2.074	2.860635492e-10	5.55386832e-11	-5.55412968e-11
3353.474	2.054	-2.297	4.32777312e-10	6.86045448e-11	-6.86095344e-11
3357.197	1.806	-1.669	3.740197032e-10	7.12910088e-11	-7.12944936e-11
3361.823	2.269	-2.820	2.526622164e-10	4.75593624e-11	-4.75618176e-11
3366.865	1.941	-2.774	2.789326584e-10	5.09261148e-11	-5.09291244e-11
3370.781	2.398	-1.975	2.870269776e-10	5.57257536e-11	-5.5728486e-11
3375.181	2.892	-2.002	4.0292802e-10	6.006528e-11	-6.00696756e-11
3380.419	2.273	-2.346	2.7163224e-10	5.27368248e-11	-5.27389236e-11
3384.817	1.752	-2.125	4.93088112e-10	7.65654912e-11	-7.65702036e-11
3388.811	2.207	-2.242	4.36371804e-10	6.6384846e-11	-6.63894396e-11
3393.298	2.055	-2.279	3.033222588e-10	5.5379016e-11	-5.53816692e-11
3397.265	2.021	-1.912	3.34189548e-10	6.10146108e-11	-6.10177788e-11
3401.659	2.427	-2.373	4.1580594e-10	6.32561688e-11	-6.32604852e-11
3406.623	1.938	-2.537	3.023084592e-10	5.5193886e-11	-5.51963412e-11
3410.726	2.099	-2.165	4.60288224e-10	7.0023294e-11	-7.0028244e-11
3414.536	1.845	-1.710	3.943255536e-10	6.97078008e-11	-6.97111272e-11
3418.617	2.128	-2.237	3.011078664e-10	5.49747e-11	-5.49772344e-11
3422.873	1.855	-2.129	3.302129952e-10	6.02885844e-11	-6.02917524e-11
3426.577	1.542	-1.849	3.87912888e-10	7.08231744e-11	-7.08270552e-11
3429.856	2.933	-1.738	3.597639408e-10	5.89749336e-11	-5.8978854e-11
3434.888	2.107	-2.099	2.914117668e-10	5.838129e-11	-5.83837848e-11
3440.171	2.080	-3.176	2.445262776e-10	4.6027872e-11	-4.60300896e-11
3444.278	2.339	-2.027	3.010323492e-10	5.49609192e-11	-5.49635328e-11
3448.529	1.962	-1.913	3.391799004e-10	6.1925688e-11	-6.19285788e-11
3452.899	2.266	-2.407	4.15573488e-10	6.32208852e-11	-6.32256768e-11
3457.889	2.028	-2.724	2.767448772e-10	5.05266696e-11	-5.05293228e-11
3461.645	1.736	-1.728	3.79652328e-10	6.93149688e-11	-6.93183744e-11
3465.172	1.853	-1.790	3.704252112e-10	6.76303056e-11	-6.7633632e-11
3469.818	1.927	-2.793	2.870773488e-10	5.24131344e-11	-5.24160648e-11
