 ! Swift/XRT lightcurve of trigger: 416135, name: GRB 100316D
 ! T0 for this burst is Swift MET=290436296. s, = 2010 Mar 16 at 12:44:50.381 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00416135
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time       T_+ve       T_-ve       Flux        Fluxpos     Fluxneg
128.339335679321    0.47930433113936    -0.678898708235636  2.72981500955665e-09    4.07044284971844e-10    -4.07029308608e-10
129.593130692005    0.641684326275026   -0.774490681544961  2.43251606967907e-09    3.63983978977245e-10    -3.63634299201488e-10
130.819061076742    0.799873929025921   -0.584246058462071  2.33734139615411e-09    3.48478664498398e-10    -3.48525753875418e-10
132.303661086873    0.742094912318038   -0.684726081104969  2.27585660217245e-09    3.39392672117508e-10    -3.394408264508e-10
133.911399255184    0.819300718025431   -0.86564325599258   1.9751314104907e-09 2.95062762213422e-10    -2.95078088206677e-10
136.010115673843    1.17663932770176    -1.27941570063425   2.57360965901585e-09    3.00403806197833e-10    -3.07993944470395e-10
NO  NO  NO  NO  NO
! WT data
!Time       T_+ve       T_-ve       Flux        Fluxpos     Fluxneg
144.813 0.959   -0.815  1.93866397e-09  3.011639916e-10 -3.01092365e-10
146.494 0.620   -0.722  2.6011017e-09   3.964447685e-10 -3.96351681e-10
147.652 0.670   -0.538  2.930214418e-09 4.382817437e-10 -4.381755901e-10
149.022 0.614   -0.700  2.692277352e-09 4.023819231e-10 -4.023377827e-10
150.110 0.585   -0.473  3.343891206e-09 4.995302722e-10 -4.995184924e-10
151.473 0.692   -0.778  2.374373046e-09 3.613502394e-10 -3.613605298e-10
152.866 0.693   -0.702  2.537773766e-09 3.788974024e-10 -3.789283413e-10
154.248 0.555   -0.688  2.861525321e-09 4.271092804e-10 -4.271665546e-10
