 ! Swift/XRT lightcurve of trigger: 510649, name: GRB 111228A
 ! T0 for this burst is Swift MET=346779891.328 s, = 2011 Dec 28 at 15:44:43.604 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00510649
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
135.816279382087	0.4374806149074	-1.37360136457357	2.3129942252534e-08	2.91356537732191e-09	-2.84328427851578e-09
136.369113131537	0.119487854570423	-0.115353134542573	3.19258143832485e-07	3.53148743982367e-08	-3.40412367940801e-08
136.931582729675	0.284701264148708	-0.442981743568311	7.43604749680272e-08	7.39803336845148e-09	-7.36572610163572e-09
137.553562932476	0.753285073875134	-0.337278938651849	3.36857884709368e-08	4.03154149996889e-09	-4.02859940403848e-09
139.12660175958	0.915035260633715	-0.819753753229293	1.92138941471485e-08	2.3308942439776e-09	-2.33003213133091e-09
142.152541173887	2.29859982590688	-2.11090415367315	1.4600981665546e-08	1.27687556013204e-09	-1.27569688516981e-09
NO	NO	NO	NO	NO
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
149.366	0.469	-0.488	1.085155524e-08	1.389975336e-09	-1.360535928e-09
150.290	0.380	-0.456	1.254388272e-08	1.571137872e-09	-1.55262636e-09
151.056	0.394	-0.385	1.31982654e-08	1.693962732e-09	-1.676028552e-09
151.833	0.305	-0.383	1.478923092e-08	1.927696236e-09	-1.903745484e-09
152.475	0.368	-0.337	1.474281816e-08	1.875896436e-09	-1.849909536e-09
153.124	0.288	-0.281	1.806544212e-08	2.33494776e-09	-2.29919946e-09
153.748	0.379	-0.336	1.437973932e-08	1.86564366e-09	-1.829606172e-09
154.446	0.347	-0.319	1.561033692e-08	2.020466076e-09	-1.95913386e-09
155.202	0.382	-0.409	1.28618886e-08	1.672786932e-09	-1.65463038e-09
155.861	0.295	-0.276	1.83664308e-08	2.30513112e-09	-2.27431572e-09
156.611	0.363	-0.456	1.269168876e-08	1.618252896e-09	-1.593820164e-09
157.286	0.288	-0.312	1.766428164e-08	2.185467144e-09	-2.158630428e-09
157.951	0.329	-0.377	1.470568308e-08	1.863786384e-09	-1.843455528e-09
158.747	0.372	-0.467	1.21259208e-08	1.576477236e-09	-1.560039108e-09
159.560	0.424	-0.440	1.166289636e-08	1.5557601e-09	-1.540426524e-09
160.422	0.444	-0.438	1.182379764e-08	1.517162724e-09	-1.50144252e-09
161.346	0.408	-0.480	1.175285784e-08	1.509768072e-09	-1.492741476e-09
162.411	0.603	-0.657	8.44767564e-09	1.11027312e-09	-1.045580964e-09
163.434	0.443	-0.420	1.221189768e-08	1.6170603e-09	-1.531221228e-09
164.374	0.585	-0.497	9.93298836e-09	1.277070564e-09	-1.214369664e-09
165.470	0.507	-0.511	1.01512122e-08	1.355806956e-09	-1.306307436e-09
166.414	0.432	-0.438	1.21120008e-08	1.560215892e-09	-1.521165072e-09
167.430	0.519	-0.584	9.55284012e-09	1.223334492e-09	-1.20042774e-09
168.436	0.593	-0.487	9.85330332e-09	1.238343732e-09	-1.22099106e-09
169.600	0.555	-0.571	9.23633412e-09	1.185163764e-09	-1.17321762e-09
170.785	0.607	-0.629	8.08228956e-09	1.065173364e-09	-1.054094436e-09
171.933	0.545	-0.541	9.67443132e-09	1.19489802e-09	-1.182316776e-09
173.184	0.645	-0.707	7.39102236e-09	9.73567932e-10	-9.63641232e-10
174.456	0.647	-0.627	8.00400696e-09	1.035032736e-09	-1.016655552e-09
175.919	0.820	-0.815	6.17402808e-09	8.15153112e-10	-7.94441196e-10
177.710	0.773	-0.972	6.0157542e-09	7.60366776e-10	-7.35147216e-10
179.423	0.873	-0.940	5.79142992e-09	7.40325804e-10	-7.07778756e-10
180.885	0.470	-0.588	6.40257012e-09	8.80080168e-10	-8.18617104e-10
181.818	0.385	-0.463	5.62564968e-09	7.54825572e-10	-6.91791288e-10
182.469	0.272	-0.266	8.88552228e-09	1.19602206e-09	-1.092893304e-09
183.142	0.432	-0.401	5.6718954e-09	7.6463082e-10	-7.07565084e-10
183.953	0.446	-0.379	5.78317188e-09	7.38893088e-10	-7.08901056e-10
184.825	0.396	-0.426	5.80827312e-09	7.30237632e-10	-7.10809488e-10
185.660	0.483	-0.439	5.124474e-09	6.46332048e-10	-6.35546832e-10
186.539	0.429	-0.396	5.6585844e-09	7.25267844e-10	-7.12351476e-10
187.509	0.420	-0.541	4.91569836e-09	6.32519232e-10	-6.11412684e-10
188.422	0.597	-0.493	4.33030668e-09	5.46305364e-10	-5.3706492e-10
189.408	0.441	-0.388	5.75836644e-09	7.23007584e-10	-7.04563932e-10
190.361	0.466	-0.512	4.72130208e-09	6.13009308e-10	-6.031797e-10
191.239	0.401	-0.412	5.82852672e-09	7.4003418e-10	-7.23398388e-10
192.158	0.448	-0.518	4.99846668e-09	6.22656912e-10	-6.10971072e-10
193.081	0.440	-0.474	5.22372012e-09	6.62193192e-10	-6.48190368e-10
194.060	0.460	-0.540	4.77749016e-09	6.01174176e-10	-5.92408056e-10
195.122	0.618	-0.601	3.87694968e-09	4.98340524e-10	-4.88185536e-10
196.306	0.479	-0.567	4.61593464e-09	5.91705792e-10	-5.66170596e-10
197.270	0.474	-0.485	5.03556696e-09	6.48740904e-10	-6.17762988e-10
198.055	0.268	-0.310	5.02505736e-09	6.1490034e-10	-6.14006328e-10
198.585	0.254	-0.262	3.235062288e-09	4.93668972e-10	-4.9366932e-10
199.164	0.264	-0.325	4.29241296e-09	5.24403984e-10	-5.2440468e-10
199.743	0.349	-0.316	3.7988724e-09	4.64108112e-10	-4.64108808e-10
200.359	0.286	-0.266	3.299974728e-09	4.81658796e-10	-4.81659144e-10
200.924	0.267	-0.279	3.108378804e-09	4.63371048e-10	-4.63371396e-10
201.498	0.292	-0.308	3.397943688e-09	4.6240326e-10	-4.62403608e-10
202.064	0.313	-0.274	3.405756984e-09	4.67818488e-10	-4.67818836e-10
202.693	0.323	-0.315	2.71716312e-09	4.00625256e-10	-4.00625604e-10
203.322	0.336	-0.306	3.331936092e-09	4.57776948e-10	-4.57777296e-10
203.945	0.270	-0.287	3.04879842e-09	4.54489392e-10	-4.5448974e-10
204.465	0.259	-0.250	3.354407844e-09	5.06028192e-10	-5.0602854e-10
205.022	0.261	-0.298	3.0390318e-09	4.53033708e-10	-4.53034056e-10
205.571	0.300	-0.288	2.882944056e-09	4.29765384e-10	-4.29765732e-10
206.099	0.293	-0.228	3.256840824e-09	4.85502804e-10	-4.85503152e-10
206.689	0.320	-0.296	2.757965076e-09	4.11134508e-10	-4.11134856e-10
207.260	0.259	-0.252	3.324928068e-09	4.95652572e-10	-4.9565292e-10
207.772	0.307	-0.253	3.029383848e-09	4.51595424e-10	-4.51595772e-10
208.425	0.311	-0.345	3.85034508e-09	4.7039682e-10	-4.70397168e-10
208.970	0.301	-0.234	3.170319324e-09	4.7260488e-10	-4.72605228e-10
209.626	0.265	-0.354	2.695858908e-09	4.11386808e-10	-4.11387156e-10
210.163	0.298	-0.273	2.922617796e-09	4.45990188e-10	-4.45990536e-10
210.760	0.242	-0.299	3.20876184e-09	4.7310774e-10	-4.73108088e-10
211.266	0.260	-0.263	3.317869584e-09	4.89194736e-10	-4.89195084e-10
211.903	0.265	-0.377	2.598752988e-09	3.9656862e-10	-3.96568968e-10
212.609	0.379	-0.441	2.069986824e-09	3.085763328e-10	-3.085765764e-10
213.387	0.300	-0.399	2.387131752e-09	3.64275264e-10	-3.64275612e-10
214.029	0.241	-0.342	2.909289048e-09	4.33692564e-10	-4.33692912e-10
214.602	0.299	-0.331	2.695612524e-09	4.01839428e-10	-4.01839776e-10
215.251	0.342	-0.350	2.453080188e-09	3.65684664e-10	-3.65685012e-10
215.898	0.285	-0.306	2.874237444e-09	4.28467344e-10	-4.28467692e-10
216.560	0.331	-0.377	2.397608292e-09	3.57415488e-10	-3.57415836e-10
217.303	0.319	-0.412	2.321794404e-09	3.461137008e-10	-3.461139792e-10
218.012	0.339	-0.389	2.333161128e-09	3.478081824e-10	-3.478084608e-10
218.693	0.315	-0.343	2.579049228e-09	3.84463092e-10	-3.8446344e-10
219.444	0.387	-0.435	2.11376766e-09	3.15102864e-10	-3.151031424e-10
220.201	0.337	-0.371	2.467610928e-09	3.67850964e-10	-3.67851312e-10
