 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! T0 for this burst is Swift MET=388741688. s, = 2013 Apr 27 at 07:47:57.512 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
144.967	1.053	-1.011	3.671512287e-07	3.610663694e-08	-3.607349578e-08
147.003	1.013	-0.983	3.94218321e-07	3.738165666e-08	-3.723429658e-08
148.949	1.045	-0.933	4.09025882e-07	3.758854258e-08	-3.75037034e-08
150.981	1.061	-0.986	3.884115018e-07	3.63775452e-08	-3.627270246e-08
152.849	0.757	-0.807	3.296962439e-07	3.891479112e-08	-3.889502216e-08
154.652	1.133	-1.047	3.687589425e-07	3.415053432e-08	-3.4081906e-08
156.668	0.814	-0.883	3.150679564e-07	3.584588686e-08	-3.582120303e-08
158.518	1.039	-1.036	3.846643533e-07	3.589689281e-08	-3.583945491e-08
160.598	0.879	-1.041	2.677374064e-07	3.176876564e-08	-3.173892452e-08
162.365	0.777	-0.888	3.47746016e-07	3.775155048e-08	-3.772325772e-08
164.110	0.775	-0.968	3.009877336e-07	3.497097744e-08	-3.491246429e-08
165.817	0.857	-0.931	2.882983369e-07	3.403261263e-08	-3.4012699e-08
167.517	0.928	-0.844	2.947344315e-07	3.435796373e-08	-3.4292264e-08
169.409	0.963	-0.964	2.694638669e-07	3.158445606e-08	-3.154573533e-08
171.463	0.911	-1.090	2.617040027e-07	3.036804333e-08	-3.034888824e-08
173.218	0.880	-0.844	3.189875359e-07	3.52199506e-08	-3.514750221e-08
174.879	0.768	-0.782	3.469489625e-07	3.92267622e-08	-3.91539971e-08
176.663	1.031	-1.015	2.605509437e-07	2.986354385e-08	-2.984637895e-08
178.548	0.800	-0.855	3.334468723e-07	3.708290138e-08	-3.705487059e-08
180.372	0.985	-1.024	2.6243529e-07	3.049617012e-08	-3.044024539e-08
182.362	0.952	-1.005	2.800179344e-07	3.126634237e-08	-3.117867235e-08
184.494	1.271	-1.180	2.184809468e-07	2.49619092e-08	-2.491882491e-08
186.880	1.020	-1.115	2.545928466e-07	2.854809473e-08	-2.851452738e-08
189.186	0.947	-1.286	2.445644395e-07	2.724019582e-08	-2.722403188e-08
