 ! Swift/XRT lightcurve of trigger: 727541, name: GRB 161219B
 ! T0 for this burst is Swift MET=503866136.64 s, = 2016 Dec 19 at 18:48:39.308 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00727541
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
93.8998900494227	2.19209394134951	-1.6046340475764	3.26826913758192e-10	5.97986816540946e-11	-5.98933682718779e-11
98.6612718378382	3.47875717531882	-2.56928784706598	3.39292222099044e-10	4.70514480376649e-11	-4.70517321665232e-11
NO	NO	NO	NO	NO
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
113.696	2.184	-1.739	3.044477724e-10	5.91077772e-11	-5.91077772e-11
118.649	2.610	-2.770	2.272562672e-10	4.27769636e-11	-4.27769636e-11
125.046	3.495	-3.787	1.719395772e-10	3.139174857e-11	-3.139174857e-11
131.994	3.073	-3.453	1.615175727e-10	3.687736182e-11	-3.687736182e-11
139.764	3.415	-4.696	1.509915837e-10	2.842149165e-11	-2.842149165e-11
366.403	0.951	-0.925	1.001291837e-09	1.49263909e-10	-1.492638707e-10
368.303	0.817	-0.949	1.030726536e-09	1.600480017e-10	-1.600480017e-10
370.044	0.757	-0.924	1.116782806e-09	1.664803335e-10	-1.664802952e-10
371.630	0.913	-0.829	1.077951585e-09	1.606916715e-10	-1.606916715e-10
373.369	0.674	-0.826	1.251786859e-09	1.866055281e-10	-1.866055281e-10
374.975	1.191	-0.932	8.84548458e-10	1.318608103e-10	-1.318608103e-10
377.006	0.711	-0.841	1.173651412e-09	1.82240975e-10	-1.822409367e-10
378.477	0.790	-0.760	1.211545432e-09	1.80606714e-10	-1.806066757e-10
380.407	1.175	-1.140	7.7439536e-10	1.227578195e-10	-1.227577812e-10
382.392	0.750	-0.811	1.148861737e-09	1.821185299e-10	-1.821184916e-10
384.025	0.752	-0.883	1.14836422e-09	1.711882078e-10	-1.711881695e-10
385.406	0.735	-0.630	1.375934011e-09	2.051123179e-10	-2.051122796e-10
386.791	0.897	-0.650	1.196107085e-09	1.819620361e-10	-1.819620361e-10
388.404	1.078	-0.717	1.030150887e-09	1.567153655e-10	-1.567153655e-10
