Name,Status,State,Xray,Optical,Optical Spectra,Radio,Saved on Papers?
GRB000911,ADS Exhausted,Processed,No,Yes,No,Yes,No
GRB011121-SN2001ke,ADS Exhausted,Processed,No,Yes,No,Yes,No
GRB020305,ADS Exhausted,Processed,No,Yes,No,No,No
GRB020405,ADS Exhausted,Processed,No,Yes,No,No,No
GRB020410,ADS Exhausted,Processed,No,Yes,No,No,No
GRB020903,ADS Exhausted,Processed,No,Yes,No,Yes,No
GRB021211-SN2002lt,ADS Exhausted,Processed,No,Yes,No,Yes,No
GRB030329-SN2003dh,Mostly Completed,*,Yes,Yes,No,Yes,No
GRB030723,ADS Exhausted,Processed,No,Yes,No,No,No
GRB030725,ADS Exhausted,Processed,No,Yes,No,No,No
GRB031203-SN2003lw,ADS Exhausted,*,No,Yes,No,No,No
GRB040924,ADS Exhausted,latex,No,Yes,Yes,No,No
GRB041006,ADS Exhausted,Processed,No,Yes,No,No,No
GRB050416A,Mostly Completed,Processed,Yes,Yes,No,Yes,No
GRB050525A-SN2005nc,ADS Exhausted,Processed,Yes,Yes,No,Yes,Yes
GRB050824,No Downloadables,Unprocessed,Yes,No,No,No,No
GRB060218-SN2006aj,Mostly Completed,Processed,Yes,Yes,No,Yes,No
GRB060729,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB060904B,ADS Exhausted,Processed,Yes,Yes,No,No,No
GRB070419A,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB071112C,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB080319B,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB081007-SN2008hw,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB090618,ADS Exhausted,Unprocessed,Yes,No,Yes,No,No
GRB091127-SN2009nz,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB100316D-SN2010bh,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB100418A,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB101219B-SN2010ma,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB101225A,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB111209A-SN2011kl,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB111211A,No ADS Data,Unprocessed,Yes,No,No,No,No
GRB111228A,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB120422A-SN2012bz,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB120714B-SN2012eb,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB120729A,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB130215A-SN2013ez,ADS Exhausted,Unprocessed,No,Yes,No,No,No
GRB130427A-SN2013cq,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB130702A-SN2013dx,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB130831A-SN2013fu,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB140606B,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB150518A,No ADS Data,Unprocessed,No,No,No,No,No
GRB150818A,No ADS Data,Unprocessed,Yes,No,No,No,No
GRB161219B-SN2016jca,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB171010A-SN2017htp,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB171205A-SN2017iuk,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB180728A-SN2018fip,No ADS Data,Unprocessed,Yes,No,Yes,No,No
GRB190114C-SN2019jrj,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB190829A-AT2019oyw,Completed,Unprocessed,Yes,Yes,Yes,Yes,No
GRB200826A,Mostly Completed,Unprocessed,Yes,Yes,No,Yes,No
GRB201015A,New Event,Unprocessed,Yes,No,No,No,No
GRB211023A,New Event,Unprocessed,No,No,No,No,No
GRB220219B,New Event,Unprocessed,No,No,No,No,No
GRB221009A-SN2022xiw,New Event,Unprocessed,Yes,No,No,No,No
GRB970228,ADS Exhausted,Unprocessed,No,Yes,No,Yes,No
GRB980326,ADS Exhausted,Unprocessed,No,Yes,No,No,No
GRB980425-SN1998bw,ADS Exhausted,Unprocessed,Yes,Yes,No,No,No
GRB990712,ADS Exhausted,Unprocessed,No,Yes,No,No,No
GRB991208,ADS Exhausted,Unprocessed,No,Yes,No,Yes,No
SN2020bvc,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
