date	time	instrument	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime
58883.3406	0.67	P48+ZTF	i	17.44	0	0.05	MJD	days	AB	NaN
58883.3901	0.72	P48+ZTF	i	17.46	0	0.04	MJD	days	AB	NaN
58883.4763	0.81	P48+ZTF	g	16.82	0	0.04	MJD	days	AB	NaN
58883.4966	0.83	P48+ZTF	g	16.83	0	0.05	MJD	days	AB	NaN
58883.524	0.85	P48+ZTF	r	17.19	0	0.04	MJD	days	AB	NaN
58884.0245	1.35	Swift+UVOT	UVW1	17.15	0	0.01	MJD	days	AB	NaN
58884.0253	1.36	Swift+UVOT	U	17.08	0	0.01	MJD	days	AB	NaN
58884.0257	1.36	Swift+UVOT	B	17.23	0	0.01	MJD	days	AB	NaN
58884.0268	1.36	Swift+UVOT	UVW2	17.9	0	0.01	MJD	days	AB	NaN
58884.028	1.36	Swift+UVOT	V	17.12	0	0.01	MJD	days	AB	NaN
58884.0297	1.36	Swift+UVOT	UVM2	17.39	0	0.01	MJD	days	AB	NaN
58884.1362	1.47	LT+IOO	g	17.3	0	0.01	MJD	days	AB	NaN
58884.3634	1.69	P60+SEDM	i	17.5	0	0.03	MJD	days	AB	NaN
58884.3889	1.72	P48+ZTF	i	17.66	0	0.05	MJD	days	AB	NaN
58884.4109	1.74	P48+ZTF	i	17.63	0	0.04	MJD	days	AB	NaN
58884.4212	1.75	P48+ZTF	g	17.4	0	0.06	MJD	days	AB	NaN
58884.469	1.8	P48+ZTF	g	17.38	0	0.05	MJD	days	AB	NaN
58884.4754	1.81	P48+ZTF	g	17.37	0	0.05	MJD	days	AB	NaN
58884.5473	1.88	P48+ZTF	r	17.58	0	0.06	MJD	days	AB	NaN
58884.5533	1.88	P48+ZTF	r	17.57	0	0.04	MJD	days	AB	NaN
58885.3891	2.72	P48+ZTF	i	17.67	0	0.06	MJD	days	AB	NaN
58885.4111	2.74	P48+ZTF	i	17.65	0	0.04	MJD	days	AB	NaN
58885.429	2.76	P48+ZTF	g	17.4	0	0.05	MJD	days	AB	NaN
58885.4774	2.81	P48+ZTF	g	17.44	0	0.07	MJD	days	AB	NaN
58885.5211	2.85	P48+ZTF	r	17.51	0	0.04	MJD	days	AB	NaN
58885.538	2.87	P48+ZTF	r	17.52	0	0.05	MJD	days	AB	NaN
58885.5533	2.88	Swift+UVOT	UVW1	19.48	0	0.01	MJD	days	AB	NaN
58885.554	2.88	Swift+UVOT	U	18.33	0	0.01	MJD	days	AB	NaN
58885.5543	2.88	Swift+UVOT	B	17.48	0	0.01	MJD	days	AB	NaN
58885.5553	2.89	Swift+UVOT	UVW2	20.03	0	0.01	MJD	days	AB	NaN
58885.5563	2.89	Swift+UVOT	V	17.19	0	0.01	MJD	days	AB	NaN
58885.5577	2.89	Swift+UVOT	UVM2	20.3	0	0.01	MJD	days	AB	NaN
58886.3926	3.72	P48+ZTF	i	17.52	0	0.04	MJD	days	AB	NaN
58886.4112	3.74	P48+ZTF	i	17.52	0	0.03	MJD	days	AB	NaN
58886.4337	3.76	P60+SEDM	r	17.2	0	0.01	MJD	days	AB	NaN
58886.4354	3.77	P60+SEDM	g	17.34	0	0.02	MJD	days	AB	NaN
58886.437	3.77	P60+SEDM	i	17.47	0	0.01	MJD	days	AB	NaN
58886.4768	3.81	P48+ZTF	g	17.29	0	0.04	MJD	days	AB	NaN
58886.4809	3.81	Swift+UVOT	UVW1	19.17	0	0.01	MJD	days	AB	NaN
58886.4816	3.81	Swift+UVOT	U	18.17	0	0.01	MJD	days	AB	NaN
58886.4819	3.81	Swift+UVOT	B	17.55	0	0.01	MJD	days	AB	NaN
58886.4829	3.81	Swift+UVOT	UVW2	20.05	0	0.01	MJD	days	AB	NaN
58886.4839	3.81	Swift+UVOT	V	17.55	0	0.01	MJD	days	AB	NaN
58886.4854	3.82	Swift+UVOT	UVM2	20.87	0	0.01	MJD	days	AB	NaN
58886.4941	3.82	P48+ZTF	g	17.29	0	0.05	MJD	days	AB	NaN
58886.5229	3.85	P48+ZTF	r	17.29	0	0.05	MJD	days	AB	NaN
58886.5506	3.88	P48+ZTF	r	17.33	0	0.04	MJD	days	AB	NaN
